上海华氏大药房雷允上昌化路店,地址：上海市静安区昌化路520号,电话：021-32160621,
上海好药师大药房连锁有限公司易德药店,地址：上海市崇明县长兴镇凤滨路450号,电话：021-69679173,
上海好药师大药房连锁有限公司安健大药房,地址：上海市崇明县陈家镇裕民路13号A区11,电话：021-59430300,
上海好药师大药房连锁有限公司益康药店,地址：上海市崇明县新河镇新风镇新晨路172号,电话：021-59371179,
上海好药师大药房连锁有限公司廊夏药店,地址：上海市金山区廊夏镇新村路122号,电话：021-57395262,
上海好药师大药房连锁有限公司金和药店,地址：上海市浦东新区胶东路847-849号,电话：021-50310775,
上海好药师大药房连锁有限公司青盈药店,地址：上海市青浦区清昆路64-66号,电话：021-59856056,
上海好药师大药房连锁有限公司适安药房,地址：上海市松江区方松街道文翔路1010号111室,电话：021-37826946,
老百姓大药房连锁股份有限公司上海公司普善医保店,地址：上海市闸北区普善路350号,电话：021-56902986,
老百姓大药房连锁股份有限公司上海公司五角场店,地址：上海市杨浦区四平路2324-2326号,电话：021-55052799,
老百姓大药房连锁股份有限公司上海公司建国西路店,地址：上海市徐汇区建国西路128号,电话：021-64732838,
老百姓大药房连锁股份有限公司上海公司普善路店,地址：上海市闸北区普善路250号,电话：021-56902286,
老百姓大药房连锁股份有限公司上海公司徐汇虹桥路店,地址：上海市徐汇区虹桥路410号（近宜山路）,电话：021-64692591,
老百姓大药房连锁股份有限公司上海公司杨浦国顺东路店,地址：上海市杨浦区国顺东路157号,电话：021-55512516,
老百姓大药房连锁股份有限公司上海公司江安路店,地址：上海市徐汇区江安路219号,电话：021-54185617,
老百姓大药房连锁股份有限公司上海公司南山路店,地址：上海市闸北区南山路107号101-1室,电话：021-56631998,
老百姓大药房连锁股份有限公司上海公司大连路店,地址：上海市杨浦区大连路1548号,电话：021-55951239,
老百姓大药房连锁股份有限公司上海公司洛川路店,地址：上海市闸北区洛川中路598号,电话：021-66307500,
老百姓大药房连锁股份有限公司上海公司徐汇医保店,地址：上海市徐汇区徐虹北路3号,电话：021-64482496,
老百姓大药房连锁股份有限公司上海公司龙州路店,地址：上海市徐汇区龙州路445号,电话：021-54308301,
老百姓大药房连锁股份有限公司上海公司杨浦江浦路店,地址：上海市杨浦区江浦路1534号,电话：021-35310795,
老百姓大药房连锁股份有限公司上海公司建国医保店,地址：上海市徐汇区建国西路348号,电话：021-64732835,
老百姓大药房连锁股份有限公司上海徐汇店,地址：上海市徐汇区小木桥路3号,电话：021-64482417-119,
老百姓大药房连锁股份有限公司上海公司徐汇小木桥路店,地址：上海市徐汇区小木桥路528号,电话：021-64185665,
老百姓大药房连锁股份有限公司上海公司漕溪路店,地址：上海市徐汇区漕溪路165号,电话：021-64873483,
老百姓大药房连锁股份有限公司上海公司瑞金南路店,地址：上海市徐汇区瑞金南路538号,电话：021-64173572,
老百姓大药房连锁股份有限公司上海公司浦东西营路店,地址：上海市浦东区西营路35号-8,电话：021-20250291,
老百姓大药房连锁股份有限公司上海公司普陀昌化路店,地址：上海市普陀区昌化路989号,电话：021-62660628,
老百姓大药房连锁股份有限公司上海公司龙水北路店,地址：上海市徐汇区龙水北路871号,电话：021-64573190,
老百姓大药房连锁股份有限公司上海公司普陀金汤路店,地址：上海市普陀区金汤路142号,电话：021-62685598,
老百姓大药房连锁股份有限公司上海公司五莲医保店,地址：上海市浦东区五莲路127号,电话：021-58465501,
老百姓大药房连锁股份有限公司上海公司龙川北路店,地址：上海市徐汇区龙川北路149-2号,电话：021-54295675,
老百姓大药房连锁股份有限公司上海公司宜川店,地址：上海市普陀区洛川路137号,电话：021-56095549,
老百姓大药房连锁股份有限公司上海公司静安昌平路店,地址：上海市静安区昌平路481号,电话：021-62588851,
老百姓大药房连锁股份有限公司上海抚顺路店,地址：上海市杨浦区抚顺路1号,电话：021-33778091,
老百姓大药房连锁股份有限公司上海公司延安东路店,地址：上海市黄浦区延安东路282号,电话：021-63291528,
老百姓大药房连锁股份有限公司上海公司中山北路店,地址：上海市普陀区中山北路2399号,电话：021-52917718,
老百姓大药房连锁股份有限公司上海公司长宁长顺路店,地址：上海市长宁区长顺路34-1号（靠近虹桥路）,电话：021-62190196,
上海复美益星大药房连锁有限公司复美金鑫店,地址：上海市金山区朱泾镇金龙新街561、563、565号,电话：021-57334120,
上海复美益星大药房连锁有限公司复美浩民店,地址：上海市金山区亭林镇朱行恒顺路237号,电话：021-57270515,
上海复美益星大药房连锁有限公司复美宏晓店,地址：上海市金山区朱泾镇公园路288号二楼,电话：021-57326218,
上海复美益星大药房连锁有限公司复美育民店,地址：上海市奉贤区南桥镇解放西路490号,电话：021-57426452,
上海复美益星大药房连锁有限公司复美亭林店,地址：上海市金山区亭林镇复兴东路48号,电话：021-67231543,
上海复美益星大药房连锁有限公司复美佐安店,地址：上海市奉贤区星火开发区农工商大道118号,电话：021-57504368,
上海复美益星大药房连锁有限公司复美三官店,地址：上海市奉贤区大地贤区青村镇光明张平村576号,电话：021-57474768,
上海复美益星大药房连锁有限公司复美西闸店,地址：上海市奉贤区西闸公路1511号,电话：021-57159296,
上海复美益星大药房连锁有限公司复美君臣店,地址：上海市崇明县长兴镇新港村新兴路888号101室,电话：021-56850437,
上海复美益星大药房连锁有限公司复美汇佳店,地址：上海市金山区朱泾镇金龙新街468号,电话：021-57311741,
上海复美益星大药房连锁有限公司复美南桥店,地址：上海市奉贤区齐贤镇农民街99号,电话：021-57578398,
上海复美益星大药房连锁有限公司复美青村店,地址：上海市奉贤区金汇镇泰日社区振泰路82号,电话：021-57586357,
上海复美益星大药房连锁有限公司复美朱泾店,地址：上海市金山区朱泾镇秀州街478号,电话：021-57270515,
上海复美益星大药房连锁有限公司复美朱行店,地址：上海市金山区朱行镇立新街122号,电话：021-57272581,
上海复美益星大药房连锁有限公司复美久尘店,地址：上海市奉贤区南桥镇南桥路589号,电话：021-57102911,
上海复美益星大药房连锁有限公司复美金汇店,地址：上海市奉贤区金汇东街1号,电话：021-57480689,
上海复美益星大药房连锁有限公司复美济林店,地址：上海市奉贤区南桥镇435号,电话：021-57419391,
上海复美益星大药房连锁有限公司复美环东店,地址：上海市奉贤区奉浦工业区环城东路522号,电话：021-67100469,
上海复美益星大药房连锁有限公司复美山阳店,地址：上海市金山区山阳镇红旗东路225号,电话：021-57240687,
上海复美益星大药房连锁有限公司复美奉城店,地址：上海市奉贤区奉城邮电路115号,电话：021-57513117,
上海复美益星大药房连锁有限公司复美慈圆店,地址：上海市奉贤区洪庙社区川南奉公路9219号,电话：021-57135668,
上海复美益星大药房连锁有限公司复美馨泉店,地址：上海市奉贤区南桥镇环城南路997号,电话：021-57424569,
上海复美益星大药房连锁有限公司复美蓉欣店,地址：上海市奉贤区南桥镇环城南路283号,电话：021-57190515,
上海复美益星大药房连锁有限公司复美美丽缘店,地址：上海市嘉定区南翔清河路130号,电话：021-59177786,
上海复美益星大药房连锁有限公司复美康君阁店,地址：上海市奉贤区南奉公路9581号,电话：021-67116223,
上海复美益星大药房连锁有限公司复美江丰店,地址：上海市嘉定区江桥镇曹安路1991号D-15,电话：021-69111112,
上海复美益星大药房连锁有限公司复美阜康店,地址：上海市嘉定区安亭镇阜康路41号,电话：021-39586328,
上海复美益星大药房连锁有限公司复美嘉旺店,地址：上海市嘉定区江桥镇靖远路1099弄208号,电话：021-69117697,
上海复美益星大药房连锁有限公司复美江海店,地址：上海市奉贤区南桥镇江海路322号,电话：021-57180919,
上海复美益星大药房连锁有限公司复美海湾店,地址：上海市奉贤区五四农场新场部一村一号楼108室,电话：021-57160948,
上海复美益星大药房连锁有限公司复美安亭店,地址：上海市嘉定区安亭墨玉路344号,电话：021-59565862,
上海复美益星大药房连锁有限公司复美红石店,地址：上海市嘉定区菊园新区红石路709号,电话：021-39903855,
上海复美益星大药房连锁有限公司复美鹤旋店,地址：上海市嘉定区江桥镇鹤旋路358号,电话：021-39550018,
上海复美益星大药房连锁有限公司复美朝强店,地址：上海市奉贤区头桥新奉公路2566号,电话：021-67559878,
上海复美益星大药房连锁有限公司复美胜竹店,地址：上海市嘉定区菊园新区胜竹路2186号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美丰宝店,地址：上海市嘉定区马陆镇陈宝路465--467号,电话：021-69151010,
上海复美益星大药房连锁有限公司复美杨木桥店,地址：上海市嘉定区黄渡镇杨木桥三路5号,电话：021-59592596,
上海复美益星大药房连锁有限公司复美曹王店,地址：上海市嘉定区曹王镇曹王路12-14号,电话：021-59940120,
上海复美益星大药房连锁有限公司复美宝嘉店,地址：上海市嘉定区新成路街道宝嘉公路463号,电话：021-59986378,
上海复美益星大药房连锁有限公司复美绿丽店,地址：上海市嘉定区黄渡镇绿苑五村抗桂路1340号,电话：021-69581741,
上海复美益星大药房连锁有限公司复美兴欣店,地址：上海市嘉定区马陆镇宝安公路3799号,电话：021-59156321,
上海复美益星大药房连锁有限公司复美富嘉店,地址：上海市嘉定区江桥镇临夏路1018号,电话：021-69138283,
上海复美益星大药房连锁有限公司复美云翔店,地址：上海市嘉定区南翔镇南华路238弄8号,电话：021-59178198,
上海复美益星大药房连锁有限公司复美大石皮店,地址：上海市嘉定区加行公路1277号,电话：021-59556009,
上海复美益星大药房连锁有限公司复美曹江店,地址：上海市嘉定区江桥镇靖远路504号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美永乐店,地址：上海市嘉定区南翔镇永乐村翔乐路181号,电话：021-69120558,
上海复美益星大药房连锁有限公司复美星塔店,地址：上海市嘉定区黄渡镇星塔路258号,电话：021-69591266,
上海复美益星大药房连锁有限公司复美澄桥店,地址：上海市嘉定区宝嘉公路1433号,电话：021-69962630,
上海复美益星大药房连锁有限公司复美仁馀店,地址：上海市嘉定区安亭镇嘉松公路4438号,电话：021-59503282,
上海复美益星大药房连锁有限公司复美嘉新店,地址：上海市嘉定区马陆镇嘉新公路号,电话：021-39527198,
上海复美益星大药房连锁有限公司复美外冈店,地址：上海市嘉定区外青松公路128号,电话：021-59587887,
上海复美益星大药房连锁有限公司复美联翔店,地址：上海市嘉定区黄渡镇联星村曹安路4053号,电话：021-39597080,
上海复美益星大药房连锁有限公司复美娄塘店,地址：上海市嘉定区娄塘路721号,电话：021-59543449,
上海复美益星大药房连锁有限公司复美裕康店,地址：上海市嘉定区南翔镇裕丰路358号,电话：021-59121767,
上海复美益星大药房连锁有限公司复美高高店,地址：上海市嘉定区江桥镇沙河村1007号,电话：021-69112021,
上海复美益星大药房连锁有限公司复美翔贝店,地址：上海市嘉定区南翔镇新丰村新勤路440号,电话：021-39125520,
上海复美益星大药房连锁有限公司复美新戬店,地址：上海市嘉定区马陆镇立新镇29号,电话：021-59510738,
上海复美益星大药房连锁有限公司复美沪宜店,地址：上海市嘉定区南翔镇沪宜公路1521号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美新郁店,地址：上海市嘉定区江桥清浴路1045号,电话：021-39100773,
上海复美益星大药房连锁有限公司复美陈宝店,地址：上海市嘉定区马陆镇李家村陈宝路E幢14号,电话：021-69153282,
上海复美益星大药房连锁有限公司复美菊园店,地址：上海市嘉定区加行大道185号,电话：021-59924288,
上海复美益星大药房连锁有限公司复美方中店,地址：上海市嘉定区安亭方泰镇方中路63号,电话：021-59509279,
上海复美益星大药房连锁有限公司复美梅园店,地址：上海市嘉定区梅园路75号,电话：021-59523145,
上海复美益星大药房连锁有限公司复美成北店,地址：上海市嘉定区安亭镇加唐公路118号,电话：021-59927237,
上海复美益星大药房连锁有限公司复美林康店,地址：上海市嘉定区马陆育英街号一宗,电话：021-59155598,
上海复美益星大药房连锁有限公司复美立星店,地址：上海市嘉定区黄渡镇嘉松北路7230号,电话：021-39531300,
上海复美益星大药房连锁有限公司复美江桥店,地址：上海市嘉定区江桥镇华江路129弄3号101室,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美兴绿店,地址：上海市嘉定区黄渡镇绿苑31-33号,电话：021-69580179,
上海复美益星大药房连锁有限公司复美海伦店,地址：上海市嘉定区海伦小区汇旺东路1313号,电话：021-59962662,
上海复美益星大药房连锁有限公司复美永胜店,地址：上海市嘉定区菊园新区永新路758号,电话：021-39523910,
上海复美益星大药房连锁有限公司复美黄渡店,地址：上海市嘉定区黄渡镇绿苑路75号,电话：021-59595772,
上海复美益星大药房连锁有限公司复美佳诚店,地址：上海市嘉定区江桥华江路668弄12号,电话：021-59119190,
上海复美益星大药房连锁有限公司复美广福店,地址：上海市嘉定区安宝公路李家村2442号,电话：021-69156252,
上海复美益星大药房连锁有限公司复美泓鑫店,地址：上海市嘉定区马陆镇宝安公路3705弄150号,电话：021-59152287,
上海复美益星大药房连锁有限公司复美永翔店,地址：上海市嘉定区南翔镇扬子路银翔新村5-6号,电话：021-39925923,
上海复美益星大药房连锁有限公司复美旺金店,地址：上海市嘉定区外岗镇金钱公路5000弄342号,电话：021-69577338,
上海复美益星大药房连锁有限公司复美龙凤店,地址：上海市嘉定区博乐路205号,电话：021-59523646,
上海复美益星大药房连锁有限公司复美胜裕店,地址：上海市嘉定区南翔镇胜辛南路305号,电话：021-39170626,
上海复美益星大药房连锁有限公司复美江辉店,地址：上海市嘉定区江桥镇曹安路2020号,电话：021-59113508,
上海复美益星大药房连锁有限公司复美嘉怡店,地址：上海市嘉定区江桥镇嘉怡路356号,电话：021-39111819,
上海复美益星大药房连锁有限公司复美平城店,地址：上海市嘉定区菊园新区平城路610号,电话：021-69151010,
上海复美益星大药房连锁有限公司复美虹星店,地址：上海市嘉定区江桥镇曹安路3789弄58号,电话：021-69136919,
上海复美益星大药房连锁有限公司复美六里店,地址：上海市嘉定区菊园新区嘉松公路788号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美鹤望店,地址：上海市嘉定区江桥镇鹤望路918弄32号,电话：021-39565730,
上海复美益星大药房连锁有限公司复美聚乐店,地址：上海市嘉定区外岗镇沪宜公路5686号,电话：021-59580182,
上海复美益星大药房连锁有限公司复美封浜店,地址：上海市嘉定区江桥镇星华路1528号,电话：021-59133981,
上海复美益星大药房连锁有限公司复美石村店,地址：上海市嘉定区华亭镇嘉行公路唐行石村179号,电话：021-59952968,
上海复美益星大药房连锁有限公司复美升岗店,地址：上海市嘉定区安亭镇墨玉北路288号B楼8号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美赵康店,地址：上海市嘉定区嘉定工业区赵康百厅村10号,电话：021-59549159,
上海复美益星大药房连锁有限公司复美陆巷店,地址：上海市嘉定区安亭镇星明村翔方路885弄22号,电话：021-59502715,
上海复美益星大药房连锁有限公司复美大虹店,地址：上海市嘉定区马陆镇大宏村横仓公路3号-1,电话：021-59514986,
上海复美益星大药房连锁有限公司复美兰塘店,地址：上海市嘉定区安亭镇民中路999号4室,电话：021-69579461,
上海复美益星大药房连锁有限公司复美仓场店,地址：上海市嘉定区马陆镇丰澄路2788号,电话：021-59906148,
上海复美益星大药房连锁有限公司复美樊佳店,地址：上海市嘉定区马陆镇樊佳商场1号,电话：021-39908837,
上海复美益星大药房连锁有限公司复美劳动店,地址：上海市嘉定区徐行镇劳动路658号,电话：021-59940090,
上海复美益星大药房连锁有限公司复美胜辛店,地址：上海市嘉定区胜辛路36号,电话：021-59160197,
上海复美益星大药房连锁有限公司复美葛隆店,地址：上海市嘉定区沪宜公路5968号,电话：021-69575982,
上海复美益星大药房连锁有限公司复美金沙店,地址：上海市普陀区金沙江路257号,电话：021-59928866,
上海复美益星大药房连锁有限公司复美香泖店,地址：上海市松江区车墩镇番泖路12号,电话：021-67759016,
上海复美益星大药房连锁有限公司复美祥东店,地址：上海市松江区车墩镇车峰路199弄21号,电话：021-37605528,
上海复美益星大药房连锁有限公司复美桃园店,地址：上海市松江区佘山镇桃源路236号,电话：021-37002006,
上海复美益星大药房连锁有限公司复美文涵店,地址：上海市松江区方松街道文涵路1020号,电话：021-37697159,
上海复美益星大药房连锁有限公司复美清湖店,地址：上海市松江区车墩镇联营路121号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美福君店,地址：上海市松江区泗泾镇泗砖公路236号,电话：021-67762060,
上海复美益星大药房连锁有限公司复美建辉店,地址：上海市松江区泗泾镇方泗路125号,电话：021-57626879,
上海复美益星大药房连锁有限公司复美九星店,地址：上海市松江区九亭镇九新公路407号,电话：021-57632417,
上海复美益星大药房连锁有限公司复美耀星店,地址：上海市松江区九亭镇涞亭南路66号,电话：021-67629060,
上海复美益星大药房连锁有限公司复美易富店,地址：上海市松江区九亭镇易富路431--433号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美北松店,地址：上海市松江区石湖荡镇塔汇路505-5,电话：021-57841977,
上海复美益星大药房连锁有限公司复美保民二店,地址：上海市松江区叶榭镇新源路94号,电话：021-67801942,
上海复美益星大药房连锁有限公司复美兴港店,地址：上海市松江区松江大港彭丰路449号,电话：021-57850562,
上海复美益星大药房连锁有限公司复美兴旺店,地址：上海市松江区叶榭镇辕门路91-93号,电话：021-57882284,
上海复美益星大药房连锁有限公司复美家园店,地址：上海市松江区泗泾镇古楼公路1852号,电话：021-33732330,
上海复美益星大药房连锁有限公司复美新中店,地址：上海市松江区新桥镇新南街539号,电话：021-57645181,
上海复美益星大药房连锁有限公司复美新凯店,地址：上海市松江区泗泾镇新家园路251弄1号,电话：021-33732736,
上海复美益星大药房连锁有限公司复美盛诚店,地址：上海市松江区九亭镇久富路111号,电话：021-57633767,
上海复美益星大药房连锁有限公司复美洞薛店,地址：上海市松江区洞泾镇洞薛路227号,电话：021-33738384,
上海复美益星大药房连锁有限公司复美清江店,地址：上海市松江区叶榭镇叶新公路117号,电话：021-67800078,
上海复美益星大药房连锁有限公司复美清河店,地址：上海市松江区大港镇新港路2号,电话：021-57850679,
上海复美益星大药房连锁有限公司复美阳光店,地址：上海市松江区新松江路1103号,电话：021-37668629,
上海复美益星大药房连锁有限公司复美涞通店,地址：上海市松江区九亭镇涞坊路403号,电话：021-67624100,
上海复美益星大药房连锁有限公司复美方平店,地址：上海市松江区松江西路1229号,电话：021-67723166,
上海复美益星大药房连锁有限公司复美保民店,地址：上海市松江区翔峰路371弄109号,电话：021-67733087,
上海复美益星大药房连锁有限公司复美航头店,地址：上海市南汇区航头镇航兴路88号8区71号,电话：021-68220253,
上海复美益星大药房连锁有限公司复美祝西店,地址：上海市南汇区周祝公路3558弄,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美新坦店,地址：上海市南汇区新场镇新坦互公路515号,电话：021-68150136,
上海复美益星大药房连锁有限公司复美高登店,地址：上海市南汇区航头镇沪南公路5205号,电话：021-58148731,
上海复美益星大药房连锁有限公司复美港西店,地址：上海市南汇区老港镇中纲村974号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美瓦屑店,地址：上海市南汇区瓦屑镇建设路111号,电话：021-58154109,
上海复美益星大药房连锁有限公司复美秀沿店,地址：上海市南汇区康桥镇秀沿路1161号,电话：021-68197571,
上海复美益星大药房连锁有限公司复美梓康店,地址：上海市南汇区周浦镇梓康路梓潼村424号,电话：021-68124801,
上海复美益星大药房连锁有限公司复美知爱店,地址：上海市南汇区祝桥镇华星路378号,电话：021-68103399,
上海复美益星大药房连锁有限公司复美新港店,地址：上海市南汇区新港镇南果公路706号,电话：021-58190816,
上海复美益星大药房连锁有限公司复美三墩店,地址：上海市南汇区大团镇三墩洪通路23号,电话：021-58230513,
上海复美益星大药房连锁有限公司复美古棕店,地址：上海市南汇区古棕路438弄22号,电话：021-38014381,
上海复美益星大药房连锁有限公司复美张家桥店,地址：上海市南汇区宣桥镇一街坊,电话：021-58183332,
上海复美益星大药房连锁有限公司复美泥城店,地址：上海市南汇区泥城镇美轮新村1幢3号101室,电话：021-58078660,
上海复美益星大药房连锁有限公司复美中新店,地址：上海市南汇区三三公路1896号,电话：021-58043277,
上海复美益星大药房连锁有限公司复美同强店,地址：上海市南汇区老港镇中港四组102号,电话：021-68291590,
上海复美益星大药房连锁有限公司复美宣灶店,地址：上海市南汇区宣桥镇光明村744号,电话：021-58032002,
上海复美益星大药房连锁有限公司复美祝桥店,地址：上海市南汇区南奉公路祝桥车站,电话：021-68102038,
上海复美益星大药房连锁有限公司复美六灶店,地址：上海市南汇区六灶路173弄175号,电话：021-58163890,
上海复美益星大药房连锁有限公司复美宣中店,地址：上海市南汇区宣桥镇宜中路500弄4号,电话：021-68049887,
上海复美益星大药房连锁有限公司复美勤丰店,地址：上海市南汇区城东路惠东新村1号门,电话：021-58006120,
上海复美益星大药房连锁有限公司复美盐仓店,地址：上海市南汇区南奉公路5721号,电话：021-58093291,
上海复美益星大药房连锁有限公司复美鹿吉店,地址：上海市南汇区六灶镇新吉村1194号,电话：021-68160003,
上海复美益星大药房连锁有限公司复美新瓦店,地址：上海市南汇区新场镇新坦互公路505号,电话：021-68096100,
上海复美益星大药房连锁有限公司复美黄路店,地址：上海市南汇区南奉公路6162号,电话：021-58272070,
上海复美益星大药房连锁有限公司复美邬家路店,地址：上海市南汇区惠南镇六灶湾村勤俭5队209号,电话：021-68270869,
上海复美益星大药房连锁有限公司复美书院店,地址：上海市南汇区书院镇书塘公路8号,电话：021-58061673,
上海复美益星大药房连锁有限公司复美年家浜店,地址：上海市南汇区周浦镇年家浜路22号,电话：021-68135863,
上海复美益星大药房连锁有限公司复美航鹤店,地址：上海市南汇区航头镇航鹤路1858号75支弄81号,电话：021-58147803,
上海复美益星大药房连锁有限公司复美福顺店,地址：上海市南汇区周浦镇康沈路1994号,电话：021-58111679,
上海复美益星大药房连锁有限公司复美青松店,地址：上海市青浦区青松公路389号,电话：021-59858793,
上海复美益星大药房连锁有限公司复美知母店,地址：上海市闵行区华漕诸新路8号201室,电话：021-62217577,
上海复美益星大药房连锁有限公司复美红宝店,地址：上海市青浦区青浦朱家角祥凝浜99号,电话：021-59241736,
上海复美益星大药房连锁有限公司复美知新店,地址：上海市闵行区浦江镇知新村第6村民组10幢B区苏近路525号,电话：021-61805850,
上海复美益星大药房连锁有限公司复美银旺店,地址：上海市闵行区银都路2739号,电话：021-54432808,
上海复美益星大药房连锁有限公司复美芦潮港店,地址：上海市南汇区杭湾路334号,电话：021-58283949,
上海复美益星大药房连锁有限公司复美浦泰店,地址：上海市青浦区华新镇嘉松中路189号4幢,电话：021-59798006,
上海复美益星大药房连锁有限公司复美杜行店,地址：上海市闵行区叶家桥路385号,电话：021-64110425,
上海复美益星大药房连锁有限公司复美中园店,地址：上海市闵行区七宝镇吴中路2748号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美润泾店,地址：上海市青浦区徐泾镇振泾路281号,电话：021-59761513,
上海复美益星大药房连锁有限公司复美凤中店,地址：上海市青浦区青浦华新镇凤中路326号,电话：021-59770260,
上海复美益星大药房连锁有限公司复美吴宝店,地址：上海市闵行区吴宝路1225号6-9号房,电话：021-64029778,
上海复美益星大药房连锁有限公司复美益盛堂店,地址：上海市闵行区颛兴路651号,电话：021-64427050,
上海复美益星大药房连锁有限公司复美恒信店,地址：上海市南汇区航头沪南路5960弄3号,电话：021-68220279,
上海复美益星大药房连锁有限公司复美平阳店,地址：上海市闵行区古美西路966号,电话：021-54147468,
上海复美益星大药房连锁有限公司复美济满堂店,地址：上海市青浦区青浦体育场路180号,电话：021-69210146,
上海复美益星大药房连锁有限公司复美三达店,地址：上海市闵行区浦江镇三达路85号,电话：021-61805052,
上海复美益星大药房连锁有限公司复美闸行店,地址：上海市闵行区闸行路农民街2期102室,电话：021-64191223,
上海复美益星大药房连锁有限公司复美康涵店,地址：上海市闵行区莘庄路855号,电话：021-64938007,
上海复美益星大药房连锁有限公司复美同溢店,地址：上海市闵行区申北路545号,电话：021-54421191,
上海复美益星大药房连锁有限公司复美隆兴店,地址：上海市闵行区灯辉路483号,电话：021-34551683,
上海复美益星大药房连锁有限公司复美北翟店,地址：上海市闵行区华漕镇北沈路168号乙区,电话：021-24207282,
上海复美益星大药房连锁有限公司复美天馨店,地址：上海市宝山区水城西路292号,电话：021-36020618,
上海复美益星大药房连锁有限公司复美九韵店,地址：上海市闵行区华漕镇繁兴路986号,电话：021-61805050,
上海复美益星大药房连锁有限公司复美景联店,地址：上海市闵行区虹梅南路2288弄174号,电话：021-54403190,
上海复美益星大药房连锁有限公司复美恒江店,地址：上海市闵行区浦江镇恒南路1358—2号,电话：400-885-9191,
上海复美益星大药房连锁有限公司复美颐河店,地址：上海市宝山区顾太路19号,电话：021-36190404,
上海复美益星大药房连锁有限公司复美行知店,地址：上海市宝山区行知路555号,电话：021-66398925,
上海复美益星大药房连锁有限公司复美颛都店,地址：上海市闵行区颛桥镇都市路3519号,电话：021-34511800,
上海复美益星大药房连锁有限公司复美富南店,地址：上海市宝山区罗南乡十南村62丘40号,电话：021-66015211,
上海复美益星大药房连锁有限公司复美金都店,地址：上海市闵行区金都路1号,电话：021-64340979,
上海复美益星大药房连锁有限公司复美宝联店,地址：上海市宝山区罗店镇罗太璐337号,电话：021-56863626,
上海复美益星大药房连锁有限公司复美丹丹店,地址：上海闵行区浦江镇陈行路农机站11-12号,电话：021-54337868,
上海复美益星大药房连锁有限公司复美铁峰店,地址：上海市宝山区铁峰路2000号友谊家园2022号,电话：021-33796563,
上海复美益星大药房连锁有限公司复美向阳店,地址：上海市闵行区向阳路蔡家塘17号,电话：021-64423599,
上海复美益星大药房连锁有限公司复美罗迎店,地址：上海市宝山区罗迎路558弄99号101室二楼,电话：021-33717566,
上海复美益星大药房连锁有限公司复美南华店,地址：上海市闵行区南华街38弄25号,电话：021-61805051,
上海复美益星大药房连锁有限公司复美舜浦店,地址：上海市闵行区剑川路82号,电话：021-64509503,
上海复美益星大药房连锁有限公司复美涵溢店,地址：上海市闵行区华宁路1399弄167号-1,电话：021-51513871,
上海复美益星大药房连锁有限公司复美飞龙店,地址：上海市宝山区蕴川路1625弄43号,电话：021-66760524,
上海复美益星大药房连锁有限公司复美南陈店,地址：上海市宝山区南陈路258号,电话：021-66711093,
上海复美益星大药房连锁有限公司复美祁骆店,地址：上海市宝山区大场镇祁骆路18号,电话：021-62844144,
上海复美益星大药房连锁有限公司复美康兴店,地址：上海市闵行区颛桥镇北桥镇中街77号,电话：021-54311329,
上海复美益星大药房连锁有限公司复美泰富店,地址：上海市宝山区水产路2399号第一层第137单位,电话：021-66769756,
上海复美益星大药房连锁有限公司复美颐河分店,地址：上海市宝山区泰和西路3493号8号甲,电话：021-36190258,
上海复美益星大药房连锁有限公司复美康泰店,地址：上海市宝山区行知路833号,电话：021-66396920,
上海复美益星大药房连锁有限公司复美沪镇店,地址：上海市宝山区真大路561弄3号,电话：021-66510595,
上海复美益星大药房连锁有限公司复美新康店,地址：上海市宝山区共康路883号,电话：021-56479392,
上海复美益星大药房连锁有限公司复美福参源店,地址：上海市宝山区牡丹江路720号,电话：021-56563655,
上海复美益星大药房连锁有限公司复美淞宝店,地址：上海市宝山区潘泾路969号,电话：021-36040321,
上海复美益星大药房连锁有限公司复美绍和店,地址：上海市宝山区绥化路236号,电话：021-36300754,
上海复美益星大药房连锁有限公司复美蔡家弄店,地址：上海市宝山区沪太路6058弄27号,电话：021-66018078,
上海复美益星大药房连锁有限公司复美长浜店,地址：上海市宝山区杨南路2066号底层,电话：021-66018338,
上海复美益星大药房连锁有限公司复美祁东店,地址：上海市宝山区祁北东路120号,电话：021-56861531,
上海复美益星大药房连锁有限公司复美罗溪店,地址：上海市宝山区罗店镇罗溪路725号,电话：021-56863021,
上海复美益星大药房连锁有限公司复美祁南店,地址：上海市宝山区大场镇祁南路298号,电话：021-36030186,
上海复美益星大药房连锁有限公司复美宝安店,地址：上海市宝山区宝安公路2195号,电话：021-56028436,
上海复美益星大药房连锁有限公司复美跃进店,地址：上海市宝山区跃进路50号,电话：021-36040178,
上海复美益星大药房连锁有限公司复美报春店,地址：上海市闵行区莘庄镇报春路748弄73号,电话：021-54131882,
