吉林省中东健康万家医药连锁有限公司开工店,地址：吉林省长春市朝阳区开运街开工胡同内，南街超市边,电话：0431-85943411,
吉林省邱健安康医药有限公司安康大药房二十一店,地址：吉林省延边州延吉市珲春市学苑小区28栋,电话：无,
吉林省邱健安康医药有限公司安康大药房二店,地址：吉林省延边州延吉市珲春市四中东门对面,电话：0433-7667111,
吉林省邱健安康医药有限公司安康大药房二十店,地址：吉林省延边州延吉市珲春市春化镇,电话：无,
吉林省邱健安康医药有限公司安康大药房十五店,地址：吉林省延边州延吉市珲春市曙光金铜矿,电话：无,
吉林省邱健安康医药有限公司安康大药房一店,地址：吉林省延边州延吉市珲春市东市场南门对面,电话：0433-7691515,
吉林省邱健安康医药有限公司安康大药房二十八店,地址：吉林省延边州延吉市珲春市东方绿洲门市,电话：无,
吉林省邱健安康医药有限公司安康大药房十九店,地址：吉林省延边州延吉市珲春市杀狗场北门对面中华村道口,电话：无,
吉林省邱健安康医药有限公司安康大药房十三店,地址：吉林省延边州延吉市珲春市欧亚商场一楼,电话：无,
吉林省邱健安康医药有限公司安康大药房八店,地址：吉林省延边州延吉市珲春市新中医院旁,电话：0433-7687666,
吉林省邱健安康医药有限公司安康大药房,地址：吉林省延边州延吉市珲春市购物中心道南,电话：0433-7559666,
吉林省邱健安康医药有限公司安康大药房十二店,地址：吉林省延边州延吉市珲春市林业城老区108栋对面,电话：无,
吉林省邱健安康医药有限公司安康大药房七店,地址：吉林省延边州延吉市珲春市三栋房宜家超市旁,电话：0433-7712615,
吉林省邱健安康医药有限公司安康大药房六店,地址：吉林省延边州延吉市珲春市市医院南门对面,电话：0433-7679666,
吉林省邱健安康医药有限公司安康大药房五店,地址：吉林省延边州延吉市珲春市姜泰小市场,电话：0433-7506667,
靖宇县复康药店,地址：吉林省白山市靖宇县将军路101号,电话：0439-7228550,
长春市福百草大药房有限公司延寿街连锁店,地址：吉林省长春市绿园区延寿街147号中新花园小区10号楼111室,电话：无,
长春市福百草大药房有限公司升阳街连锁店,地址：吉林省长春市绿园区升阳街西安花园小区22栋2门门市,电话：0431-89353545,
长春市福百草大药房有限公司一匡街连锁店,地址：吉林省长春市宽城区北亚泰大街1899号耀江五月花苑41-12号,电话：无,
长春市福百草大药房有限公司皓月大路连锁店,地址：吉林省长春市绿园区皓月大路安居南区3-16栋101室门市,电话：无,
长春市福百草大药房有限公司西中华连锁店,地址：吉林省长春市朝阳区西中华路7号101室,电话：0431-81282788,
长春市福百草大药房有限公司抚松路连锁店,地址：吉林省长春市朝阳区抚松路640号106室,电话：无,
长春市福百草大药房有限公司檀香苑连锁店,地址：吉林省长春市宽城区基隆北街与柳江路交汇处檀香苑小区64幢107号,电话：无,
长春市福百草大药房有限公司兴华园连锁店,地址：吉林省长春市高新北区奋进乡兴华园小区A区108室,电话：无,
长春市福百草大药房有限公司和平连锁店,地址：吉林省长春市二道区英俊镇和平村小区一期一栋一门,电话：无,
长春市福百草大药房有限公司茗月花园连锁店,地址：吉林省长春市净月经济开发区茗月小区1栋109号房,电话：无,
长春市福百草大药房有限公司领秀朝阳连锁店,地址：吉林省长春市朝阳区开运街领秀朝阳小区7\/13\/19\/24栋107号,电话：无,
长春市福百草大药房有限公司人文连锁店,地址：吉林省长春市净月经济开发区东北师范大学人文学院综合服务楼一楼,电话：无,
长春市福百草大药房有限公司万盛连锁店,地址：吉林省长春市绿园区西环城路115号万盛理想国E组团E3幢104号房,电话：无,
长春市福百草大药房有限公司东岭北街连锁店,地址：吉林省长春市南关区东岭北街自由小区15栋1525门市,电话：无,
长春市福百草大药房有限公司平阳连锁店,地址：吉林省长春市南关区通化路28-14号,电话：0431-88999657,
长春市福百草大药房有限公司卫星嘉园连锁店,地址：吉林省长春市南关区卫星路与东岭街交汇处卫星路公务员住宅小区1号楼111室,电话：0431-85351911,
长春市福百草大药房有限公司师大连锁店,地址：吉林省长春市净月经济开发区农大北四路121号,电话：无,
长春市福百草大药房有限公司百合连锁店,地址：吉林省长春市南关区曙光路20-6号6101室,电话：无,
长春市福百草大药房有限公司万福街连锁店,地址：吉林省长春市绿园区万福街831号一楼门市,电话：0431-87679995,
长春市福百草大药房有限公司德惠路连锁店,地址：吉林省长春市朝阳区清和街30号,电话：无,
长春市福百草大药房有限公司永春连锁店,地址：吉林省长春市朝阳区永春镇政府小区10号商铺,电话：无,
长春市福百草大药房有限公司阳光路连锁店,地址：吉林省长春市绿园区阳光路140-6号星宇西区9号楼116室,电话：0431-87938522,
长春市福百草大药房有限公司热电新村连锁店,地址：吉林省长春市二道区临河街热电新村一区南栋房屋1#,电话：0431-85853999,
长春市福百草大药房有限公司曙光路连锁店,地址：吉林省长春市南关区曙光路22号8号房,电话：无,
长春市福百草大药房有限公司农场新区连锁店,地址：吉林省长春市净月经济开发区农大农场宿舍3号楼1楼101号,电话：无,
长春市福百草大药房有限公司博学路连锁店,地址：吉林省长春市净月经济开发区博学路兆基.东城国际花园2号楼101室,电话：0431-84571112,
长春市福百草大药房有限公司净月连锁店,地址：吉林省长春市净月经济开发区吉林农大校内八舍一楼,电话：无,
长春市福百草大药房有限公司农大连锁店,地址：吉林省长春市净月开发区农大农贸市场一楼,电话：0431-84514845,
长春市福百草大药房有限公司景阳连锁店,地址：吉林省长春市绿园区普阳街景阳小区21栋106室 ,电话：无,
延边正道医药连锁有限公司新药大药房四十二分店,地址：吉林省延边州延吉市进学街30-2（东方饺子王斜对面，23路市医院站点处） ,电话：0433-6099142 ,
延边正道医药连锁有限公司新药大药房四十一分店,地址：吉林省延边州延吉市恒润富力城第一综合楼（全州拌饭往北100米，发展一队站点） ,电话：0433-6099141 ,
延边正道医药连锁有限公司新药大药房三十二分店,地址：吉林省延边州延吉市龙井市汪清县益佳花园12号楼14号门市 ,电话：0433-6099132 ,
延边正道医药连锁有限公司新药大药房四十分店,地址：吉林省延边州延吉市光华路656（艺术剧场后街31路光货桥站点） ,电话：0433-6099140 ,
延边正道医药连锁有限公司新药大药房三十一分店,地址：吉林省延边州延吉市长白路（万事达小区11-9号75-1-2） ,电话：0433-6099131 ,
延边正道医药连锁有限公司新药大药房二十二分店,地址：吉林省延边州延吉市龙井市汪清县汪清镇贸易大厦西侧第一门市房步行街头 ,电话：0433-8922622 ,
延边正道医药连锁有限公司新药大药房三十九分店,地址：吉林省延边州延吉市进学街119号（49路开元酒店站点） ,电话：0433-6099139 ,
延边正道医药连锁有限公司新药大药房三十分店,地址：吉林省延边州延吉市爱丹路（园丁新村小区1号楼门市1-6） ,电话：0433-8922630 ,
延边正道医药连锁有限公司新药大药房二十一分店,地址：吉林省延边州延吉市龙井市龙门街繁荣路94-90-4号 ,电话：0433-8922621 ,
延边正道医药连锁有限公司新药大药房珲春民心店,地址：吉林省延边州延吉市珲春市靖和街新公安局小区2号楼103号（成功酒吧对面） ,电话：0433-8922674 ,
延边正道医药连锁有限公司新药大药房三十八分店,地址：吉林省延边州延吉市太平街214号（旧货市场站点） ,电话：0433-6099138 ,
延边正道医药连锁有限公司新药大药房二十九分店,地址：吉林省延边州和龙市丰民路5-4号（和龙市民安街南市场吉泰家园2号楼1楼门市） ,电话：0433-8922629 ,
延边正道医药连锁有限公司新药大药房二十分店,地址：吉林省延边州延吉市新村路1-14号1009（北大市场东50米） ,电话：0433-8922620 ,
延边正道医药连锁有限公司新药大药房珲春恒心店,地址：吉林省延边州延吉市珲春市靖和街4-4-65-101,电话：0433-8922675 ,
延边正道医药连锁有限公司新药大药房三十七分店,地址：吉林省延边州延吉市河南街新丰居天池路173-4号（天池市场西50米） ,电话：0433-6099137 ,
延边正道医药连锁有限公司新药大药房二十八分店,地址：吉林省延边州延吉市进学街（庆光嘉园1-1-102，解放路月光花苑对面） ,电话：0433-8922628 ,
延边正道医药连锁有限公司新药大药房十九分店,地址：吉林省延边州延吉市发展村（恒润第一城站点往南50米） ,电话：0433-8922619 ,
延边正道医药连锁有限公司新药大药房珲春爱心店,地址：吉林省延边州延吉市珲春市新安街沿河市场一楼,电话：0433-7810111 ,
延边正道医药连锁有限公司新药大药房三十六分店,地址：吉林省延边州延吉市河南街州党校小区门市，丛柳街新柳花园小区东门往北100米处,电话：0433-6099136 ,
延边正道医药连锁有限公司新药大药房二十七分店,地址：吉林省延边州延吉市参花街301-1-2号（畜牧开发总公司宿舍对面1楼门市） ,电话：0433-8922627 ,
延边正道医药连锁有限公司新药大药房十八分店,地址：吉林省延边州延吉市龙井市建设街龙都嘉园小区2号楼1号(延吉市龙井市西市场站点） ,电话：0433-8922618 ,
延边正道医药连锁有限公司新药大药房珲春温心店,地址：吉林省延边州延吉市珲春市靖和街源委(移动公司斜对面，联通营业厅东50米） ,电话：0433-7800111 ,
延边正道医药连锁有限公司新药大药房三十五分店,地址：吉林省延边州延吉市铁南（延面路嘉禾馨苑小区14号楼1单元，22路终点站） ,电话：0433-6099135 ,
延边正道医药连锁有限公司新药大药房二十六分店,地址：吉林省延边州延吉市参花街278-9号1单元105师范学院斜对面往东50米,电话：0433-8922626 ,
延边正道医药连锁有限公司新药大药房十七分店,地址：吉林省延边州延吉市公园路（梨花市场门市，老梨花苑站点） ,电话：0433-8922617 ,
延边正道医药连锁有限公司新药大药房四十三分店,地址：吉林省延边州延吉市东市场南门门市（解放路132-1，王府御足斜对面） ,电话：0433-6099143 ,
延边正道医药连锁有限公司新药大药房三十四分店,地址：吉林省延吉市延北小区11号楼1-2号（民政局东北角左拐延北小区1楼门市） ,电话：0433-6099134 ,
延边正道医药连锁有限公司新药大药房二十五分店,地址：吉林省延边州延吉市公园街华商棚户区G1段5号楼东4单元,电话：0433-8922625 ,
延边正道医药连锁有限公司新药大药房十六分店,地址：吉林省延边州延吉市站前街1030-8号1003，惠爱医院对面 ,电话：0433-8922616 ,
延边正道医药连锁有限公司新药大药房三十三分店,地址：吉林省延边州延吉市和龙市人民大街77-9号（和龙延百对面，和龙市场东50米） ,电话：0433-6099133 ,
延边正道医药连锁有限公司新药大药房二十四分店,地址：吉林省延边州延吉市龙井市造纸厂3号楼5单元102,电话：0433-8922624 ,
延边正道医药连锁有限公司新药大药房十五分店,地址：吉林省延边州延吉市参花街170-4-3号1016，水上市场对面 ,电话：0433-8922615 ,
延边正道医药连锁有限公司新药大药房二十三分店,地址：吉林省延边州延吉市龙井市龙门街506005（延吉市龙井市龙门桥往东50米） ,电话：0433-8922623 ,
延边正道医药连锁有限公司新药大药房十四分店,地址：吉林省延边州延吉市河南天池路龙新组团2号楼，疾病控制中心斜对面 ,电话：0433-8922614 ,
延边正道医药连锁有限公司新药大药房十三分店,地址：吉林省延边州延吉市延南街长寿居14组延龙路26-6号，铁南市场斜对面 ,电话：0433-8922613 ,
延边正道医药连锁有限公司新药大药房十二分店,地址：吉林省延边州延吉市延南路268号二号楼104号铁南电力小区正门,电话：0433-8922612 ,
延边正道医药连锁有限公司新药大药房三分店,地址：吉林省延边州延吉市局子街1558-5号，延边医院住院部斜对过州广电局1楼 ,电话：0433-8922603 ,
延边正道医药连锁有限公司新药大药房十一分店,地址：吉林省延边州延吉市天池路（广源居小区正门） ,电话：0433-8922611 ,
延边正道医药连锁有限公司新药大药房二分店,地址：吉林省延边州延吉市爱丹路1-12号，延边医院门诊楼斜对面 ,电话：0433-8922602 ,
延边正道医药连锁有限公司新药大药房十分店,地址：吉林省延边州延吉市站前街182号，妇幼医院对过 ,电话：0433-8922610 ,
延边正道医药连锁有限公司新药大药房一分店,地址：吉林省延边州延吉市参花街775号，时尚广场原女人世界1楼 ,电话：0433-8922601 ,
延边正道医药连锁有限公司新药大药房九分店,地址：吉林省延边州延吉市参花街264-2号，环卫处站点 ,电话：0433-8922609 ,
延边正道医药连锁有限公司正道超市,地址：吉林省延边州延吉市光明街42号（新药书店西侧）,电话：043-8922680,
延边正道医药连锁有限公司新药大药房八分店,地址：吉林省延边州延吉市河南街新元居天池路133号，昌盛市场站点 ,电话：0433-8922608 ,
延边正道医药连锁有限公司新药大药房总店,地址：吉林省延边州延吉市光明街42号（新药书店西侧） ,电话：0433-8922600 ,
延边正道医药连锁有限公司新药大药房七分店,地址：吉林省延边州延吉市解放路1837-15号1009，家顺市场西100米 ,电话：0433-8922607 ,
延边正道医药连锁有限公司新药大药房六分店,地址：吉林省延边州延吉市建工街长白路金汇园小区1-1-0116号,电话：0433-8922606 ,
延边正道医药连锁有限公司新药大药房五分店,地址：吉林省延边州延吉市长白山西路2437号，东北亚客运站西50米 ,电话：0433-8922605 ,
延边正道医药连锁有限公司新药大药房四分店,地址：吉林省延边州延吉市公园路888号，延边大学斜对面，爱心公寓1楼 ,电话：0433-8922604 ,
通化一方天医药连锁有限公司西江店,地址：吉林省通化市通化县西江镇移动对面,电话：0435-5791888,
通化一方天医药连锁有限公司富江店,地址：吉林省通化市通化县富江乡移动对面,电话：0435-5891067,
通化一方天医药连锁有限公司柳河县罗通山镇百姓大药房,地址：吉林省通化市柳河县罗通山镇医院对过 ,电话：15143562955 ,
通化一方天医药连锁有限公司中东店,地址：吉林省通化市中东新天地购物公园地下厅 ,电话：15143567088 ,
通化一方天医药连锁有限公司石油化店,地址：吉林省通化市建设大街104-4号汇丰大酒店斜对过 ,电话：0435-6860999 ,
通化一方天医药连锁有限公司一方天药业二部,地址：吉林省通化市辉南县朝阳镇西十字街道北 ,电话：0435-8222325 ,
通化一方天医药连锁有限公司快大长征路连锁店,地址：吉林省通化市通化县电影院公交站点 ,电话：0435-5258777 ,
通化一方天医药连锁有限公司砬缝大药房,地址：吉林省通化市通化县英戈布镇砬缝村 ,电话：13134357337 ,
通化一方天医药连锁有限公司集贸分店,地址：吉林省通化市东昌区兴昌路49栋1-1号（集贸中心正门对过） ,电话：0435-3650985 ,
通化一方天医药连锁有限公司柳河县亨通大药房,地址：吉林省通化市柳河县亨通镇政府对面 ,电话：0435-7698177 ,
通化一方天医药连锁有限公司大厦药店,地址：吉林省通化市辉南县朝阳镇富强大街32-10号 ,电话：0435-8238567 ,
通化一方天医药连锁有限公司柳河县圣水镇金弘大药房,地址：吉林省通化市柳河县圣水镇信用社对过 ,电话：0435-7688602 ,
通化一方天医药连锁有限公司辉南县朝阳镇文化药店,地址：吉林省通化市辉南县朝阳镇兴工街（中医院对过） ,电话：18643564477 ,
通化一方天医药连锁有限公司梅河口福民店,地址：吉林省通化市梅河口市梅河西大街3620号（嘉年华东侧） ,电话：13069274345 ,
通化一方天医药连锁有限公司梅河口一部,地址：吉林省通化市梅河口市宁国路建行小区 ,电话：0435-4246657 ,
通化一方天医药连锁有限公司梅河口山城镇药店,地址：吉林省通化市梅河口市山城镇东放街（邮局东50米） ,电话：0435-4811909 ,
通化一方天医药连锁有限公司梅河口爱民药店,地址：吉林省通化市梅河口市威尼斯商业街7门市（爱民医院斜对过） ,电话：15143569277 ,
通化一方天医药连锁有限公司湖边路药店,地址：吉林省通化市辉南县朝阳镇朝阳湖东侧 ,电话：0435-8257117 ,
通化一方天医药连锁有限公司第十一药店,地址：吉林省通化市辉南县样子哨镇大椅山村老供销社对过 ,电话：0435-8835999 ,
通化一方天医药连锁有限公司第八药店,地址：吉林省通化市辉南县朝阳镇爱国街星华家园（电业局胡同） ,电话：0435-8262595 ,
通化一方天医药连锁有限公司石道河药店,地址：吉林省通化市辉南县石道河镇供销社楼下（林场厂部对过） ,电话：0435-8776999 ,
通化一方天医药连锁有限公司人民药店,地址：吉林省通化市辉南县朝阳镇富强大街市场大厦西侧 ,电话：0435-8258118 ,
通化一方天医药连锁有限公司农科药店,地址：吉林省通化市辉南县朝阳镇兴工街二委一组（农科花园一楼） ,电话：0435-8246111 ,
通化一方天医药连锁有限公司第十药店,地址：吉林省通化市辉南县抚民镇农村信用社南10米 ,电话：0435-8275999 ,
通化一方天医药连锁有限公司第七药店,地址：吉林省通化市辉南县朝阳镇爱国街（林业局西侧） ,电话：0435-8253113 ,
通化一方天医药连锁有限公司诊所店,地址：吉林省通化市辉南县朝阳镇爱民大街城西宾馆东侧 ,电话：15143566255 ,
通化一方天医药连锁有限公司大药房,地址：吉林省通化市辉南县朝阳镇爱民大街城西宾馆东侧,电话：0435-8255115 ,
通化一方天医药连锁有限公司四中西药店,地址：吉林省通化市辉南县朝阳镇爱民大街（四中西） ,电话：0435-8286667 ,
通化一方天医药连锁有限公司第四药店,地址：吉林省通化市辉南县朝阳镇爱民大街与兴工路交汇处（文化宫道南） ,电话：0435-8286588 ,
通化一方天医药连锁有限公司平价药店,地址：吉林省通化市辉南县朝阳镇朝阳大街新天地对过 ,电话：0435-8256116 ,
通化一方天医药连锁有限公司长春堡药店,地址：吉林省通化市辉南县辉发城镇镇政府家属楼楼下 ,电话：0435-8785888 ,
通化一方天医药连锁有限公司朝阳大街药店,地址：吉林省通化市辉南县朝阳镇朝阳大街（工商银行对过） ,电话：0435-8287999 ,
通化一方天医药连锁有限公司第九药店,地址：吉林省通化市辉南县金川镇林业站对过 ,电话：0435-8861888 ,
通化一方天医药连锁有限公司第三药店,地址：吉林省通化市辉南县朝阳镇富强大街（计生局西侧50米） ,电话：0435-8281225 ,
通化一方天医药连锁有限公司第二药店,地址：吉林省通化市辉南县朝阳镇爱民大街（凯旋路北段） ,电话：0435-8230977 ,
通化一方天医药连锁有限公司第一药店,地址：吉林省通化市辉南县朝阳镇商业小街西侧与朝阳大街交汇处 ,电话：0435-8222156 ,
辽宁成大方圆医药连锁有限公司桦甸市弘晟分店,地址：吉林省吉林市桦甸成大弘晟生活区,电话：0432-66776120,
辽宁成大方圆医药连锁有限公司桦甸市中心店,地址：吉林省吉林市桦甸市胜利街10幢11、12号,电话：0432-66277507,
辽宁成大方圆医药连锁有限公司吉林省吉林市中兴街分店,地址：吉林省吉林市昌邑区兴华街75号,电话：0432-66581466,
辽宁成大方圆医药连锁有限公司吉林省吉林市青年路分店,地址：吉林省吉林市昌邑区青年路69号,电话：0432-62447800,
辽宁成大方圆医药连锁有限公司吉林省吉林市宜山路分店,地址：吉林省吉林市丰满区南山街朝阳花园1号楼2号网点,电话：0432-64652755,
辽宁成大方圆医药连锁有限公司吉林省吉林市上海路分店,地址：吉林省吉林市昌邑区四川街215号,电话：0432-66559908,
辽宁成大方圆医药连锁有限公司吉林省吉林市遵义路分店,地址：吉林省吉林市龙潭区遵义路14号楼3号网点,电话：0432-63423755,
辽宁成大方圆医药连锁有限公司吉林省吉林市武汉路分店,地址：吉林省吉林市龙潭区荒山17栋武汉路33－9号,电话：0432-63097701,
辽宁成大方圆医药连锁有限公司吉林省吉林市向阳分店,地址：吉林省吉林市般营区昆明街皮鞋一厂综合楼1-2网点,电话：0432-62055105,
辽宁成大方圆医药连锁有限公司吉林省吉林市亚泰欣城分店,地址：吉林省吉林市昌邑区亚泰欣城11－11－12号网点,电话：0432-62551055,
辽宁成大方圆医药连锁有限公司吉林省吉林市湘潭街分店,地址：吉林省吉林市龙潭区湘潭街东方新村1号楼1－W—1号,电话：0432-63027155,
辽宁成大方圆医药连锁有限公司长春长新街分店,地址：吉林省长春市宽城区长新街20号扶贫大市场1号楼,电话：0431-86815655,
辽宁成大方圆医药连锁有限公司长春万通花园分店,地址：吉林省长春市二道区万通花园B区13-15栋105号门市,电话：0431-81773915,
辽宁成大方圆医药连锁有限公司吉林省吉林市冯家屯分店,地址：吉林省吉林市船营区长春路172号,电话：0432-64884878,
辽宁成大方圆医药连锁有限公司长春永春分店,地址：吉林省长春市南关区四五小区一栋,电话：0431-86772456,
辽宁成大方圆医药连锁有限公司长春德惠路分店,地址：吉林省长春市朝阳区清河街7号,电话：0431-86038586,
辽宁成大方圆医药连锁有限公司吉林省吉林市四川路分店,地址：吉林省吉林市昌邑区中兴街一号街坊7号楼1—2层1号,电话：0432-62755527,
辽宁成大方圆医药连锁有限公司长春龙泰富苑分店,地址：吉林省长春市南关区西三道街520号龙泰富苑小区1栋101室 ,电话：0431-81086770,
辽宁成大方圆医药连锁有限公司长春通安分店,地址：吉林省长春市二道区通安小区104、105室,电话：0431-86108103,
辽宁成大方圆医药连锁有限公司吉林省吉林市大东门分店,地址：吉林省吉林市船营区南京街68号一楼,电话：0432-62455180,
辽宁成大方圆医药连锁有限公司长春东方嘉园分店,地址：吉林省长春市绿园区皓月大路2519号东方嘉园16号楼,电话：无,
辽宁成大方圆医药连锁有限公司长春和顺分店,地址：吉林省长春市二道区和顺街通安新居11号楼108门市,电话：0431-86790332,
辽宁成大方圆医药连锁有限公司长春湖西路分店,地址：吉林省长春市朝阳区湖西路18号,电话：0431-86938029,
辽宁成大方圆医药连锁有限公司吉林省吉林市烽火分店,地址：吉林省吉林市丰满区厦门街翰林苑308-01门市,电话：432-64670499,
辽宁成大方圆医药连锁有限公司长春青年路分店,地址：吉林省长春市宽城区青年路1号,电话：0431-81755128,
辽宁成大方圆医药连锁有限公司吉林省吉林市昆明街分店,地址：吉林省吉林市船营区昆明街53号楼一楼,电话：0432-62055255,
辽宁成大方圆医药连锁有限公司长春益民分店,地址：吉林省长春市南关区西四道街158号,电话：0431-86020855,
辽宁成大方圆医药连锁有限公司长春三道街分店,地址：吉林省长春市南关区金鼎名城101号,电话：0431-86020051,
辽宁成大方圆医药连锁有限公司吉林省吉林市中心店,地址：吉林省吉林市船营区长春路60—10号,电话：0432-64861680,
辽宁成大方圆医药连锁有限公司长春义和路分店,地址：吉林省长春市朝阳区同志街西41号,电话：0431-86888676,
辽宁成大方圆医药连锁有限公司长春新月路分店,地址：吉林省长春市宽城区新月路1165号,电话：0431-81678182,
辽宁成大方圆医药连锁有限公司吉林省吉林市地区总部店,地址：吉林省吉林市船营区河南街通信胡同3号,电话：0432-24562451,
辽宁成大方圆医药连锁有限公司长春经开四区分店,地址：吉林省长春市经济技术开发区四小区,电话：0431-86016261,
辽宁成大方圆医药连锁有限公司长春二道沟分店,地址：吉林省长春市宽城区铁北康泰乐园10栋一楼门市5-6号,电话：0431-86134006,
辽宁成大方圆医药连锁有限公司长春四道街分店,地址：吉林省长春市南关区西四道街12-4号楼一层,电话：0431-86776878,
辽宁成大方圆医药连锁有限公司长春湖西花园分店,地址：吉林省长春市绿园区轻铁花园19栋103.104室 ,电话：0431-86193003,
辽宁成大方圆医药连锁有限公司长春皓月大路分店,地址：吉林省长春市绿园区皓月大路236号,电话：0431-86935525,
辽宁成大方圆医药连锁有限公司长春青怡坊分店,地址：吉林省长春市南关区通化路7号,电话：0431-86883933,
辽宁成大方圆医药连锁有限公司长春全安分店,地址：吉林省吉林省长春市南关区大经路170号,电话：0431-88021021,
吉林省益和大药房有限公司德惠九道街满客隆分店,地址：吉林省长春市德惠九道街,电话：0431-86855251,
吉林省益和大药房有限公司白城站前分店,地址：吉林省长春市白城市洮北区爱国街21号,电话：0436-6116948,
吉林省益和大药房有限公司白城中心分店,地址：吉林省白城市洮北区海明西路26号,电话：0436-6137556,
吉林省益和大药房有限公司45街区分店,地址：吉林省长春市绿园区45街区3栋3门109号,电话：0431-85731162,
吉林省益和大药房有限公司东兴小区连锁店,地址：吉林省长春市朝阳区德昌路东兴小区3栋,电话：无,
吉林省益和大药房有限公司沈铁新苑连锁店,地址：吉林省长春市沈铁新苑小区15#101室,电话：无,
吉林省益和大药房有限公司榆树三盛路分店,地址：吉林省长春市榆树市四小学东面,电话：0431-83655786,
吉林省益和大药房有限公司中海社区连锁店,地址：吉林省长春市长春中海国际社区E3-103室,电话：无,
吉林省益和大药房有限公司越野路连锁店,地址：吉林省长春市越野路与支农大街交汇54C14栋,电话：0431-85980406,
吉林省益和大药房有限公司榆树中心大街分店,地址：吉林省长春市榆树市农贸市场对面,电话：0431-83664711,
吉林省益和大药房有限公司双阳区上东国际店,地址：吉林省长春市双阳区东双阳大街北上东国际小区3幢109号门市,电话：0431-89754468,
吉林省益和大药房有限公司大经路连锁店,地址：吉林省长春市南关区大经路132号,电话：0431-88719133,
吉林省益和大药房有限公司奥海东方连锁店,地址：吉林省长春市经开区武汉路奥海东方一号小区38幢208号门市,电话：无,
吉林省益和大药房有限公司洮南步行街分店,地址：吉林省长春市洮南市古树北街（步行街内）,电话：0436-6255178,
吉林省益和大药房有限公司伊通中华东路分店,地址：吉林省长春市伊通市中华东路物尔美超市楼下,电话：0434-6921804,
吉林省益和大药房有限公司隆礼路连锁店,地址：吉林省长春市朝阳区隆礼路28号,电话：0431-85670523,
吉林省益和大药房有限公司双辽电厂分店,地址：吉林省长春市双辽市辽西街56,电话：0434-7281528,
吉林省益和大药房有限公司梧桐花园连锁店,地址：吉林省长春市梧桐花园二期1\/2栋 O 单元101号房,电话：无,
吉林省益和大药房有限公司农安站前分店,地址：吉林省长春市农安站前街金都综合楼,电话：0431-86899983,
吉林省益和大药房有限公司建设街连锁店,地址：吉林省长春市朝阳区建设街60号,电话：无,
吉林省益和大药房有限公司净月五号公馆连锁店,地址：吉林省长春市净月大街五号公馆2号楼108门市,电话：无,
吉林省益和大药房有限公司洮南满客隆分店,地址：吉林省白城市洮南市泰州北街光明办事处七十四组,电话：0436-6251157,
吉林省益和大药房有限公司雁鸣湖小区连锁店,地址：吉林省长春市宽城区西三环东侧门市3区22号,电话：0431-81706895,
吉林省益和大药房有限公司四平南湖分店,地址：吉林省四平市铁西区站前街新开委南湖花园小区1号楼1-2层107号,电话：0434-6169267,
吉林省益和大药房有限公司新竹路连锁店,地址：吉林省长春市绿园区新竹路304号,电话：0431-81707787,
吉林省益和大药房有限公司南部新城连锁店,地址：吉林省长春市南关区新城回迁小区E座1栋103号,电话：无,
吉林省益和大药房有限公司英伦小镇连锁店,地址：吉林省长春市宽城区恒利.英伦小镇A区26号楼106号门市,电话：无,
吉林省益和大药房有限公司檀香苑连锁店,地址：吉林省长春市宽城区基隆北街与柳江路交汇处龙泰檀香苑47栋104、105门市,电话：无,
吉林省益和大药房有限公司伊通中医院人民大路分店,地址：吉林省长春市伊通是人民大路分店（林业局楼下）,电话：0434-6921803,
吉林省益和大药房有限公司四季青市场连锁店,地址：吉林省长春市绿园区西环城路大禹华邦31栋105,电话：无,
吉林省益和大药房有限公司岳阳街连锁店,地址：吉林省长春市南关区岳阳街5号,电话：无,
吉林省益和大药房有限公司辽源东方新城分店,地址：吉林省辽源市龙山区商业街商业楼116号,电话：0437-3221361,
吉林省益和大药房有限公司农安欧亚分店,地址：吉林省长春市农安欧亚商场一楼,电话：0431-86896983,
吉林省益和大药房有限公司龙翔苑连锁店,地址：吉林省长春市西新经济技术开发区东方之珠龙翔苑12栋115号门市,电话：0431-81228780,
吉林省益和大药房有限公司四平市府路分店,地址：吉林省四平市国税局家属楼南侧,电话：0434-3271984,
吉林省益和大药房有限公司双辽紫金花园分店,地址：吉林省四平市双辽市紫金花园1楼,电话：0434-7245298,
吉林省益和大药房有限公司光华学院连锁店,地址：吉林省长春市经济开发区黎明村村委会光华学院正门东侧门市,电话：无,
吉林省益和大药房有限公司车城名仕连锁店,地址：吉林省长春市一汽车城名仕花园三期3栋115A号门市,电话：0431-81228768,
吉林省益和大药房有限公司辽源龙山东路分店,地址：吉林省辽源市龙山区龙山东路口部房,电话：0437-3310361,
吉林省益和大药房有限公司中信城连锁店,地址：吉林省长春市净月开发区净月大街4775号中信城小区13#地块13-11.12号楼,电话：0431-81698161,
吉林省益和大药房有限公司向阳街连锁店,地址：吉林省长春市南关区长通小区B区4栋101号,电话：无,
吉林省益和大药房有限公司桦甸市金华路分店,地址：吉林省长春市桦甸金华路1号,电话：0432-66902971,
吉林省益和大药房有限公司大屯市场连锁店,地址：吉林省长春市朝阳区大屯镇1委10组,电话：无,
吉林省益和大药房有限公司领秀朝阳连锁店,地址：吉林省长春市朝阳区开运街东抚松路南领秀朝阳A16幢111号房,电话：无,
吉林省益和大药房有限公司美景三期连锁店,地址：吉林省长春市宽城区美景天城门市7栋101室,电话：无,
