四川好仁堂惠民药店 ,地址：四川省攀枝花市米易县桥东街45,电话：0812-8175469,
四川康贝大药房连锁有限公司嘉陵第46店,地址：四川省南充市嘉陵区一立镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第23店,地址：四川省南充市嘉陵区西兴镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第97店,地址：四川省南充市嘉陵区李渡镇团结南路,电话：028-83919006,
四川康贝大药房连锁有限公司康乐店,地址：四川省眉山市彭山县凤鸣镇北街58号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第141店,地址：四川省南充市嘉陵区新场乡经家桥村,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第22店,地址：四川省南充市嘉陵区李渡镇团结东路41号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第45店,地址：四川省南充市嘉陵区火花镇二村,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第96店,地址：四川省南充市嘉陵区李渡镇团结中路,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第41店,地址：四川省南充市嘉陵区火花镇12村,电话：028-83919006,
四川康贝大药房连锁有限公司仪陇第132店,地址：四川省南充市仪陇县金城镇竹溪桥74号,电话：028-83919006,
四川康贝大药房连锁有限公司江口镇全胜店,地址：四川省眉山市彭山县江口镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第88店,地址：四川省南充市嘉陵区嘉南路1幢1层103号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第20店,地址：四川省南充市嘉陵区金凤镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第40店,地址：四川省南充市嘉陵区里坝镇,电话：028-83919006,
四川康贝大药房连锁有限公司仪陇第131店,地址：四川省南充市仪陇县来仪乡红星街,电话：028-83919006,
四川康贝大药房连锁有限公司平安店,地址：四川省眉山市彭山县凤鸣镇八五新区,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第84店,地址：四川省南充市嘉陵区李渡镇永丰街,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第37店,地址：四川省南充市嘉陵区同心街2号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第19店,地址：四川省南充市嘉陵区集凤镇,电话：028-83919006,
四川康贝大药房连锁有限公司城北店,地址：四川省眉山市彭山县凤鸣镇北外街,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第83店,地址：四川省南充市嘉陵区火花镇6村,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第36店,地址：四川省南充市嘉陵区都桥路,电话：028-83919006,
四川康贝大药房连锁有限公司黄丰店,地址：四川省眉山市彭山县黄丰镇上街,电话：028-83919006,
四川康贝大药房连锁有限公司肖帅店,地址：四川省眉山市洪雅县洪川镇天池城南42号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第34店,地址：四川省南充市嘉陵区金宝镇,电话：028-83919006,
四川康贝大药房连锁有限公司康福店,地址：四川省眉山市彭山县凤鸣镇北外街28号,电话：028-83919006,
四川康贝大药房连锁有限公司华卫店,地址：四川省眉山市洪雅县洪川镇柳街五组,电话：028-83919006,
四川康贝大药房连锁有限公司康复店,地址：四川省眉山市彭山县谢家镇中兴街,电话：028-83919006,
四川康贝大药房连锁有限公司中西成药门市,地址：四川省眉山市丹棱县丹棱镇正街21号,电话：028-83919006,
四川康贝大药房连锁有限公司顺龙健康店,地址：四川省眉山市丹陵县顺龙镇,电话：028-83919006,
四川康贝大药房连锁有限公司何氏店,地址：四川省眉山市丹棱县杨场镇,电话：028-83919006,
四川康贝大药房连锁有限公司李氏店,地址：四川省眉山市丹棱县杨场镇17号,电话：028-83919006,
四川康贝大药房连锁有限公司仁美西药门店,地址：四川省眉山市丹棱县仁美镇,电话：028-83919006,
四川康贝大药房连锁有限公司王平店,地址：四川省眉山市丹棱县双桥镇附近,电话：028-83919006,
四川康贝大药房连锁有限公司杨场中西店,地址：四川省眉山市丹棱县场镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第13店,地址：四川省南充市嘉陵区一立镇正街,电话：028-83919006,
四川康贝大药房连锁有限公司昳雯店,地址：四川省眉山市丹棱县南门,电话：028-83919006,
四川康贝大药房连锁有限公司九龙店,地址：四川省眉山市丹棱县杨场镇上,电话：028-83919006,
四川康贝大药房连锁有限公司明生店,地址：四川省眉山市丹棱县丹棱镇正街世代小区1-01号,电话：028-83919006,
四川康贝大药房连锁有限公司李周店,地址：四川省眉山市丹棱县丹棱镇正街121、123号,电话：028-83919006,
四川康贝大药房连锁有限公司仁美舒心店,地址：四川省眉山市丹棱县仁美镇附近,电话：028-83919006,
四川康贝大药房连锁有限公司诚信店,地址：四川省眉山市丹棱县丹棱镇东升路54—56号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第7店,地址：四川省南充市嘉陵区友合市场,电话：028-83919006,
四川康贝大药房连锁有限公司华阳锦湖堂药房,地址：四川省成都市天府新区华阳街道南湖西路88号（锦江花园21栋107号）,电话：028-83919006,
四川康贝大药房连锁有限公司眉山三店,地址：四川省眉山市东坡区永寿镇商业街,电话：028-83919006,
四川康贝大药房连锁有限公司建中店,地址：四川省眉山市丹棱县杨场镇附近,电话：028-83919006,
四川康贝大药房连锁有限公司东城店,地址：四川省眉山市丹棱县丹棱镇东升路123号、125号,电话：028-83919006,
四川康贝大药房连锁有限公司老字号店,地址：四川省眉山市丹棱县丹棱镇北街东升小区,电话：028-83919006,
四川康贝大药房连锁有限公司张场西药门店,地址：四川省眉山市丹棱县张场镇,电话：028-83919006,
四川康贝大药房连锁有限公司华阳天康大药房,地址：四川省成都市天府新区华阳街道富阳二街18号,电话：028-83919006,
四川康贝大药房连锁有限公司淞平店,地址：四川省眉山市丹棱县仁美镇淞平店,电话：028-83919006,
四川康贝大药房连锁有限公司顺龙医药门店,地址：四川省眉山市丹棱县顺龙乡场镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第6店,地址：四川省南充市嘉陵区安福乡,电话：028-83919006,
四川康贝大药房连锁有限公司华阳锦江堂药房,地址：四市天府新区华阳街道伏龙西街2号2栋10单元附18、19、20号川省成都,电话：028-83919006,
四川康贝大药房连锁有限公司眉山七店,地址：四川省眉山市东坡区罗平镇新街,电话：028-83919006,
四川康贝大药房连锁有限公司鑫运店,地址：四川省眉山市丹棱县何杨乡,电话：028-83919006,
四川康贝大药房连锁有限公司东街店,地址：四川省眉山市丹棱县丹棱镇正街222号-228号,电话：028-83919006,
四川康贝大药房连锁有限公司彭记店,地址：四川省眉山市丹棱县丹棱镇东升路20号,电话：028-83919006,
四川康贝大药房连锁有限公司太安堂加盟店,地址：四川省眉山市东坡区复兴乡兴月街58号,电话：028-83919006,
四川康贝大药房连锁有限公司华阳乾坤大药房,地址：四川省成都市天府新区华阳街道华新下街296、298号,电话：028-83919006,
四川康贝大药房连锁有限公司严继刚店,地址：四川省眉山市丹棱县双桥镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第18店,地址：四川省南充市嘉陵区世阳镇,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第4店,地址：四川省南充市嘉陵区火花镇茶盘路,电话：028-83919006,
四川康贝大药房连锁有限公司众生药店,地址：四川省成都市天府新区永兴镇世纪街106号,电话：028-83919006,
四川康贝大药房连锁有限公司眉山八店,地址：四川省眉山市东坡区多悦镇新建路26号,电话：028-83919006,
四川康贝大药房连锁有限公司福康店,地址：四川省眉山市丹棱县丹棱镇新南路19号 ,电话：028-83919006,
四川康贝大药房连锁有限公司仁康店,地址：四川省眉山市丹棱县丹棱镇正街238、240号,电话：028-83919006,
四川康贝大药房连锁有限公司中西店,地址：四川省眉山市丹棱县丹棱镇牌坊路62号,电话：028-83919006,
四川康贝大药房连锁有限公司多悦健康加盟店,地址：四川省眉山市东坡区多悦镇农贸市场,电话：028-83919006,
四川康贝大药房连锁有限公司达源堂药房,地址：四川省成都市天府新区合江镇莓仙路19号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉陵第14店,地址：四川省南充市嘉陵区曲水镇,电话：028-83919006,
四川康贝大药房连锁有限公司李福程药店,地址：四川省成都市天府新区兴隆镇科教街88、90号,电话：028-83919006,
四川康贝大药房连锁有限公司玉金药店,地址：四川省成都市天府新区合江镇汇源街,电话：028-83919006,
四川康贝大药房连锁有限公司眉利民药店,地址：四川省眉山市东坡区小南街63号,电话：028-83919006,
四川康贝大药房连锁有限公司太平同鑫药房,地址：四川省成都市天府新区太平镇飞龙街159、161号,电话：028-83919006,
四川康贝大药房连锁有限公司眉山十一店,地址：四川省眉山市东坡区秦家镇新街100号,电话：028-83919006,
四川康贝大药房连锁有限公司新兴庙山瑞康大药房,地址：四川省成都市天府新区新兴镇新富街252号,电话：028-83919006,
四川康贝大药房连锁有限公司华阳益和堂药店,地址：四川省成都市天府新区华阳街道香沙路88号（锦绣家园18栋4、5号）,电话：028-83919006,
四川康贝大药房连锁有限公司盐源普仁店,地址：四川省凉山彝族自治州盐源县盐源县梅雨镇街,电话：028-83919006,
四川康贝大药房连锁有限公司太平品正春天大药房,地址：四川省成都市天府新区太平镇飞龙街29号,电话：028-83919006,
四川康贝大药房连锁有限公司谊民郎氏大药房,地址：四川省凉山彝族自治州盐源县盐源县双河乡,电话：028-83919006,
四川康贝大药房连锁有限公司正兴中新药店,地址：四川省成都市天府新区正兴镇广东街19号,电话：028-83919006,
四川康贝大药房连锁有限公司盐源利民店,地址：四川省凉山彝族自治州盐源县盐源县博大乡,电话：028-83919006,
四川康贝大药房连锁有限公司喜德益康店,地址：四川省凉山彝族自治州喜德县冕山镇,电话：028-83919006,
四川康贝大药房连锁有限公司四方草药房,地址：四川省成都市天府新区合江镇致学路115、117号,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁欣荣店,地址：四川省凉山彝族自治州冕宁县民主巷13号,电话：028-83919006,
四川康贝大药房连锁有限公司喜德永康店,地址：四川省凉山彝族自治州喜德县光明镇正街,电话：028-83919006,
四川康贝大药房连锁有限公司煎茶中新药店,地址：四川省成都市天府新区煎茶镇清溪路一段90、92号,电话：028-83919006,
四川康贝大药房连锁有限公司向阳药店,地址：四川省成都市高新区合作街道晨风村336号,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁宝泰康店,地址：四川省凉山彝族自治州冕宁县漫水湾镇航天中路,电话：028-83919006,
四川康贝大药房连锁有限公司万生堂药店,地址：四川省成都市天府新区籍田镇南街49、51号,电话：028-83919006,
四川康贝大药房连锁有限公司新兴济民药房,地址：四川省成都市天府新区新兴镇新富街273、275号,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁健民店,地址：四川省凉山彝族自治州冕宁县城厢镇西街东南口,电话：028-83919006,
四川康贝大药房连锁有限公司中和万顺药店,地址：四川省成都市高新区应龙湾4组88号,电话：028-83919006,
四川康贝大药房连锁有限公司明仁堂大药房,地址：四川省成都市高新区滨河路L104、L105、L106号,电话：028-83919006,
四川康贝大药房连锁有限公司俊康药房,地址：四川省成都市高新区锦晖西三街263号（锦晖市场188号）,电话：028-83919006,
四川康贝大药房连锁有限公司普格仁健店,地址：四川省凉山西昌市新建北路16号,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁真真店,地址：四川省凉山彝族自治州冕宁县城厢镇西街,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁同仁店,地址：四川省凉山彝族自治州冕宁县泸沽镇交通南路17号,电话：028-83919006,
四川康贝大药房连锁有限公司会理济生店,地址：四川省凉山彝族自治州会理县通安镇坝心村9组,电话：028-83919006,
四川康贝大药房连锁有限公司煎茶顺康药店,地址：四川省成都市天府新区煎茶镇清溪路二段12、14号,电话：028-83919006,
四川康贝大药房连锁有限公司普格康复店,地址：四川省凉山新建南路195号,电话：028-83919006,
四川康贝大药房连锁有限公司顺康大药房,地址：四川省成都市高新区大源北支路23号,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁利民店,地址：四川省凉山彝族自治州冕宁县泸沽镇交通南路,电话：028-83919006,
四川康贝大药房连锁有限公司成都荣汇大药房,地址：四川省成都市高新区联谊巷1号附5号、6号,电话：028-83919006,
四川康贝大药房连锁有限公司新兴瑞康大药房,地址：四川省成都市天府新区新兴镇正街一段106、108号,电话：028-83919006,
四川康贝大药房连锁有限公司中和豪宇药店,地址：四川省成都市高新区东寺社区南新逸苑,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁康寿店,地址：四川省凉山彝族自治州冕宁县泸沽镇 ,电话：028-83919006,
四川康贝大药房连锁有限公司中和金桂药店,地址：四川省成都市高新区中和朝阳路276号,电话：028-83919006,
四川康贝大药房连锁有限公司会理光明店,地址：四川省凉山彝族自治州会理县鹿厂镇,电话：028-83919006,
四川康贝大药房连锁有限公司正兴康龙大药房,地址：四川省成都市天府新区正兴镇大安路119号秦皇苑小区8栋6、7、8号,电话：028-83919006,
四川康贝大药房连锁有限公司普格渝川店,地址：四川省凉山西昌市新建南路,电话：028-83919006,
四川康贝大药房连锁有限公司回龙福康店,地址：四川省凉山彝族自治州冕宁县回龙街,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁漪绿店,地址：四川省凉山彝族自治州冕宁县北街,电话：028-83919006,
四川康贝大药房连锁有限公司会理康祥店,地址：四川省凉山彝族自治州会理县东街124号,电话：028-83919006,
四川康贝大药房连锁有限公司华阳康鑫药店,地址：四川省成都市天府新区华阳街道正北中街25号附4号,电话：028-83919006,
四川康贝大药房连锁有限公司中和坤元堂健康大药房,地址：四川省成都市高新区中和朝阳路403、405、407号,电话：028-83919006,
四川康贝大药房连锁有限公司康宁大药房,地址：四川省成都市高新区新民路111、113号,电话：028-83919006,
四川康贝大药房连锁有限公司中和新生药店,地址：四川省成都市高新区中和新华1组,电话：028-83919006,
四川康贝大药房连锁有限公司成都石院大药房,地址：四川省成都市高新区顺源北巷43、45号,电话：028-83919006,
四川康贝大药房连锁有限公司普格百信店,地址：四川凉山西昌市商业步行街,电话：028-83919006,
四川康贝大药房连锁有限公司冕宁济生店,地址：四川省凉山彝族自治州冕宁县沙坝镇,电话：028-83919006,
四川康贝大药房连锁有限公司雷波福源店,地址：四川省凉山彝族自治州雷波县正街5号,电话：028-83919006,
四川康贝大药房连锁有限公司会东济民店,地址：四川省凉山彝族自治州会东县会东镇三鑫路北一段40号,电话：028-83919006,
四川康贝大药房连锁有限公司匀康大药房,地址：四川省成都市高新区和美街17号,电话：028-83919006,
四川康贝大药房连锁有限公司培元堂药房,地址：四川省成都市高新区中和下街38号、40号高新区中和街道华路街38号、40号,电话：028-83919006,
四川康贝大药房连锁有限公司郑氏药店,地址：四川省成都市高新区（西区）清源环街446、448号,电话：028-83919006,
四川康贝大药房连锁有限公司会理船城店,地址：四川省凉山彝族自治州会理县建设路,电话：028-83919006,
四川康贝大药房连锁有限公司会东华康店,地址：四川省凉山彝族自治州会东县会东镇三鑫路北一段150号,电话：028-83919006,
四川康贝大药房连锁有限公司美康堂大药房,地址：四川省成都市高新区南三环路五段188号附18号,电话：028-83919006,
四川康贝大药房连锁有限公司兴会大药房,地址：四川省凉山彝族自治州会东县会东镇满银路西段170号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌育才店,地址：四川省凉山彝族自治州育才路三段69号,电话：028-83919006,
四川康贝大药房连锁有限公司太平寺大药房,地址：四川省成都市高新区新雅中街14、16号一层,电话：028-83919006,
四川康贝大药房连锁有限公司德昌永康店,地址：四川省凉山彝族自治州茨达乡汽车站,电话：028-83919006,
四川康贝大药房连锁有限公司会东祥和药店,地址：四川省凉山彝族自治州会东县会东镇全球通路109号,电话：028-83919006,
四川康贝大药房连锁有限公司棉花沱九九大药房,地址：四川省成都市新津县花桥镇棉花沱小区5幢5-19号,电话：028-83919006,
四川康贝大药房连锁有限公司康顺大药房,地址：四川省成都市高新区仁和街88号附2、3号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌商业广场店,地址：四川省凉山彝族自治州青云商城25号,电话：028-83919006,
四川康贝大药房连锁有限公司安康堂,地址：四川省成都市新津县五津镇太升西街22、24号,电话：028-83919006,
四川康贝大药房连锁有限公司民康药房,地址：四川省成都市新津县五津镇惠安路70、72、74号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌广场路店,地址：四川省凉山彝族自治州广场路15号、17号、19号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌药房,地址：四川省成都市新津县五津镇五津西路156号附1号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌凤栖店,地址：四川省凉山彝族自治州西环路二段,电话：028-83919006,
四川康贝大药房连锁有限公司华欣药店,地址：四川省成都市新津县永商镇和平街115、117号,电话：028-83919006,
四川康贝大药房连锁有限公司瑞康药店,地址：四川省成都市新津县五津镇武阳中路278、280、282号,电话：028-83919006,
四川康贝大药房连锁有限公司柏林药店,地址：四川省成都市新津县五津镇武阳西路118、120、122号,电话：028-83919006,
四川康贝大药房连锁有限公司怀仁堂药店,地址：四川省成都市新津县五津镇兴园3路269、271、273号,电话：028-83919006,
四川康贝大药房连锁有限公司玉林堂大药房,地址：四川省成都市高新区新雅东街46号,电话：028-83919006,
四川康贝大药房连锁有限公司花桥镇政通药店,地址：四川省成都市新津县花桥镇政通街42、44、46号,电话：028-83919006,
四川康贝大药房连锁有限公司百年康药房,地址：四川省成都市新津县新平镇太平街38号附127、129号,电话：028-83919006,
四川康贝大药房连锁有限公司天天药房,地址：四川省成都市新津县五津镇太升西街3、5号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌永郎店,地址：四川省凉山彝族自治州永郎镇永春村,电话：028-83919006,
四川康贝大药房连锁有限公司德昌蔑市街店,地址：四川省凉山彝族自治州商业街142号,电话：028-83919006,
四川康贝大药房连锁有限公司金华荣昌药店,地址：四川省成都市新津县金华镇银杏路90、92号,电话：028-83919006,
四川康贝大药房连锁有限公司五津益康药店,地址：四川省成都市新津县五津镇岳巷路24号,电话：028-83919006,
四川康贝大药房连锁有限公司张记大药房,地址：四川省成都市新津县五津镇外东街137、139、141号,电话：028-83919006,
四川康贝大药房连锁有限公司兴义镇同福堂大药房,地址：四川省成都市新津县兴义镇纪碾村7组花房子社区3区24幢B5-2号,电话：028-83919006,
四川康贝大药房连锁有限公司泰兴源药房有限责任公司,地址：四川省成都市新津县五津镇外东街129号,电话：028-83919006,
四川康贝大药房连锁有限公司五津诚义药店,地址：四川省成都市新津县兴义镇兴盛街180、182号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌东风路店,地址：四川省凉山彝族自治州仿古街16号,电话：028-83919006,
四川康贝大药房连锁有限公司康康药店,地址：四川省成都市新津县五津镇五津东路235号,电话：028-83919006,
四川康贝大药房连锁有限公司花桥来福药店,地址：四川省成都市新津县花桥镇长绍街171号附8、10、12、14号,电话：028-83919006,
四川康贝大药房连锁有限公司方兴华盛药店,地址：四川省成都市新津县方兴镇方兴街49号,电话：028-83919006,
四川康贝大药房连锁有限公司益寿堂药房,地址：四川省成都市新津县五津镇吴店街109、111、113号,电话：028-83919006,
四川康贝大药房连锁有限公司新平镇俊康药店,地址：四川省成都市新津县新平镇太平街38号附2号,电话：028-83919006,
四川康贝大药房连锁有限公司康仁药房,地址：四川省成都市新津县五津镇岳巷子41、43、45号1层,电话：028-83919006,
四川康贝大药房连锁有限公司德昌微利店,地址：四川省凉山彝族自治州德州镇交通路,电话：028-83919006,
四川康贝大药房连锁有限公司华源药房,地址：四川省成都市新津县五津镇华林街2、4号,电话：028-83919006,
四川康贝大药房连锁有限公司五津鸿林药店,地址：四川省成都市新津县五津镇太中东街97、99号,电话：028-83919006,
四川康贝大药房连锁有限公司永商镇瑞仁药店,地址：四川省成都市新津县永商镇和平街316号,电话：028-83919006,
四川康贝大药房连锁有限公司普兴镇同乐大药房,地址：四川省成都市新津县普兴镇普兴东街44号附1、2、3号,电话：028-83919006,
四川康贝大药房连锁有限公司普兴镇安康药店,地址：四川省成都市新津县普兴镇养信街3号附1号,电话：028-83919006,
四川康贝大药房连锁有限公司惠康药房,地址：四川省成都市新津县普兴镇养信街8号附1、2、3号,电话：028-83919006,
四川康贝大药房连锁有限公司康福堂药房,地址：四川省成都市新津县五津镇外东街172、174号1栋1楼,电话：028-83919006,
四川康贝大药房连锁有限公司仁和康药房,地址：四川省成都市新津县五津镇西仓街27、29号,电话：028-83919006,
四川康贝大药房连锁有限公司百草堂大药房,地址：四川省成都市新津县五津镇正东街134号,电话：028-83919006,
四川康贝大药房连锁有限公司寿安堂药店,地址：四川省成都市新津县五津镇武阳西路106号,电话：028-83919006,
四川康贝大药房连锁有限公司五津康复药店,地址：四川省成都市新津县五津镇五津南路90号附3号,电话：028-83919006,
四川康贝大药房连锁有限公司新平镇太平药店,地址：四川省成都市新津县新平镇太平街38号附24号,电话：028-83919006,
四川康贝大药房连锁有限公司五津康为药店,地址：四川省成都市新津县五津镇太康西路9号1层,电话：028-83919006,
四川康贝大药房连锁有限公司花源镇永洪大药房,地址：四川省成都市新津县花源镇花源大道46、48、50号,电话：028-83919006,
四川康贝大药房连锁有限公司德昌建琼店,地址：四川省凉山彝族自治州锦川街,电话：028-83919006,
四川康贝大药房连锁有限公司西昌好药多店,地址：四川省凉山彝族自治州西昌市马水河街19号,电话：028-83919006,
四川康贝大药房连锁有限公司茂奕药房,地址：四川省成都市新津县邓双镇飞雪路5号5栋5、6号,电话：028-83919006,
四川康贝大药房连锁有限公司五津蜀康药店,地址：四川省成都市新津县五津镇岳巷路127号,电话：028-83919006,
四川康贝大药房连锁有限公司平等便民药店,地址：四川省乐山市峨边彝族自治县平等乡观慈村,电话：028-83919006,
四川康贝大药房连锁有限公司德昌永兴店,地址：四川省凉山彝族自治州永郎镇农贸市场新市场,电话：028-83919006,
四川康贝大药房连锁有限公司西昌康益店,地址：四川省凉山彝族自治州西昌市三岔口东路民族体育馆侧,电话：028-83919006,
四川康贝大药房连锁有限公司万顺药店,地址：四川省成都市双流县东升街道三里坝社区四组8号,电话：028-83919006,
四川康贝大药房连锁有限公司华阳同心大药房,地址：四川省成都市双流县协和街道锦江路四段256、258号,电话：028-83919006,
四川康贝大药房连锁有限公司泰安堂药房,地址：四川省成都市新津县五津镇五津南路77号,电话：028-83919006,
四川康贝大药房连锁有限公司五津钦林药房,地址：四川省成都市新津县五津镇外东街102号,电话：028-83919006,
四川康贝大药房连锁有限公司德顺堂药房,地址：四川省成都市双流县西航港街道机场路社区2组86号,电话：028-83919006,
四川康贝大药房连锁有限公司黄龙溪宽仁药店,地址：四川省成都市双流县黄龙溪镇金华东街251、253、255号,电话：028-83919006,
四川康贝大药房连锁有限公司龙虎药房,地址：四川省成都市双流县东升街道三强东路三段62号双兴清泰雅居1栋1层52、54号,电话：028-83919006,
四川康贝大药房连锁有限公司颐华平价大药房,地址：四川省凉山彝族自治州西昌市三岔口南路84号,电话：028-83919006,
四川康贝大药房连锁有限公司沐川利桥药店,地址：四川省乐山市沐川县利店镇街道,电话：028-83919006,
四川康贝大药房连锁有限公司瑞升堂大药房,地址：四川省成都市双流县东升街道三强南路二段69、71、73号,电话：028-83919006,
四川康贝大药房连锁有限公司康福药店,地址：四川省成都市双流县彭镇福田社区二组,电话：028-83919006,
四川康贝大药房连锁有限公司三江药房,地址：四川省成都市双流县协和街道三江悦府综合大楼1楼3号,电话：028-83919006,
四川康贝大药房连锁有限公司五津南路药房,地址：四川省成都市新津县五津镇黄鹤大道39、41号,电话：028-83919006,
四川康贝大药房连锁有限公司津尔药店,地址：四川省成都市新津县五津镇五津北路137号,电话：028-83919006,
四川康贝大药房连锁有限公司龙港大药房,地址：四川省成都市双流县九江镇乌江路352号4幢1层10号,电话：028-83919006,
四川康贝大药房连锁有限公司仁康大药房,地址：四川省成都市双流县西航港街道临江丽苑三期2栋,电话：028-83919006,
四川康贝大药房连锁有限公司健民药店,地址：四川省成都市双流县黄龙溪镇嘉禾村7、8组农贸市场A1-1-6、A1-1-7号,电话：028-83919006,
四川康贝大药房连锁有限公司西昌杨天三店,地址：四川省凉山彝族自治州西昌市三岔口东路,电话：028-83919006,
四川康贝大药房连锁有限公司永兴龙穗药店,地址：四川省成都市新津县永商镇和平街56号,电话：028-83919006,
四川康贝大药房连锁有限公司康华堂药房,地址：四川省成都市双流县彭镇木樨村三组,电话：028-83919006,
四川康贝大药房连锁有限公司石路药房,地址：四川省成都市双流县永安镇翰林街11号,电话：028-83919006,
四川康贝大药房连锁有限公司文星利民药店,地址：四川省成都市双流县西航港街道文星正街148号,电话：028-83919006,
四川康贝大药房连锁有限公司西昌合医店,地址：四川省凉山彝族自治州西昌市礼州镇,电话：028-83919006,
四川康贝大药房连锁有限公司寿龄堂药房,地址：四川省成都市新津县五津镇新民街2、4、6、8、10号,电话：028-83919006,
四川康贝大药房连锁有限公司川港大药房,地址：四川省成都市双流县九江街道学院街53号,电话：028-83919006,
四川康贝大药房连锁有限公司黄龙溪寿康药房,地址：四川省成都市双流县西航港街道九龙湖社区空港四期69栋12号,电话：028-83919006,
四川康贝大药房连锁有限公司东升白依药店,地址：四川省成都市双流县东升街道花月中街35、37、39号1栋1层1号,电话：028-83919006,
四川康贝大药房连锁有限公司花桥镇天豪药店,地址：四川省成都市新津县花桥镇政通街12、14号,电话：028-83919006,
四川康贝大药房连锁有限公司五津蕙仁药店,地址：四川省成都市新津县普兴镇养方街23号,电话：028-83919006,
四川康贝大药房连锁有限公司华阳华凤大药房,地址：四川省成都市双流县华阳街道南湖西路73号,电话：028-83919006,
四川康贝大药房连锁有限公司新兴超华药店,地址：四川省成都市双流县新兴镇凉水村5组86号4栋38、39号,电话：028-83919006,
四川康贝大药房连锁有限公司永康大药房,地址：四川省成都市双流县胜利镇维新街2号附9、10号,电话：028-83919006,
四川康贝大药房连锁有限公司三叶药房,地址：四川省成都市双流县西航港街道月星路星月花园二期18号,电话：028-83919006,
四川康贝大药房连锁有限公司红樱村店,地址：四川省成都市双流县西航港街道开发区红樱村E1-6号,电话：028-83919006,
四川康贝大药房连锁有限公司新兴德康大药房,地址：四川省成都市双流县新兴镇新富街759号,电话：028-83919006,
四川康贝大药房连锁有限公司煎茶鸿湘药店,地址：四川省成都市双流县煎茶镇鸿湘寺下街16-18号,电话：028-83919006,
四川康贝大药房连锁有限公司福寿大药房,地址：四川省成都市双流县东升街道长顺路四段46、48、50号,电话：028-83919006,
四川康贝大药房连锁有限公司嘉惠再生堂药房,地址：四川省成都市双流县东升镇荷塘南街145、147、149、151、153、155号,电话：028-83919006,
四川康贝大药房连锁有限公司西航港金玉药店,地址：四川省成都市双流县西航港街道学府西路南三街125、127号,电话：028-83919006,
四川康贝大药房连锁有限公司大兴药房,地址：四川省成都市双流县九江街道蛟龙工业港高新大道5段,电话：028-83919006,
四川康贝大药房连锁有限公司国锐大药房,地址：四川省成都市双流县九江街道馨园路29、30号,电话：028-83919006,
四川康贝大药房连锁有限公司壹杆旗药店,地址：四川省成都市双流县彭镇商业街6、8、10、12号,电话：028-83919006,
四川康贝大药房连锁有限公司九江新仁丽药店,地址：四川省成都市双流县九江街道大井社区8组,电话：028-83919006,
四川康贝大药房连锁有限公司川南大药房,地址：四川省成都市双流县东升街道涧槽中街333号13栋1层1号,电话：028-83919006,
四川康贝大药房连锁有限公司文星一和药房,地址：四川省成都市双流县西航港街道湖夹滩西四街20、22号,电话：028-83919006,
四川康贝大药房连锁有限公司汤氏店,地址：四川省乐山市沙湾区福禄镇横街41号,电话：028-83919006,
四川康贝大药房连锁有限公司康佳药店,地址：四川省乐山市市中区牟子镇沟儿村三社,电话：028-83919006,
四川康贝大药房连锁有限公司沙湾健民店,地址：四川省乐山市沙湾区潭坝乡街村,电话：028-83919006,
四川康贝大药房连锁有限公司润佳药房,地址：四川省成都市双流县西航港街道川大路二段2号（四川大学江安校区商业街三段）,电话：028-83919006,
