宣城市言午氏药店桃州路店,地址：安徽省宣城市广德县桃州镇桃州南路东B1-2号,电话：0563-6026508,
黄山市新安医药零售连锁有限公司天禄大药房,地址：安徽省黄山市屯溪区财富广场天禄商场76-6号 ,电话：0559-2582890 ,
黄山市新安医药零售连锁有限公司歙县神农堂药店,地址：安徽省黄山市歙县新安路32-9号 ,电话：0559-6511104 ,
黄山市新安医药零售连锁有限公司歙县神农大药房,地址：安徽省黄山市歙县徽州花苑门口 ,电话：0559-6533599 ,
黄山市新安医药零售连锁有限公司方德堂大药房,地址：安徽省黄山市屯溪区阜上路阜上小区东苑大门口 ,电话：0559-2523268 ,
黄山市新安医药零售连锁有限公司太平龙井大药房,地址：安徽省黄山市黄山区烟草局一楼（龙井菜市场对面） ,电话：0559-8535287 ,
黄山市新安医药零售连锁有限公司新安大药房,地址：安徽省黄山市屯溪区荷花东路74号 ,电话：0559-2514380 ,
黄山市新安医药零售连锁有限公司百姓缘大药房,地址：安徽省黄山市屯溪区新园东路258号 ,电话：0559-2548310 ,
黄山市新安医药零售连锁有限公司栗园大药房,地址：安徽省黄山市屯溪区栗园路21号（市医院对面） ,电话：0559-2541484 ,
黄山市新安医药零售连锁有限公司天都大药房,地址：安徽省黄山市屯溪区前园南路58号 ,电话：0559-2531104 ,
滁州市百姓缘药品零售连锁有限公司宿州银河三路店,地址：安徽省宿州市银河三路以北馨云路以东上河城107-108号,电话：0557-2557088,
滁州市百姓缘药品零售连锁有限公司宿州金海大道店,地址：安徽省宿州市纺织路与金海大道交叉口东侧前陈营一路,电话：0557-2531688,
滁州市百姓缘药品零售连锁有限公司宿州馨云路店,地址：安徽省宿州市馨云路美庐花园12栋8号,电话：0557-2655898,
滁州市百姓缘药品零售连锁有限公司宿州淮海中路店,地址：安徽省宿州市安徽两淮北关新城C区2#楼0118-0119室,电话：0557-2511559,
滁州市百姓缘药品零售连锁有限公司宿州西昌中路店,地址：安徽省宿州市西昌中路150号,电话：0557-3092588,
滁州市百姓缘药品零售连锁有限公司宿州胜利西路店,地址：安徽省宿州市胜利西路新桥小区1号楼,电话：0557-2635188,
滁州市百姓缘药品零售连锁有限公司宿州浍水西路店,地址：安徽省宿州市浍水路1号楼四间门面,电话：0557-2531288,
滁州市百姓缘药品零售连锁有限公司宿州汴河中路店,地址：安徽省宿州市汴河路冠生园食品厂门面综合楼贰间,电话：0557-2520688,
滁州市百姓缘药品零售连锁有限公司宿州西昌南路店,地址：安徽省宿州市西昌南路现代嘉苑0140-0106室,电话：0557-2802088,
滁州市百姓缘药品零售连锁有限公司宿州北苑小区店,地址：安徽省宿州市北苑小区D1#楼0120室,电话：0557-3953588,
滁州市百姓缘药品零售连锁有限公司阜阳颖河东路卷烟厂店,地址：安徽省阜阳市颍东区颖河东路300号,电话：0558-2689622,
滁州市百姓缘药品零售连锁有限公司宿州纺织路店,地址：安徽省宿州市纺织路与怀远路交叉口东南角综合楼0102号,电话：0557-3953188,
滁州市百姓缘药品零售连锁有限公司宿州宿怀路店,地址：安徽省宿州市宿怀北路路西花园大厦1#0106-0114#两间门面,电话：0557-3604188,
滁州市百姓缘药品零售连锁有限公司阜阳人民西路店,地址：安徽省阜阳市颍州区人民西路269#电力明园金樟苑1#楼107-108室,电话：0558-2689608,
滁州市百姓缘药品零售连锁有限公司阜阳幸福西路店,地址：安徽省阜阳市颖东区幸福西路青峰西侧舜馨苑区29#楼108-109,电话：0558-2689685,
滁州市百姓缘药品零售连锁有限公司宿州港口路店,地址：安徽省宿州市港口路西南角商住楼00210114-00210115号,电话：0557-2761388,
滁州市百姓缘药品零售连锁有限公司阜阳一道河中路店,地址：安徽省阜阳市颖东区清河办事处一道河中路21号,电话：0558-2689693,
滁州市百姓缘药品零售连锁有限公司宿州浍水路店,地址：安徽省宿州市浍水路北大泽路西0125-0126四间门面,电话：0557-3047088,
滁州市百姓缘药品零售连锁有限公司宿州光彩城店,地址：安徽省宿州市光彩城美庐花园F区1#3#楼0125-0126号,电话：0557-2972388,
滁州市百姓缘药品零售连锁有限公司阜阳泉水湾店,地址：安徽省阜阳市颍泉区泉水湾花园10号楼106室,电话：0558-2689687,
滁州市百姓缘药品零售连锁有限公司阜阳北京西路店,地址：安徽省阜阳市颍泉区北京西路康泰药业一楼门面,电话：0558-2689695,
滁州市百姓缘药品零售连锁有限公司阜阳依心明园店,地址：安徽省阜阳市开发区商业街336（M20）商住楼0102.0103号,电话：0558-2689602,
滁州市百姓缘药品零售连锁有限公司宿州胜利东路店,地址：安徽省宿州市胜利路路北五联综合楼元钉厂0112室,电话：0557-2655788,
滁州市百姓缘药品零售连锁有限公司宿州胜利路店,地址：安徽省宿州市胜利路627号,电话：0557-3042988,
滁州市百姓缘药品零售连锁有限公司阜阳莲花东路店,地址：安徽省阜阳市颍州区莲花东路雪地公寓5号楼,电话：0558-2689690,
滁州市百姓缘药品零售连锁有限公司阜阳清河东路店,地址：安徽省阜阳市清河东路西段京九商城8-10号楼,电话：0558-2689692,
滁州市百姓缘药品零售连锁有限公司宿州汴河路店,地址：安徽省宿州市汴河路97号,电话：0557-3045788,
滁州市百姓缘药品零售连锁有限公司阜阳淮河路店,地址：安徽省阜阳市淮河路366号名城苑17幢A14-15两间,电话：0558-7152858,
滁州市百姓缘药品零售连锁有限公司阜阳新安大道店,地址：安徽省阜阳市开发区京九办新安大道299号世纪家园东区楼103室,电话：0558-2689609,
滁州市百姓缘药品零售连锁有限公司阜阳颍河东路店,地址：安徽省阜阳市颍东区颍河东路69号105-106室,电话：0558-2689689,
滁州市百姓缘药品零售连锁有限公司阜阳北京东路店,地址：安徽省阜阳市颍东区北京东路东方宾馆西侧,电话：0558-2689691,
滁州市百姓缘药品零售连锁有限公司阜阳二里井店,地址：安徽省阜阳市颍州区颍州路与林带路交叉口建设大厦,电话：0558-2689698,
滁州市百姓缘药品零售连锁有限公司天长秦栏二店,地址：安徽省滁州市天长市秦栏镇秦关街道东路,电话：0550-7760519,
滁州市百姓缘药品零售连锁有限公司阜阳绵织小区店,地址：安徽省阜阳市颍州区颖上南路西侧鸿达绵织小区综合1#楼,电话：0558-2689697,
老百姓大药房连锁股份有限公司百姓缘合肥武里山路店,地址：安徽省合肥市瑶海区永辉超市武里山路 ,电话：0551-64274155 ,
滁州市百姓缘药品零售连锁有限公司天长五店,地址：安徽省滁州市天长市天康大道与二凤路交叉口,电话：0550-7779500,
滁州市百姓缘药品零售连锁有限公司天长秦栏一店,地址：安徽省滁州市天长市秦栏镇秦关街道中路,电话：0550-7760518,
滁州市百姓缘药品零售连锁有限公司阜阳东关店,地址：安徽省阜阳市颍州区中市街道办事处颖河西路396号（东方新地）102-106室,电话：0558-2689696,
老百姓大药房连锁股份有限公司百姓缘合肥铜陵北路店,地址：安徽省合肥市瑶海区橘郡万绿园综合楼一层 ,电话：0551-64247477,
老百姓大药房连锁股份有限公司百姓缘合肥福海新居店,地址：安徽省合肥市瑶海区福海新居G幢103、104,33幢103、104室 ,电话：0551-64311393 ,
滁州市百姓缘药品零售连锁有限公司天长九店,地址：安徽省滁州市天长市平安北路建材综合商场,电话：0550-7031970,
滁州市百姓缘药品零售连锁有限公司凤阳门台店,地址：安徽省滁州市凤阳县门台镇老街门店方第2号房,电话：0550-6676383,
老百姓大药房连锁股份有限公司百姓缘合肥张洼路店,地址：安徽省合肥市新站区新恒生大厦3-101\/201、9-102\/202 ,电话：0551-64224189 ,
滁州市百姓缘药品零售连锁有限公司天长四店,地址：安徽省滁州市天长市新河南路百货公司楼北向南第四五间门面,电话：0550-7037700,
滁州市百姓缘药品零售连锁有限公司来安汊河一店,地址：安徽省滁州市来安县汊河新区东大街北侧路贰间,电话：0550-5639021,
老百姓大药房连锁股份有限公司百姓缘合肥当涂路店,地址：安徽省合肥市瑶海区当涂路38号格林磬园 ,电话：0551-64244721 ,
滁州市百姓缘药品零售连锁有限公司天长汊涧一店,地址：安徽省滁州市天长市汊涧镇南东街路,电话：0550-7610158,
滁州市百姓缘药品零售连锁有限公司天长三店,地址：安徽省滁州市天长市仁和南路肉厂综合楼三间门面,电话：0550-7033900,
老百姓大药房连锁股份有限公司百姓缘合肥中州店,地址：安徽省合肥市瑶海区凤阳路正泰大厦23、24、25号门面 ,电话：0551-64258303 ,
滁州市百姓缘药品零售连锁有限公司天长八店,地址：安徽省滁州市天长市石梁西路三中开发3号楼122-1.122-2号,电话：0550-7099002,
滁州市百姓缘药品零售连锁有限公司天长二店,地址：安徽省滁州市天长市谷丰商场,电话：0550-7779119,
滁州市百姓缘药品零售连锁有限公司来安水口店,地址：安徽省滁州市来安县水口镇104国道南侧,电话：0550-5900762,
滁州市百姓缘药品零售连锁有限公司凤阳临淮店,地址：安徽省滁州市凤阳县临淮镇门临路1号,电话：0550-6575769,
老百姓大药房连锁股份有限公司百姓缘合肥周谷堆店,地址：安徽省合肥市瑶海区屯溪路48号 ,电话：0551-64660711,
老百姓大药房连锁股份有限公司百姓缘合肥临泉东路店,地址：安徽省合肥市瑶海区皇马花园8号楼S101-1,电话：0551-64207665 ,
滁州市百姓缘药品零售连锁有限公司来安半塔二店,地址：安徽省滁州市来安县半塔镇民众南路42号,电话：0550-5704090,
滁州市百姓缘药品零售连锁有限公司凤阳四店,地址：安徽省滁州市凤阳县府城镇府西街北侧五岔路东北,电话：0550-6620955,
滁州市百姓缘药品零售连锁有限公司天长秦栏三店,地址：安徽省滁州市天长市秦栏镇寿昌社区秦关中路,电话：0550-7760517,
老百姓大药房连锁股份有限公司百姓缘合肥临泉东路二店,地址：安徽省合肥市瑶海区泗州路与临泉东路交口 ,电话：0551-64473067 ,
滁州市百姓缘药品零售连锁有限公司天长一店,地址：安徽省滁州市天长市建设东路（变更同心路3-4号）,电话：0550-7099001,
老百姓大药房连锁股份有限公司百姓缘合肥凤阳东路店,地址：安徽省合肥市瑶海区凤阳东路万福家园5号商住楼103、104 ,电话：0551-64418983 ,
滁州市百姓缘药品零售连锁有限公司来安半塔店,地址：安徽省滁州市来安县半塔镇陵园东路4号,电话：0550-5704500,
老百姓大药房连锁股份有限公司百姓缘静安新城店,地址：安徽省合肥市龙岗开发区静安新城26幢111、112 ,电话：0551-67668997 ,
滁州市百姓缘药品零售连锁有限公司天长六店,地址：安徽省滁州市天长市三桥路东侧新城花苑5栋129-130#,电话：0550-7099669,
老百姓大药房连锁股份有限公司百姓缘合肥和平路店,地址：安徽省合肥市瑶海区和平路89号 ,电话：0551-64474015 ,
滁州市百姓缘药品零售连锁有限公司凤阳三店,地址：安徽省滁州市凤阳县府城镇文昌街,电话：0550-6730693,
滁州市百姓缘药品零售连锁有限公司来安南大街店,地址：安徽省滁州市来安县花园综合楼从北向南第一间门面房,电话：0550-5633210,
老百姓大药房连锁股份有限公司百姓缘合肥金大塘店,地址：安徽省合肥市瑶海区明光路92号 ,电话：0551-64695311 ,
滁州市百姓缘药品零售连锁有限公司凤阳总铺店,地址：安徽省滁州市凤阳县总铺镇新街,电话：0550-6202096,
老百姓大药房连锁股份有限公司百姓缘合肥东湖店,地址：安徽省合肥市瑶海区东湖山庄碧云阁14号楼103、203 ,电话：0551-64859467 ,
滁州市百姓缘药品零售连锁有限公司来安永阳店,地址：安徽省滁州市来安县永阳市场,电话：0550-5633229,
老百姓大药房连锁股份有限公司百姓缘合肥胜利路店,地址：安徽省合肥市瑶海区窑湾路6号 ,电话：0551-64293385 ,
滁州市百姓缘药品零售连锁有限公司凤阳二店,地址：安徽省滁州市凤阳县府东街,电话：0550-6735986,
滁州市百姓缘药品零售连锁有限公司来安东大街店,地址：安徽省滁州市来安县东大街191号,电话：0550-5633259,
老百姓大药房连锁股份有限公司百姓缘合肥新海大道店,地址：安徽省合肥市瑶海区当涂路与新海大道交口X阳世纪城5幢107、207 ,电话：0551-64394653 ,
滁州市百姓缘药品零售连锁有限公司来安大马店,地址：安徽省滁州市来安县建阳南路12号,电话：0550-5633201,
滁州市百姓缘药品零售连锁有限公司来安二里桥店,地址：安徽省滁州市来安县来城建阳南路二里桥北侧,电话：0550-5633200,
滁州市百姓缘药品零售连锁有限公司全椒华巨十字店,地址：安徽省滁州市全椒县十字镇十字街道,电话：0550-3533151,
老百姓大药房连锁股份有限公司百姓缘合肥大通路店,地址：安徽省合肥市瑶海区大通路38中斜对面,电话：0551-64481317 ,
老百姓大药房连锁股份有限公司百姓缘合肥景秀世家店,地址：安徽省合肥市瑶海区徽州大道与紫云路交叉口金源购物中心 ,电话：0551-64429239 ,
滁州市百姓缘药品零售连锁有限公司华巨五店,地址：安徽省滁州市全椒县襄河镇庄曹新村商用C号楼,电话：0550-5208488,
老百姓大药房连锁股份有限公司百姓缘合肥巢湖路店,地址：安徽省合肥市瑶海区巢湖路春雨花园5号楼 ,电话：0551-62872135 ,
老百姓大药房连锁股份有限公司百姓缘合肥南七店,地址：安徽省合肥市蜀山区仰光路1号 ,电话：0551-63633391 ,
滁州市百姓缘药品零售连锁有限公司全椒华巨雅园店,地址：安徽省滁州市全椒县敬梓路雅园小区1幢门面房107,108号,电话：0550-5306332,
老百姓大药房连锁股份有限公司百姓缘城市绿苑店,地址：安徽省合肥市瑶海区铜陵路宝业城市绿苑紫街4栋103-1.2铺 ,电话：0551-64451960 ,
滁州市百姓缘药品零售连锁有限公司明光十一店,地址：安徽省滁州市明光市女山路43号科委楼门面自北向南第1.2间,电话：0550-8107881,
滁州市百姓缘药品零售连锁有限公司明光六店,地址：安徽省滁州市明光市四马路职高综合楼门面自西向东7、8、9间,电话：0550-8154392,
滁州市百姓缘药品零售连锁有限公司全椒华巨四店,地址：安徽省滁州市全椒县襄水北路,电话：0550-5208388,
滁州市百姓缘药品零售连锁有限公司华巨十店,地址：安徽省滁州市全椒县全椒城东三角花园2号商业楼16-17号,电话：0550-5303311,
老百姓大药房连锁股份有限公司百姓缘合肥香樟大道店,地址：安徽省合肥市蜀山区香樟大道272号 ,电话：0551-65732276 ,
老百姓大药房连锁股份有限公司百姓缘合肥潜山路店,地址：安徽省合肥市蜀山区潜山路永辉超市 ,电话：0551-63543275 ,
老百姓大药房连锁股份有限公司百姓缘合肥金屯店,地址：安徽省合肥市蜀山区金寨路227号 ,电话：0551-63638807 ,
滁州市百姓缘药品零售连锁有限公司全椒华巨三店,地址：安徽省滁州市全椒县襄水东路农村合作银行对面,电话：0550-5208288,
滁州市百姓缘药品零售连锁有限公司华巨九店,地址：安徽省滁州市全椒县襄河镇儒林路儒林东苑21#楼106-108号三间门面,电话：0550-5304411,
老百姓大药房连锁股份有限公司百姓缘合肥望江苑店,地址：安徽省合肥市蜀山区望江西路159号望江苑综合楼109-111号 ,电话：0551-65129455 ,
滁州市百姓缘药品零售连锁有限公司明光五店,地址：安徽省滁州市明光市三马路西段皖东拖车厂宿舍楼下第一层,电话：0550-8109321,
滁州市百姓缘药品零售连锁有限公司定远炉桥一店,地址：安徽省滁州市定远县炉桥镇工业区建材路,电话：0550-4301933,
老百姓大药房连锁股份有限公司百姓缘荣城花园北苑店,地址：安徽省合肥市庐阳区荣城北苑30幢1404室,电话：0551-65504573 ,
老百姓大药房连锁股份有限公司百姓缘合肥长江东路店,地址：安徽省合肥市瑶海区长江东路与定远路交叉口 ,电话：0551-64451093 ,
滁州市百姓缘药品零售连锁有限公司明光潘村店,地址：安徽省滁州市明光市潘村镇老街道,电话：0550-8934505,
老百姓大药房连锁股份有限公司百姓缘合肥木匠李路店,地址：安徽省合肥市蜀山区木匠李路新文采花园1号西区103 ,电话：0551-65325071 ,
老百姓大药房连锁股份有限公司百姓缘合肥合作化南路店,地址：安徽省合肥市蜀山区合作化路114号 ,电话：0551-65163529 ,
滁州市百姓缘药品零售连锁有限公司华巨八店,地址：安徽省滁州市全椒县襄河镇健康路过道数第四间、物资局楼一层南第五间,电话：0550-5207466,
滁州市百姓缘药品零售连锁有限公司全椒华巨二店,地址：安徽省滁州市全椒县襄河镇宝林居委会宝林路,电话：0550-5208188,
老百姓大药房连锁股份有限公司百姓缘合肥南苑店,地址：安徽省合肥市蜀山区宿松路155号 ,电话：0551-63652211 ,
滁州市百姓缘药品零售连锁有限公司明光四店,地址：安徽省滁州市明光市女山路与明珠苑小区西北入口处1号,电话：0550-8155290,
老百姓大药房连锁股份有限公司百姓缘合肥望江西路店,地址：安徽省合肥市蜀山区好帮手超市入口北面约30米 ,电话：0551-65736762 ,
老百姓大药房连锁股份有限公司百姓缘合肥花冲店,地址：安徽省合肥市瑶海区长江东路593号 ,电话：0551-64315611 ,
老百姓大药房连锁股份有限公司百姓缘肥西路店,地址：安徽省合肥市瑶海区肥西路299号 ,电话：0551-64262481 ,
滁州市百姓缘药品零售连锁有限公司明光九店,地址：安徽省滁州市明光市韩山南路与广场路路口,电话：0550-8022101,
老百姓大药房连锁股份有限公司百姓缘合肥人行店,地址：安徽省合肥市蜀山区梅山路2号银保大厦 ,电话：0551-63691251 ,
老百姓大药房连锁股份有限公司百姓缘合肥御琴湾店,地址：安徽省合肥市蜀山区樊洼路御琴湾1号102上下 ,电话：0551-65577479 ,
滁州市百姓缘药品零售连锁有限公司华巨六店,地址：安徽省滁州市全椒县襄河镇吴敬梓路西侧平安阁1幢8、9号,电话：0550-5034422,
老百姓大药房连锁股份有限公司百姓缘合肥双七店,地址：安徽省合肥市新站区双七路 ,电话：0551-62115277 ,
老百姓大药房连锁股份有限公司百姓缘合肥史河路店,地址：安徽省合肥市蜀山区史河路永辉超市 ,电话：0551-65596329 ,
滁州市百姓缘药品零售连锁有限公司明光三店,地址：安徽省滁州市明光市池河大道育才花园1号楼门面,电话：0550-8155979,
老百姓大药房连锁股份有限公司百姓缘合肥樊洼路店,地址：安徽省合肥市蜀山区樊洼路 ,电话：0551-65337465 ,
滁州市百姓缘药品零售连锁有限公司全椒华巨药品零售连锁有限公司,地址：安徽省滁州市全椒县儒林路,电话：0550-5034455,
滁州市百姓缘药品零售连锁有限公司明光八店,地址：安徽省滁州市明光市方家巷东方红电影院东侧,电话：0550-8109368,
老百姓大药房连锁股份有限公司百姓缘合肥聚云路店,地址：安徽省合肥市蜀山区聚云北路汇林阁 ,电话：0551-63539727 ,
老百姓大药房连锁股份有限公司百姓缘合肥天柱路店,地址：安徽省合肥市蜀山区长江西路888号徽商城市庭院1幢102室 ,电话：0551-65310365 ,
老百姓大药房连锁股份有限公司百姓缘合肥安居苑店,地址：安徽省合肥市蜀山区青阳路与长江路交叉口的信天商办楼一楼 ,电话：0551-65133061 ,
老百姓大药房连锁股份有限公司百姓缘合肥农发行店,地址：安徽省合肥市蜀山区金寨路农业发展银行内 ,电话：0551-63623746 ,
老百姓大药房连锁股份有限公司百姓缘合肥长江西路店,地址：安徽省合肥市蜀山区长江西路498号 ,电话：0551-65375821 ,
滁州市百姓缘药品零售连锁有限公司明光二店,地址：安徽省滁州市明光市龙山路37号,电话：0550-8139278,
老百姓大药房连锁股份有限公司百姓缘合肥西园店,地址：安徽省合肥市蜀山区长江西路306号和信大厦 ,电话：0551-65127171,
老百姓大药房连锁股份有限公司百姓缘合肥亳州路店,地址：安徽省合肥市蜀山区亳州路201号 ,电话：0551-65631534 ,
老百姓大药房连锁股份有限公司百姓缘十里店路店,地址：安徽省合肥市蜀山区公园道1号7栋1层103室 ,电话：0551-64426063 ,
老百姓大药房连锁股份有限公司百姓缘合肥东至路店,地址：安徽省合肥市蜀山区东至路5号陆军军官学院内综合服务楼2楼 ,电话：0551-65768292 ,
老百姓大药房连锁股份有限公司百姓缘肥东良小郢店,地址：安徽省合肥市肥东县店埠镇镇南良小郢（撮镇路人保对面） ,电话：0551-67702780 ,
老百姓大药房连锁股份有限公司百姓缘合肥板桥店,地址：安徽省合肥市庐阳区濉溪路2号 ,电话：0551-65691641 ,
滁州市百姓缘药品零售连锁有限公司定远永康店,地址：安徽省滁州市定远县永康镇滁谯路第一层（3间）,电话：0550-4404929,
老百姓大药房连锁股份有限公司百姓缘合肥肥东石塘路店,地址：安徽省合肥市肥东县店埠镇石塘路 ,电话：0551-67759239 ,
老百姓大药房连锁股份有限公司百姓缘合肥金鸟花园店,地址：安徽省合肥市庐阳区荣事达大道450号 ,电话：0551-65531121 ,
老百姓大药房连锁股份有限公司百姓缘肥东公园路店,地址：安徽省合肥市肥东县店埠镇镇西居委会桥西居民组（店埠镇公园路39号）,电话：0551-67704461 ,
老百姓大药房连锁股份有限公司百姓缘合肥轩辕路店,地址：安徽省合肥市经开区轩辕路以南、习友路以东南湖春城小区商铺E2 104 ,电话：0551-63484614 ,
老百姓大药房连锁股份有限公司百姓缘合肥和煦园店,地址：安徽省合肥市庐阳区蒙城北路和煦园小区11幢西1号 ,电话：0551-65695090 ,
滁州市百姓缘药品零售连锁有限公司定远六店,地址：安徽省滁州市定远县定城镇长征路与东城路交叉口M-115、M-116,电话：0550-4999059,
老百姓大药房连锁股份有限公司百姓缘合肥肥东龙泉西路二店,地址：安徽省合肥市肥东县埠镇龙泉西路97号 ,电话：0551-67708975 ,
滁州市百姓缘药品零售连锁有限公司定远张桥店,地址：安徽省滁州市定远县张桥镇合蚌路,电话：0550-4607779,
滁州市百姓缘药品零售连锁有限公司定远二店,地址：安徽省滁州市定远县人民路59号,电话：0550-4021766,
老百姓大药房连锁股份有限公司百姓缘合肥国轩苑店,地址：安徽省合肥市庐阳区国轩苑六幢101室 ,电话：0551-65110378 ,
老百姓大药房连锁股份有限公司百姓缘皖河路店,地址：安徽省合肥市包河区潜山路与皖河路交口新华国际金融广场A座 ,电话：0551-65280979 ,
滁州市百姓缘药品零售连锁有限公司定远十店,地址：安徽省滁州市定远县市场路东侧林业局综合楼南侧,电话：0550-4035106,
老百姓大药房连锁股份有限公司百姓缘肥东龙泉东路店,地址：安徽省合肥市肥东县埠镇龙泉东路76号过道西一、二间 ,电话：0551-67700060 ,
老百姓大药房连锁股份有限公司百姓缘合肥青年小区店,地址：安徽省合肥市包河区宁国路青年小区29幢南段,电话：0551-64654004 ,
老百姓大药房连锁股份有限公司百姓缘繁华大道店,地址：安徽省合肥市包河区内蒙古路1号 ,电话：0551-63478373 ,
老百姓大药房连锁股份有限公司百姓缘合肥莲花路店,地址：安徽省合肥市经开区莲花路交口 ,电话：0551-65417836 ,
老百姓大药房连锁股份有限公司百姓缘合肥固镇路店,地址：安徽省合肥市庐阳区固镇路 ,电话：0551-65366406 ,
老百姓大药房连锁股份有限公司百姓缘合肥肥东人民路店,地址：安徽省合肥市肥东县人民路14 ,电话：0551-67752969 ,
老百姓大药房连锁股份有限公司百姓缘合肥芙蓉路店,地址：安徽省合肥市经开区芙蓉路南松谷路西东海花园商铺H区 ,电话：0551-68991370 ,
老百姓大药房连锁股份有限公司百姓缘合肥马鞍山路店,地址：安徽省合肥市包河区马鞍山路店绿地赢海 ,电话：0551-63470857 ,
老百姓大药房连锁股份有限公司百姓缘合肥双岗店,地址：安徽省合肥市庐阳区阜阳北路5号 ,电话：0551-65621469 ,
滁州市百姓缘药品零售连锁有限公司定远九店,地址：安徽省滁州市定远县定滁路北侧编号为2006-15第1幢自东向西8-9号,电话：0550-4297138,
老百姓大药房连锁股份有限公司百姓缘合肥翠微店,地址：安徽省合肥市经开区翠微路11 ,电话：0551-63879796 ,
滁州市百姓缘药品零售连锁有限公司定远五店,地址：安徽省滁州市定远县定城镇西大街建设小学商住楼门面门,电话：0550-4022631,
滁州市百姓缘药品零售连锁有限公司乌衣二店,地址：安徽省滁州市乌衣镇清流路,电话：0550-3926587,
老百姓大药房连锁股份有限公司百姓缘合肥丰大苑店,地址：安徽省合肥市庐阳区丰大苑1号楼 ,电话：0551-65613161 ,
老百姓大药房连锁股份有限公司百姓缘肥东人民路二店,地址：安徽省合肥市肥东县店埠镇人民路青春苑小区A区7栋106，107号 ,电话：0551-67711692 ,
老百姓大药房连锁股份有限公司百姓缘望江西路二店,地址：安徽省合肥市高新区望江西路与文曲路交叉口C3座1楼 ,电话：0551-68564174 ,
老百姓大药房连锁股份有限公司百姓缘合肥九华山路店,地址：安徽省合肥市包河区九华山路菜市场大门西侧,电话：0551-64652940,
老百姓大药房连锁股份有限公司百姓缘合肥水阳江路店,地址：安徽省合肥市包河区菱水苑北7号楼112室 ,电话：0551-63438055 ,
老百姓大药房连锁股份有限公司百姓缘合肥肥东分公司,地址：安徽省合肥市肥东县新街12号 ,电话：0551-67747686 ,
老百姓大药房连锁股份有限公司百姓缘合肥肥西小庙店,地址：安徽省合肥市肥西县小庙镇卫星路31号 ,电话：0551-68599766 ,
老百姓大药房连锁股份有限公司百姓缘合肥撮镇店,地址：安徽省合肥市肥东县撮镇镇西居委会南街居民组商住房 ,电话：0551-67368225 ,
滁州市百姓缘药品零售连锁有限公司定远四店,地址：安徽省滁州市定远县合蚌路伟华新天地商业步行街A区,电话：0550-4029851,
老百姓大药房连锁股份有限公司百姓缘合肥卫岗店,地址：安徽省合肥市包河区徽州大道1024号 ,电话：0551-63417264 ,
老百姓大药房连锁股份有限公司百姓缘合肥肥东龙泉西路店,地址：安徽省合肥市肥东县龙泉西路49号 ,电话：0551-67756239 ,
老百姓大药房连锁股份有限公司百姓缘肥东梁园路店,地址：安徽省合肥市肥东县埠镇梁园路11号 ,电话：0551-67759272 ,
老百姓大药房连锁股份有限公司百姓缘合肥青年路店,地址：安徽省合肥市包河区望江路青年路交口西南侧 ,电话：0551-63436120 ,
老百姓大药房连锁股份有限公司百姓缘合肥葛大路店,地址：安徽省合肥市包河区葛大路南侧同心苑小区110、111 ,电话：0551-63497241 ,
滁州市百姓缘药品零售连锁有限公司定远八店,地址：安徽省滁州市定远县定城镇合蚌路1059号,电话：0550-4997780,
滁州市百姓缘药品零售连锁有限公司定远三店,地址：安徽省滁州市定远县严桥路108号,电话：0550-4285861,
滁州市百姓缘药品零售连锁有限公司东洲苑店,地址：安徽省滁州市东洲苑266-5.266-10室,电话：0550-3835790,
老百姓大药房连锁股份有限公司百姓缘合肥骆园小区店,地址：安徽省合肥市包河区青年路骆园小区2幢7号门面 ,电话：0551-63429859 ,
老百姓大药房连锁股份有限公司百姓缘合肥淝河路店,地址：安徽省合肥市包河区淝河南路772号凤巢园小区20幢402室 ,电话：0551-64676065 ,
滁州市百姓缘药品零售连锁有限公司乌衣一店,地址：安徽省滁州市乌衣镇乌衣合浦路9号,电话：0550-3836030,
老百姓大药房连锁股份有限公司百姓缘东流路二店,地址：安徽省合肥市包河区东流路9号 ,电话：0551-62833260 ,
滁州市百姓缘药品零售连锁有限公司小红庙店,地址：安徽省滁州市紫薇中路1668号,电话：0550-3836013,
滁州市百姓缘药品零售连锁有限公司龙蟠南苑店,地址：安徽省滁州市东坡路南侧龙蟠南苑综合楼一楼,电话：0550-3012276,
老百姓大药房连锁股份有限公司百姓缘合肥东流路店,地址：安徽省合肥市包河区东流路5号 ,电话：0551-63417594 ,
滁州市百姓缘药品零售连锁有限公司发能国际城店,地址：安徽省滁州市城南政务新区龙蟠大道166号,电话：0550-3030978,
滁州市百姓缘药品零售连锁有限公司中心店,地址：安徽省滁州市银花新村38号106、206室,电话：0550-3033517,
滁州市百姓缘药品零售连锁有限公司京华园店,地址：安徽省滁州市恒丰西路45.47号门面,电话：0550-3013813,
滁州市百姓缘药品零售连锁有限公司天逸华府店,地址：安徽省滁州市天逸华府永乐路桂园A段213.215号,电话：0550-3707115,
滁州市百姓缘药品零售连锁有限公司创业中苑店,地址：安徽省滁州市创业中苑9#一层,电话：0550-3787950,
老百姓大药房连锁股份有限公司百姓缘合肥工业大学店,地址：安徽省合肥市包河区工业大学南校区,电话：0551-62905076,
滁州市百姓缘药品零售连锁有限公司扬子路店,地址：安徽省滁州市扬子大市场门面房东12-13号,电话：0550-3725207,
滁州市百姓缘药品零售连锁有限公司铜矿店,地址：安徽省滁州市西涧路2699号铜乐园13幢06室,电话：0550-3012906,
