重庆全兴药房金龙路分店,地址：重庆市渝北区龙溪镇金龙路242号,电话：023-67607175,
重庆桐君阁大药房连锁有限责任公司巴南5店,地址：重庆市巴南区界石镇界新街44号、44-1号 ,电话：023-66410752 ,
重庆市和平药房连锁有限责任公司北碚第7连锁店,地址：重庆市北碚区碚峡东路35号,电话：023-68200855,
重庆桐君阁大药房连锁有限责任公司南岸区公司115店,地址：重庆市南岸区南坪福红路46号附13号 ,电话：023-62952015 ,
重庆桐君阁大药房连锁有限责任公司巴南1店,地址：重庆市巴南区巴南大道9号附8号1-4 ,电话：023-66216226 ,
重庆桐君阁大药房连锁有限责任公司巴南14店,地址：重庆市巴南区鱼洞鱼轻路8号 ,电话：023-66232898 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司大渡口5店,地址：重庆市大渡口区伏牛溪（长征厂内） ,电话：023-61564780 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司106店,地址：重庆市南岸区学府大道7栋2-2号 ,电话：023-62834719 ,
重庆桐君阁大药房连锁有限责任公司巴南4店,地址：重庆市巴南区界石镇界新街225号、227号 ,电话：023-66429537 ,
重庆市和平药房连锁有限责任公司阳光小区店,地址：重庆市大渡口区文体路135-3号,电话：023-68921715,
重庆市和平药房连锁有限责任公司北碚第6连锁店,地址：重庆市北碚区碚峡路218—6号,电话：023-68865415,
重庆市和平药房连锁有限责任公司李家沱店,地址：重庆市巴南区李家沱正街164号,电话：023-62850546,
重庆桐君阁大药房连锁有限责任公司南岸区公司113店,地址：重庆市南岸区南坪镇回龙路86号附85号（万友七季城） ,电话：023-62891330 ,
重庆市和平药房连锁有限责任公司茄子溪店,地址：重庆市大渡口区茄子溪申佳怡景苑9-5号,电话：023-86079600,
重庆市和平药房连锁有限责任公司北碚中心店,地址：重庆市北碚区中山路33—4号,电话：023-68862213,
重庆桐君阁大药房连锁有限责任公司巴南13店,地址：重庆市巴南区木洞镇大桥三路72号门面 ,电话：023-66436045 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司大渡口4店,地址：重庆市大渡口区春晖路街道松青路1029号（春光百货购物广场） ,电话：18723071493 ,
重庆市和平药房连锁有限责任公司大渡口一店,地址：重庆市大渡口区跃进村街道钢花路25号1栋8号,电话：023-68108979,
重庆桐君阁大药房连锁有限责任公司南岸区公司105店,地址：重庆市南岸区南坪街道宏声路46号附14号 ,电话：023-62316452 ,
重庆桐君阁大药房连锁有限责任公司巴南12店,地址：重庆市巴南区李家沱马王坪正街20号1-1 ,电话：023-62401358,
重庆市和平药房连锁有限责任公司凤鸣山店,地址：重庆市沙坪坝区凤鸣山西物市场6-7号,电话：023-61709131,
重庆桐君阁大药房连锁有限责任公司巴南3店,地址：重庆市巴南区鱼洞新市街79-1号 ,电话：023-66233535 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司112店,地址：重庆市南岸区青龙路8号巨成龙湾10号楼1层7、8号 ,电话：023-62791981 ,
重庆市和平药房连锁有限责任公司巴山店,地址：重庆市九龙坡区石桥铺石新路160号（26）号,电话：023-68461866,
重庆市和平药房连锁有限责任公司北碚第5连锁店,地址：重庆市北碚区嘉陵风情街28号附3号,电话：023-68200251,
重庆市和平药房连锁有限责任公司联发嘉园连锁店,地址：重庆市九龙坡区西郊支路17号第一层,电话：无,
重庆桐君阁大药房连锁有限责任公司南岸区公司大渡口3店,地址：重庆市大渡口区新街道钢花路588号（金华大厦） ,电话：023-86328166 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司111店,地址：重庆市南岸区经开区四公里街323号附24号 ,电话：023-62912409 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司104店,地址：重庆市南岸区亚太路1号1315幢-2层-商业39 ,电话：023-88510543 ,
重庆桐君阁大药房连锁有限责任公司巴南8店,地址：重庆市巴南区鱼洞箭河路2号（世纪华联超市内） ,电话：023-62401768 ,
重庆桐君阁大药房连锁有限责任公司巴南2店,地址：重庆市巴南区鱼洞巴县大道48-7 ,电话：023-66233536 ,
重庆市和平药房连锁有限责任公司盘龙店,地址：重庆市九龙坡区九龙乡盘龙五村113-13号,电话：023-68677267,
重庆桐君阁大药房连锁有限责任公司南岸区公司109店,地址：重庆市南岸区涂山镇藤黄路28号21幢 ,电话：023-88513053 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司103店,地址：重庆市南岸区南坪街道珊瑚路6号3栋1层5号 ,电话：023-62617393 ,
重庆市和平药房连锁有限责任公司石坪桥北站连锁店,地址：重庆市九龙坡区石坪桥横街特6号第二层(A栋),电话：023-68813721,
重庆桐君阁大药房连锁有限责任公司南岸区公司大渡口2店,地址：重庆市大渡口区九宫庙街道钢花路804号 ,电话：023-86663368 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司108店,地址：重庆市南岸学府大道51号附14号 ,电话：023-62600273 ,
重庆市和平药房连锁有限责任公司人和场店,地址：重庆市九龙坡区中梁山华福雅苑小区农贸市场平街一楼,电话：023-65092403,
重庆市和平药房连锁有限责任公司天辰美苑店,地址：重庆市大渡口区春辉路.松青路1118号,电话：023-68541408,
重庆市和平药房连锁有限责任公司双山路店,地址：重庆市大渡口区新街道建设村37-15号,电话：023-68922248,
重庆桐君阁大药房连锁有限责任公司南岸区公司102店,地址：重庆市南岸区海棠新街40号1－4号 ,电话：023-62925674 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司107店,地址：重庆市南岸区辅仁路8号D6-9、D6-10门面 ,电话：023-62917673 ,
重庆市和平药房连锁有限责任公司第九连锁店,地址：重庆市九龙坡区玉清寺综合大楼1号,电话：023-65261094,
重庆桐君阁大药房连锁有限责任公司南岸区公司101店,地址：重庆市南岸区涂山镇涂山路576号附10号（东海长洲） ,电话：023-62787180 ,
重庆市和平药房连锁有限责任公司田坝二店,地址：重庆市九龙坡区中梁山田坝三村36号附10号,电话：023-65251206,
重庆桐君阁大药房连锁有限责任公司南岸区公司100店,地址：重庆市南岸区敦厚街36号 ,电话：023-62458290 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司18店,地址：重庆市南岸区白鹤路139号19号楼44商铺 ,电话：023-62977119 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司24店,地址：重庆市南岸区南坪镇南兴路228号负1层门面1号 ,电话：023-62501764 ,
重庆市和平药房连锁有限责任公司谢家湾店,地址：重庆市九龙坡区谢家湾正街23栋附3号,电话：023-68483033,
重庆桐君阁大药房连锁有限责任公司南岸区公司14店,地址：重庆市南岸区龙门浩街道涂山路145号丙栋（一天门） ,电话：023-86396887 ,
重庆市和平药房连锁有限责任公司田坝店,地址：重庆市九龙坡区中梁山田坝二村74号,电话：023-65252472,
重庆桐君阁大药房连锁有限责任公司南岸区公司17店,地址：重庆市南岸区双峰山路2号08-16号 ,电话：023-62668517 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司13店,地址：重庆市南岸区南坪街道南坪东路585号（海棠晓月） ,电话：023-62481891 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司9店,地址：重庆市南岸区南坪西路31号A3、A4号 ,电话：023-62903511 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司22店,地址：重庆市南岸区南坪福红路56号4栋负2楼5号商铺 ,电话：023-86319134 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司15店,地址：重庆市南岸区南坪街道珊瑚村特1号 ,电话：023-86630040 ,
重庆市和平药房连锁有限责任公司中交丽景店,地址：重庆市大渡口区双龙路2号附44号,电话：023-6840989,
重庆桐君阁大药房连锁有限责任公司南岸区公司2店,地址：重庆市南岸区南坪南坪东路534号附5号一层 ,电话：023-62941626 ,
重庆市和平药房连锁有限责任公司渝北统景连锁店,地址：重庆市渝北区统景御路,电话：023-67282662,
重庆市和平药房连锁有限责任公司黄桷坪店,地址：重庆市九龙坡区黄桷坪农贸市场4号,电话：023-89087017,
重庆市和平药房连锁有限责任公司西郊二村店,地址：重庆市九龙坡区西郊二村46幢1-2号,电话：023-68855338,
重庆市和平药房连锁有限责任公司渝北龙兴新街连锁店,地址：重庆市渝北区龙兴镇街道,电话：023-67827408,
重庆市和平药房连锁有限责任公司渝北人和连锁店,地址：重庆市渝北区北部新区人和镇龙寿路520号,电话：023-67644578,
重庆桐君阁大药房连锁有限责任公司南岸区公司8店,地址：重庆市南岸区大佛段4-38号（弹子石宇华大厦） ,电话：023-86054661 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司20店,地址：重庆市南岸区弹子石新街59号西南裙楼1-5号 ,电话：023-62386902 ,
重庆市和平药房连锁有限责任公司直港二店,地址：重庆市九龙坡区杨家坪直港大道13号2-7号,电话：023-68402687,
重庆桐君阁大药房连锁有限责任公司南岸区公司12店,地址：重庆市南岸区青龙路94号附21号 ,电话：023-86383603 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司1店,地址：重庆市南岸区南坪东路11号（星宇花园） ,电话：023-86370699 ,
重庆市和平药房连锁有限责任公司渝北石船连锁店,地址：重庆市渝北区石船镇渝长路3号,电话：023-67252567,
重庆市和平药房连锁有限责任公司丽水清苑店,地址：重庆市九龙坡区谢家湾工农四村58号附24号,电话：023-63655389,
重庆市和平药房连锁有限责任公司珠江花园店,地址：重庆市九龙坡区杨家坪直港大道49号附5号,电话：023-68439373,
重庆市和平药房连锁有限责任公司渝北回兴连锁店,地址：重庆市渝北区回兴街道兴科大道364号莺歌小区1幢1-6,电话：023-67457488,
重庆市和平药房连锁有限责任公司渝北松桥连锁店,地址：重庆市渝北区龙溪街道松桥路131号,电话：023-67607423,
重庆桐君阁大药房连锁有限责任公司南岸区公司7店,地址：重庆市南岸区弹子石新街36-8号右侧 ,电话：023-86335991 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司19店,地址：重庆市南岸区花园路街道湖滨路4号 ,电话：023-62606479 ,
重庆市和平药房连锁有限责任公司前进店,地址：重庆市九龙坡区前进路24号临街门面,电话：023-68414084,
重庆桐君阁大药房连锁有限责任公司南岸区公司11店,地址：重庆市南岸区南湖路6号 ,电话：023-86351533 ,
重庆市和平药房连锁有限责任公司渝北双凤路连锁店,地址：重庆市渝北区双凤桥街道双凤路148号,电话：023-67807699,
重庆市和平药房连锁有限责任公司渝北龙兴连锁店,地址：重庆市渝北区龙兴镇旺龙街25号,电话：023-67342794,
重庆市和平药房连锁有限责任公司上江城店,地址：重庆市九龙坡区杨家坪直港大道48号负一层7号,电话：023-68128182,
重庆市和平药房连锁有限责任公司九龙中心二店,地址：重庆市九龙坡区杨家坪西郊大厦38号附7号,电话：023-68435350,
重庆市和平药房连锁有限责任公司渝北兴隆连锁店,地址：重庆市渝北区兴隆街道,电话：023-67827408,
重庆桐君阁大药房连锁有限责任公司南岸区公司6店,地址：重庆市南岸区弹子石新街2号 ,电话：023-86054660 ,
重庆市和平药房连锁有限责任公司渝北龙庆街连锁店,地址：重庆市渝北区双龙湖街道龙庆街48号,电话：023-67831631,
重庆市和平药房连锁有限责任公司九龙中心店,地址：重庆市九龙坡区杨家坪正街13号 ,电话：023-68439998,
重庆桐君阁大药房连锁有限责任公司南岸区公司10店,地址：重庆市南岸区南坪惠工路202号 ,电话：023-86117709 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司南城药店,地址：重庆市南岸区南城大道222号 ,电话：023-89870726 ,
重庆市和平药房连锁有限责任公司渝北洛川路连锁店,地址：重庆市渝北区洛碛镇洛川路,电话：023-67387099,
重庆市和平药房连锁有限责任公司渝北中心连锁店,地址：重庆市渝北区空港大道瑞丰花园251号,电话：023-67823286,
重庆桐君阁大药房连锁有限责任公司南岸区公司4店,地址：重庆市南岸区海棠溪街道四公里街305号 ,电话：023-86386869 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司百草堂,地址：重庆市南岸区海棠新街63号 ,电话：023-86373100 ,
重庆桐君阁大药房连锁有限责任公司南岸区公司3店,地址：重庆市南岸区弹子石新街190号（弹子石转盘处） ,电话：023-86383010 ,
重庆市和平药房连锁有限责任公司渝北诚信大药房龙瑞街店,地址：重庆市渝北区双龙湖街道龙瑞街80号,电话：023-67818599,
重庆市和平药房连锁有限责任公司渝北木耳连锁店,地址：重庆市渝北区木耳镇街道木兰路84号,电话：023-67489253,
重庆市和平药房连锁有限责任公司天星桥中心店,地址：重庆市沙坪坝区天马支路20号,电话：023-65539694,
重庆桐君阁大药房连锁有限责任公司九龙坡公司高新区4店,地址：重庆市九龙坡区石桥铺渝新路119、121、123号 ,电话：023-68493332 ,
重庆市和平药房连锁有限责任公司红黄连锁店,地址：重庆市渝北区龙溪街道红黄路99号A7-1,电话：023-67523315,
重庆市和平药房连锁有限责任公司东方家园连锁店,地址：重庆市江北区华新村360号附7号1-2号,电话：023-67700533,
重庆桐君阁大药房连锁有限责任公司九龙坡公司高新区2店,地址：重庆市九龙坡科园一街89-1-2 ,电话：023-68617679 ,
重庆市和平药房连锁有限责任公司渝北王家镇连锁店,地址：重庆市渝北区古路镇王家街道龙泉街144号,电话：023-67164003,
重庆桐君阁大药房连锁有限责任公司九龙坡公司35店,地址：重庆市九龙坡区西彭镇铝城正街2号大石堡小区11栋1号 ,电话：023-65826629 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司29店,地址：重庆市九龙坡区石坪桥正街22号 ,电话：023-68821858 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司26店,地址：重庆市九龙坡区中梁山玉清寺半山二村44栋附2号 ,电话：023-65267190 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司高新区旗舰店,地址：重庆市九龙坡区石桥铺长石村1号附1号 ,电话：023-68535156 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司28店,地址：重庆市九龙坡区袁家岗163号荣安文化商城3号 ,电话：023-86173138 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司34店,地址：重庆市九龙坡西彭镇铝城南路1号1棟1-7号 ,电话：023-88669925 ,
重庆市和平药房连锁有限责任公司渝北一碗水连锁店,地址：重庆市渝北区双龙湖街道凯歌路后街10号门市,电话：023-67133255,
重庆桐君阁大药房连锁有限责任公司九龙坡公司25店,地址：重庆市九龙坡区石坪桥商业街下段 ,电话：023-86902548 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司13店,地址：重庆市九龙坡区中梁山玉清寺商场 ,电话：023-86517380 ,
重庆市和平药房连锁有限责任公司红锦连锁店,地址：重庆市渝北区龙溪街道红锦大道18号,电话：023-67530536,
重庆桐君阁大药房连锁有限责任公司九龙坡公司39店,地址：重庆市九龙坡区直港大道26号3栋1-35号 ,电话：023-68677723 ,
重庆市和平药房连锁有限责任公司五岳连锁店,地址：重庆市江北区建东一村27号,电话：023-67755021,
重庆桐君阁大药房连锁有限责任公司九龙坡公司24店,地址：重庆市九龙坡区白市驿镇白盛路3号 ,电话：023-86215056 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司12店,地址：重庆市九龙坡区白市驿镇桃园广场 ,电话：023-86220298 ,
重庆市和平药房连锁有限责任公司渝北中心市场店,地址：重庆市渝北区双龙湖街道五星路一巷3号,电话：023-67815781,
重庆桐君阁大药房连锁有限责任公司九龙坡公司33店,地址：重庆市九龙坡金科绿韵康城3号楼3-4 ,电话：023-68644710 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司27店,地址：重庆市九龙坡区石坪桥正街特24号 ,电话：023-68655723 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司21店,地址：重庆市九龙坡区科园四路埝山苑农贸市场 ,电话：023-68885334 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司11店,地址：重庆市九龙坡区白市驿新街10号 ,电话：023-86215277 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司38店,地址：重庆市九龙坡区西彭镇铝城南路9号第一层5号.6号 ,电话：023-65826248 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司32店,地址：重庆市九龙坡区白市驿镇牟家村六社 ,电话：023-86220021 ,
重庆市和平药房连锁有限责任公司和丰药房店,地址：重庆市沙坪坝区新桥正街三凌,电话：023-65200071,
重庆桐君阁大药房连锁有限责任公司九龙坡公司20店,地址：重庆市九龙坡区中梁山玉清寺共和新村17号 ,电话：023-65262442 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司10店,地址：重庆市九龙坡区铜贯驿冬笋街26号 ,电话：023-65901136 ,
重庆市和平药房连锁有限责任公司翠湖路连锁店,地址：重庆市渝北区双龙湖街道翠湖路157号,电话：023-67800799,
重庆市和平药房连锁有限责任公司长安华都连锁店,地址：重庆市渝北区龙溪街道五黄路长安华都小区E幢3号,电话：023-86064339,
重庆桐君阁大药房连锁有限责任公司九龙坡公司19店,地址：重庆市九龙坡区新华三村世纪花园平街层5号 ,电话：023-62782092 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司8店,地址：重庆市九龙坡区科园三路84.86号 ,电话：023-89080856 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司36店,地址：重庆市九龙坡区石坪桥冶金三村44号附2#、附3# ,电话：15723348674 ,
重庆市和平药房连锁有限责任公司四方井连锁店,地址：重庆市沙坪坝区汉渝路137号,电话：023-65423927,
重庆桐君阁大药房连锁有限责任公司九龙坡公司皇家码头31店,地址：重庆市九龙坡黄杨路1号商业吊2-18、2-19 ,电话：023-68714464 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司18店,地址：重庆市九龙坡区滩子口101号 ,电话：023-86161338 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司7店,地址：重庆市九龙坡区黄桷坪新建路61号 ,电话：023-86182879 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司30店,地址：重庆市九龙坡杨家坪西郊路30号1栋1层 ,电话：18323224089 ,
重庆市和平药房连锁有限责任公司都市花园连锁店,地址：重庆市沙坪坝区覃家岗镇都市花园A区9-10号,电话：023-86272925,
重庆桐君阁大药房连锁有限责任公司九龙坡公司17店,地址：重庆市九龙坡区中梁山田坝新村39-1--2 ,电话：023-65258922 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司6店,地址：重庆市九龙坡区黄桷坪正街 ,电话：023-86182826 ,
重庆市和平药房连锁有限责任公司西永连锁店,地址：重庆市沙坪坝区西永镇西永路180号,电话：023-61795112,
重庆桐君阁大药房连锁有限责任公司九龙坡公司16店,地址：重庆市九龙坡区含谷镇含兴路11号1层 ,电话：023-65732820 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司3店,地址：重庆市九龙坡区石坪桥龙泉村2号 ,电话：023-68835098 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司15店,地址：重庆市九龙坡区西彭镇东大街贸易公司商场 ,电话：023-65816233 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司2店,地址：重庆市九龙坡区石桥铺石杨路2号 ,电话：023-68620194 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司1店,地址：重庆市九龙坡区杨家坪正街25号 ,电话：023-68402393 ,
重庆桐君阁大药房连锁有限责任公司九龙坡公司龙康国药店,地址：重庆市九龙坡区杨家坪正街13号 ,电话：023-68445020 ,
重庆市和平药房连锁有限责任公司大石坝店,地址：重庆市江北区大石坝下五村240号B幢5号门面,电话：023-67076157,
重庆市和平药房连锁有限责任公司建北一村连锁店,地址：重庆市江北区嘉陵一村41号商铺1-8号,电话：023-86875996,
重庆市和平药房连锁有限责任公司鲤鱼池连锁店,地址：重庆市江北区鲤鱼池一村29号,电话：023-67854244,
重庆市和平药房连锁有限责任公司邦兴花苑连锁店,地址：重庆市江北区洋河新村34号雅诗楼（H）幢1-11号,电话：023-67863258,
重庆市和平药房连锁有限责任公司建新西路中心连锁店,地址：重庆市江北区建新西路2号,电话：023-67850941,
重庆市和平药房连锁有限责任公司璧山医药诚信大药房连锁一店,地址：重庆市璧山县璧城街道民主路15号,电话：023-41606839,
重庆市和平药房连锁有限责任公司建新东路二连锁店,地址：重庆市江北区建新东路77-1号,电话：023-67728243,
重庆市和平药房连锁有限责任公司华渝连锁店,地址：重庆市江北区华渝五洲新村87号1单元1-2号,电话：023-67661722,
重庆市和平药房连锁有限责任公司双桥店,地址：重庆市双桥区双龙路双发大厦平层3号,电话：023-43334080,
重庆市和平药房连锁有限责任公司嘉陵连锁店,地址：重庆市沙坪坝区双碑嘉陵工业有限公司内,电话：无,
重庆市和平药房连锁有限责任公司鱼嘴连锁店,地址：重庆市江北区鱼嘴镇工农路64号,电话：023-67580437,
重庆市和平药房连锁有限责任公司巴南总店,地址：重庆市巴南区鱼洞下河路46-2号,电话：无,
重庆市和平药房连锁有限责任公司复盛连锁店,地址：重庆市江北区复盛镇转盘临街门面6号,电话：023-67585939,
重庆市和平药房连锁有限责任公司双桥三店,地址：重庆市双北路59号配件市场上官楼,电话：023-43382494,
重庆市和平药房连锁有限责任公司中心湾连锁店,地址：重庆市沙坪坝区双碑中心湾92-5号,电话：023-65136138,
重庆市和平药房连锁有限责任公司洋河连锁店,地址：重庆市江北区洋河二村柴家院55-11号,电话：023-67744245,
重庆市和平药房连锁有限责任公司诚信大药房北碚药品超市店,地址：重庆市北碚区北京路2号，4号,电话：无,
重庆市和平药房连锁有限责任公司双桥二店,地址：重庆市双桥区双龙东路实验小学,电话：023-43382959,
重庆市和平药房连锁有限责任公司井口连锁店,地址：重庆市沙坪坝区井口镇井口村瓦竹堡,电话：023-65183281,
重庆市和平药房连锁有限责任公司大石坝中心连锁店,地址：重庆市江北区大石坝七村10号附一层A6号,电话：023-67075865,
重庆市和平药房连锁有限责任公司渝景连锁店,地址：重庆市九龙坡区高新区石桥铺石小路195号附3号,电话：023-88700625,
重庆市和平药房连锁有限责任公司锣旗寺连锁店,地址：重庆市江北区郭家沱正街望江厂劳动服务公司,电话：023-67113207,
重庆市和平药房连锁有限责任公司万盛支路车站店,地址：重庆市万盛经开区朝晖南桐印象6号楼一层9号,电话：023-48267292,
重庆市和平药房连锁有限责任公司南桥寺连锁店,地址：重庆市渝北区龙溪街道五洲新村96号大楼一楼5号门面,电话：023-67736039,
重庆市和平药房连锁有限责任公司开县安康路店,地址：重庆市开县安康街275号,电话：023-52662123,
重庆市和平药房连锁有限责任公司万盛海棠晓月连锁店,地址：重庆市万盛区(浦辉海棠晓月)万盛大道21号3-1-33、34号,电话：无,
重庆市和平药房连锁有限责任公司长寿和平药房齐迈新药店,地址：重庆市长寿区向阳路25号,电话：023-40240565,
重庆市和平药房连锁有限责任公司万盛大道店,地址：重庆市万盛大道26号附1-16号门店,电话：023-48280627,
重庆市和平药房连锁有限责任公司万盛体育路店,地址：重庆市万盛区体育路3号附2-1-14号,电话：023-48275056,
重庆市和平药房连锁有限责任公司万盛东林店,地址：重庆市万盛区东林二村201号1-6号,电话：023-48268309,
重庆市和平药房连锁有限责任公司万盛青年店,地址：重庆市万盛区青年镇田坝街144号,电话：023-48351939,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区215店,地址：重庆市沙坪坝区联芳桥13号大城小爱商业街 ,电话：15723101735 ,
重庆市和平药房连锁有限责任公司万盛关坝店,地址：重庆市万盛区关坝镇兴隆街182号,电话：023-48356355,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区207店,地址：重庆市沙坪坝区青东路38号新纪园小区6号 ,电话：023-65608735 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司璧山3店,地址：重庆市璧山县东林大道和文星路交汇处南关二路 ,电话：023-41425133 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区203店,地址：重庆市沙坪坝区凤天大道122号 ,电话：023-65263411 ,
重庆市和平药房连锁有限责任公司江北医药商城建新南路店,地址：重庆市江北区建新南路一号,电话：023-63310297,
重庆市和平药房连锁有限责任公司万盛六店,地址：重庆市万盛区南桐煤矿汽车站7号门面,电话：023-48304936,
重庆市和平药房连锁有限责任公司花卉园第二连锁店,地址：重庆市渝北区花卉西二路9号底层第6号,电话：023-67610937,
重庆市和平药房连锁有限责任公司万盛三店,地址：重庆市万盛区东林一村94号,电话：023-48268143,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司璧山2店,地址：重庆市壁山县金剑路96号 ,电话：023-41415982 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区202店,地址：重庆市沙坪坝区华宇金沙港湾19号3号 ,电话：023-65007868 ,
重庆市和平药房连锁有限责任公司福宁村连锁店,地址：重庆市江北区华新街福宁村1号(A-B1-2),电话：023-67727843,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区10店,地址：重庆市沙坪坝区双碑街1、1-1、2-3号（沙区双碑桥头） ,电话：023-86250535 ,
重庆市和平药房连锁有限责任公司万盛二店,地址：重庆市江北区万兴路68号,电话：023-48271706,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司璧山中心店,地址：重庆市璧山县璧青路红宇家苑十九幢平街层（距国美电器50米） ,电话：023-41420228 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区20店,地址：重庆市沙坪坝区龙泉巷3号 ,电话：023-65832019 ,
重庆市和平药房连锁有限责任公司建北三支店,地址：重庆市江北区建北三支路八号,电话：023-67860975,
重庆市和平药房连锁有限责任公司中冶林荫大道店,地址：重庆市南岸区经开区白鹤路130号街附37号商铺,电话：023-88608523,
重庆市和平药房连锁有限责任公司万盛一店,地址：重庆市万盛区万新路老农贸市场(广进丽都A栋)1楼3号,电话：023-48275056,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区213店,地址：重庆市沙坪坝区西永西科公寓1号附23号 ,电话：15723101622 ,
重庆市和平药房连锁有限责任公司花卉园店,地址：重庆市渝北区花卉园西三路27号,电话：023-67919179,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区19店,地址：重庆市沙坪坝区大学城熙街15号1F-93 ,电话：023-65620120 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区8店,地址：重庆市沙坪坝区都市花园东路66号（沙区检察院对面100米） ,电话：023-86272021 ,
重庆市和平药房连锁有限责任公司万盛中心店,地址：重庆市万盛区万东北路37号,电话：023-48264382,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区212店,地址：重庆市沙坪坝区显丰大道28-24号 ,电话：023-65227762 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区18店,地址：重庆市沙坪坝区石井坡大河沟253号（沙区东华医院对面和平山） ,电话：023-65166173 ,
重庆市和平药房连锁有限责任公司五里店,地址：重庆市江北区建新东路1006赴号,电话：023-67850846,
重庆市和平药房连锁有限责任公司上新街中心店,地址：重庆市南岸区上新街164号,电话：023-62870220,
重庆市和平药房连锁有限责任公司布市街店,地址：重庆市江津市几江镇布市街27号,电话：023-47550598,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区211店,地址：重庆市沙坪坝区红糟房正街99号附113号 ,电话：023-65308990 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区17店,地址：重庆市沙坪坝区童家桥大水井47号 ,电话：023-86662322 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区12店,地址：重庆市沙坪坝区天星桥正街65-10号（沙区天星桥新世纪旁） ,电话：023-86260908,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区7店,地址：重庆市沙坪坝区陈家桥镇陈青路67号（距陈家桥中心医院100米） ,电话：023-86257066 ,
重庆市和平药房连锁有限责任公司五褔街店,地址：重庆市江津区几江镇五福街3号,电话：023-47521806,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区209店,地址：重庆市沙坪坝区歌乐山北街99号1-1-1-3号 ,电话：023-65745515 ,
重庆桐君阁大药房连锁有限责任公司沙坪坝公司沙区15店,地址：重庆市沙坪坝区新桥新桥村88号3号楼（沙区新桥派出所旁） ,电话：023-86252086 ,
重庆市和平药房连锁有限责任公司黄桷垭平价超市店,地址：重庆市南岸区黄桷垭镇宝上元57号,电话：023-62463782,
