齐齐哈尔齐泰医药红星分店,地址：黑龙江省齐齐哈尔市龙沙区民意路63号,电话：0452-2831117,
哈尔滨人民同泰医药连锁分店新发分店,地址：黑龙江省哈尔滨市道里区机场路605号,电话：0451-84108241,
哈尔滨人民同泰医药连锁分店安通分店,地址：黑龙江省哈尔滨市香坊区安通街副36--2号,电话：0451-82924700,
哈尔滨人民同泰医药连锁分店联草分店,地址：黑龙江省哈尔滨市香坊联草街4-6号A栋B单元103,电话：0451-82924278,
哈尔滨人民同泰医药连锁分店锋桥分店,地址：黑龙江省哈尔滨市南岗区宣化街247号,电话：0451-82708790,
哈尔滨人民同泰医药连锁分店人和分店,地址：黑龙江省哈尔滨市南岗区果戈里大街200号,电话：0451-82805038,
哈尔滨人民同泰医药连锁分店商大分店,地址：黑龙江省哈尔滨市松北区银河小区15号楼2单元4门市,电话：0451-84015825,
哈尔滨人民同泰医药连锁分店比乐分店,地址：黑龙江省哈尔滨市南岗区比乐街156号,电话：0451-82708757,
哈尔滨人民同泰医药连锁分店太安分店,地址：黑龙江省哈尔滨市道外区太安街6号,电话：0451-82827008,
哈尔滨人民同泰医药连锁分店大成分店,地址：黑龙江省哈尔滨市南岗区大成街63号,电话：0451-82762422,
哈尔滨人民同泰医药连锁分店宣化分店,地址：黑龙江省哈尔滨市南岗区燎原街24-7号1层商服,电话：0451-82705691,
哈尔滨人民同泰医药连锁分店民生分店,地址：黑龙江省哈尔滨市香坊民生路26号香滨小区B4栋112号,电话：0451-82677733,
哈尔滨人民同泰医药连锁分店马端分店,地址：黑龙江省哈尔滨市南岗区先锋路583号,电话：0451-82596557,
哈尔滨人民同泰医药连锁分店中山分店,地址：黑龙江省哈尔滨市南岗区中山路252号,电话：0451-82632077,
哈尔滨人民同泰医药连锁分店药六分店,地址：黑龙江省哈尔滨市南直路307号和平小区中房一栋,电话：0451-82420407,
哈尔滨人民同泰医药连锁分店康华分店,地址：黑龙江省哈尔滨市哈尔滨南岗区东大直街85号,电话：0451-82560002,
哈尔滨人民同泰医药连锁分店百姓分店,地址：黑龙江省哈尔滨市南岗区革新街43号,电话：0451-82625282,
哈尔滨人民同泰医药连锁分店阳光分店,地址：黑龙江省哈尔滨市南岗区淮河东路384号阳光绿色家园西区1栋,电话：0451-82420010,
哈尔滨人民同泰医药连锁分店大方里分店,地址：黑龙江省哈尔滨市道外区大方里小区205栋,电话：0451-82552308,
哈尔滨人民同泰医药连锁分店革新分店,地址：黑龙江省哈尔滨市南岗区果戈里大街104号,电话：0451-82624710,
哈尔滨人民同泰医药连锁分店船院分店,地址：黑龙江省哈尔滨市南岗区文庙街30号盟科观邸C1栋10门市,电话：0451-82531508,
哈尔滨人民同泰医药连锁分店文平分店,地址：黑龙江省哈尔滨市南岗区革新街131--7号,电话：0451-82620352,
哈尔滨人民同泰医药连锁分店信恒分店,地址：黑龙江省哈尔滨市道外区南直路信恒现代城富园A栋5门市,电话：0451-82413520,
哈尔滨人民同泰医药连锁分店天木分店,地址：黑龙江省哈尔滨市道外区淮河路天木小区10栋2号门市,电话：0451-82468363,
哈尔滨人民同泰医药连锁分店香和分店,地址：黑龙江省哈尔滨市香坊区和平路62-2号,电话：0451-82612263,
哈尔滨人民同泰医药连锁分店泰海分店,地址：黑龙江省哈尔滨市南岗区泰海小区33栋1-2层366号门市,电话：0451-82468109,
哈尔滨人民同泰医药连锁分店先锋路分店,地址：黑龙江省哈尔滨市道外区先锋路415-2号,电话：0451-82413430,
哈尔滨人民同泰医药连锁分店宏南分店,地址：黑龙江省哈尔滨市道外区宏伟小区7栋4单元1门市,电话：0451-82466559,
哈尔滨人民同泰医药连锁分店文景分店,地址：黑龙江省哈尔滨市南岗区文明街27号,电话：0451-82609557,
哈尔滨人民同泰医药连锁分店大有坊分店,地址：黑龙江省哈尔滨市道外区红平小区3号楼,电话：0451-82443985,
哈尔滨人民同泰医药连锁分店益民分店,地址：黑龙江省哈尔滨市香坊区民生路107号,电话：0451-82609212,
哈尔滨人民同泰医药连锁分店昆仑分店,地址：黑龙江省哈尔滨市道外区南直路388-10号,电话：0451-82433621,
哈尔滨人民同泰医药连锁分店豪园分店,地址：黑龙江省哈尔滨市南岗区黄河路信恒现代城豪园K栋5号门市,电话：0451-82427928,
哈尔滨人民同泰医药连锁分店泰富分店,地址：黑龙江省哈尔滨市道外区南直路泰富长安城B栋7号,电话：0451-82405579,
哈尔滨人民同泰医药连锁分店维也纳分店,地址：黑龙江省哈尔滨市道外区太平大街维也纳小区3栋10门市,电话：0451-82307167,
哈尔滨人民同泰医药连锁分店八仙分店,地址：黑龙江省哈尔滨市南岗宣庆小区2栋1楼,电话：0451-82324600,
哈尔滨人民同泰医药连锁分店和平分店,地址：黑龙江省哈尔滨市香坊区哈平路43号,电话：0451-82169213,
哈尔滨人民同泰医药连锁分店安康分店,地址：黑龙江省哈尔滨市动力区健康路78号,电话：0451-82123166,
哈尔滨人民同泰医药连锁分店闽江路分店,地址：黑龙江省哈尔滨市南岗区闽江路205号0--1号,电话：0451-82307167,
哈尔滨人民同泰医药连锁分店泰山分店,地址：黑龙江省哈尔滨市香坊区闽江路181号,电话：0451-82355098,
哈尔滨人民同泰医药连锁分店乐松分店,地址：黑龙江省哈尔滨市香坊区幸福路145号乐松小区1号楼4号,电话：0451-82151950,
哈尔滨人民同泰医药连锁分店黄河路分店,地址：黑龙江省哈尔滨市南岗区黄河路174号,电话：0451-82322332,
哈尔滨人民同泰医药连锁分店动力分店,地址：黑龙江省哈尔滨市香坊区和平路8-10号,电话：0451-82115827,
哈尔滨人民同泰医药连锁分店康大分店,地址：黑龙江省哈尔滨市南岗区红旗新区58栋1号,电话：0451-82350510,
哈尔滨人民同泰医药连锁分店乐强分店,地址：黑龙江省哈尔滨市香坊区电塔街乐强小区9栋8号,电话：0451-82147074,
哈尔滨人民同泰医药连锁分店文政分店,地址：黑龙江省哈尔滨市香坊区文政街78号文政小区13栋4号门,电话：0451-82103067,
哈尔滨人民同泰医药连锁分店香红分店,地址：黑龙江省哈尔滨市道外区辽河路88号,电话：0451-82303956,
哈尔滨人民同泰医药连锁分店辽河分店,地址：黑龙江省哈尔滨市南岗区蒿山小区49栋6号门市,电话：0451-82315997,
哈尔滨人民同泰医药连锁分店同仁分店,地址：黑龙江省哈尔滨市香坊区民航路40号,电话：0451-82346682,
哈尔滨人民同泰医药连锁分店文林分店,地址：黑龙江省哈尔滨市动力区王兆街2号,电话：0451-82140034,
哈尔滨人民同泰医药连锁分店学苑分店,地址：黑龙江省哈尔滨市南岗区学府路74号,电话：0451-82263157,
哈尔滨人民同泰医药连锁分店健康分店,地址：黑龙江省哈尔滨市香坊区健康路46号,电话：0451-82102636,
哈尔滨人民同泰医药连锁分店东风分店,地址：黑龙江省哈尔滨市道外区团结镇天恒大街140号,电话：0451-82044278,
哈尔滨人民同泰医药连锁分店文化分店,地址：黑龙江省哈尔滨市宾县宾州镇,电话：0451-57918056,
哈尔滨人民同泰医药连锁分店南直分店,地址：黑龙江省哈尔滨市道外区南直路583号,电话：0451-57691375,
哈尔滨人民同泰医药连锁分店康城分店,地址：黑龙江省哈尔滨市宾县宾州西路 ,电话：0451-57998456,
哈尔滨人民同泰医药连锁分店宾县分店,地址：黑龙江省哈尔滨市宾县宾州镇西大街14号,电话：0451-57982121,
哈尔滨人民同泰医药连锁分店太平分店,地址：黑龙江省哈尔滨市道外区新江桥街1号,电话：0451-57672506,
哈尔滨人民同泰医药连锁分店繁华分店,地址：黑龙江省哈尔滨市呼兰区繁华小区,电话：0451-56888513,
哈尔滨人民同泰医药连锁分店三棵树分店,地址：黑龙江省哈尔滨市道外区北棵街北棵小区20栋,电话：0451-57632148,
哈尔滨人民同泰医药连锁分店东兴分店,地址：黑龙江省哈尔滨市呼兰区新华街六委一组利民建筑公司楼1层2号,电话：0451-56888313,
哈尔滨人民同泰医药连锁分店宏伟分店,地址：黑龙江省哈尔滨市道外区宏伟路江河小区711栋6单元101,电话：0451-57646958,
哈尔滨人民同泰医药连锁分店宾州分店,地址：黑龙江省哈尔滨市宾县宾州镇南大街庙胡同南头,电话：0451-57916770,
哈尔滨人民同泰医药连锁分店红河分店,地址：黑龙江省哈尔滨市道外区红图街红河小区七街区713栋9单元1层1号,电话：0451-57616718,
哈尔滨人民同泰医药连锁分店蜚克图分店,地址：黑龙江省哈尔滨市阿城区蜚克图镇十字大街南侧商服楼,电话：0451-56559038,
哈尔滨人民同泰医药连锁分店宏政分店,地址：黑龙江省哈尔滨市道外区宏伟路药六家园,电话：0451-57601272,
哈尔滨人民同泰医药连锁分店朝阳分店,地址：黑龙江省哈尔滨市依兰县依兰镇,电话：0451-56031666,
哈尔滨人民同泰医药连锁分店泓林分店,地址：黑龙江省哈尔滨市江北学院路泓林金色地标11栋2号门市,电话：0451-57350463,
哈尔滨人民同泰医药连锁分店五国城分店,地址：黑龙江省绥化市绥棱县泥尔河乡,电话：0451-56003777,
哈尔滨人民同泰医药连锁分店百强分店,地址：黑龙江省哈尔滨市宾县宾州东路,电话：0451-57980961,
哈尔滨人民同泰医药连锁分店鸿康分店,地址：黑龙江省哈尔滨市宾县宾州镇民政局楼下,电话：0451-57913898,
哈尔滨人民同泰医药连锁分店依兰分店,地址：黑龙江省哈尔滨市通河县中央大街,电话：0451-57233933,
哈尔滨人民同泰医药连锁分店小山子分店,地址：黑龙江省哈尔滨市五常市小山子镇新建商服二号楼,电话：0451-55823606,
哈尔滨人民同泰医药连锁分店方正分店,地址：黑龙江省绥化市绥棱县绥中乡,电话：0451-57150011,
哈尔滨人民同泰医药连锁分店建设分店,地址：黑龙江省哈尔滨市五常市建设大街138号楼,电话：0451-55807525,
哈尔滨人民同泰医药连锁分店太平桥分店,地址：黑龙江省哈尔滨市道外区东直路130号,电话：0451-57635117,
哈尔滨人民同泰医药连锁巴彦分店,地址：黑龙江省绥化市青冈县连丰乡两丰,电话：0451-57009488,
哈尔滨人民同泰医药连锁分店呼兰分店,地址：黑龙江省哈尔滨市呼兰区北大街43号（朝霞小区）,电话：0451-56888819,
哈尔滨人民同泰医药连锁分店进乡分店,地址：黑龙江省哈尔滨市香坊区进乡街95号,电话：0451-55671400,
哈尔滨人民同泰医药连锁分店珠江分店,地址：黑龙江省哈尔滨市香坊区珠江路泰山家园8栋3号,电话：0451-55618924,
哈尔滨人民同泰医药连锁分店香顺分店,地址：黑龙江省哈尔滨市香坊区香顺街56号,电话：0451-55616217,
哈尔滨人民同泰医药连锁分店祖研分店,地址：黑龙江省哈尔滨市香坊区三辅街119号,电话：0451-55666295,
哈尔滨人民同泰医药连锁分店香坊分店,地址：黑龙江省哈尔滨市香坊延福街183号,电话：0451-55180950,
哈尔滨人民同泰医药连锁分店建成分店,地址：黑龙江省哈尔滨市香坊区建成街5号,电话：0451-55107998,
哈尔滨人民同泰医药连锁分店香民分店,地址：黑龙江省哈尔滨市香坊区新地街114号,电话：0451-55656063,
哈尔滨人民同泰医药连锁分店成高子分店,地址：黑龙江省哈尔滨市香坊区成高子镇哈成街162号,电话：0451-55174868,
哈尔滨人民同泰医药连锁分店香亭里分店,地址：黑龙江省哈尔滨市香坊区横道街香亭里D座,电话：0451-55610562,
哈尔滨人民同泰医药连锁分店升永分店,地址：黑龙江省哈尔滨市香坊区升永街6号增福小区6号,电话：0451-55171857,
哈尔滨人民同泰医药连锁分店香安分店,地址：黑龙江省哈尔滨市香坊区中山路84号,电话：0451-55650120,
哈尔滨人民同泰医药连锁分店宾西分店,地址：黑龙江省哈尔滨市宾县宾西镇本街,电话：0451-55005099,
哈尔滨人民同泰医药连锁分店安阳分店,地址：黑龙江省哈尔滨市道里区安阳路184号2栋1-1层1号,电话：0451-55557310,
哈尔滨人民同泰医药连锁分店三辅分店,地址：黑龙江省哈尔滨市香坊区三辅街128号,电话：0451-55168509,
哈尔滨人民同泰医药连锁分店利民分店,地址：黑龙江省哈尔滨市香坊区红旗大街76号,电话：0451-55627344,
哈尔滨人民同泰医药连锁分店气象分店,地址：黑龙江省哈尔滨市香坊区公滨路85-4号,电话：0451-55128234,
哈尔滨人民同泰医药连锁分店顾乡分店,地址：黑龙江省哈尔滨市道里区顾乡大街93号（新天地家园16栋3号）,电话：0451-55509315,
哈尔滨人民同泰医药连锁分店康金分店,地址：黑龙江省哈尔滨市呼兰区康金镇民主街市场前楼百货一侧,电话：0451-55261985,
哈尔滨人民同泰医药连锁分店延川分店,地址：黑龙江省哈尔滨市阿城区和平街北新小区1号楼1层12号,电话：0451-53787270,
哈尔滨人民同泰医药连锁分店安泰分店,地址：黑龙江省哈尔滨市香坊区安埠街425-2号安埠小区102栋,电话：0451-55182906,
哈尔滨人民同泰医药连锁分店延福分店,地址：黑龙江省哈尔滨市香坊区通天街果园小区A2栋7号,电话：0451-55113659,
哈尔滨人民同泰医药连锁分店安埠分店,地址：黑龙江省哈尔滨市香坊区安埠街353号,电话：0451-55182796,
哈尔滨人民同泰医药连锁分店阿城分店,地址：黑龙江省哈尔滨市阿城市解放大街59号（世纪名苑地下一层）,电话：0451-53760711,
哈尔滨人民同泰医药连锁分店俊景分店,地址：黑龙江省哈尔滨市香坊区珠江俊景小区,电话：0451-55111405,
哈尔滨人民同泰医药连锁分店牌路分店,地址：黑龙江省哈尔滨市阿城区牌路大街西侧交警队家属楼交警食堂北数2号门,电话：0451-53760270,
哈尔滨人民同泰医药连锁分店通河分店,地址：黑龙江省哈尔滨市绥棱县张家湾,电话：0451-57420062,
哈尔滨人民同泰医药连锁分店幸福分店,地址：黑龙江省哈尔滨市五常市幸福家园17号,电话：0451-55806430,
哈尔滨人民同泰医药连锁分店诚信分店,地址：黑龙江省哈尔滨市阿城区胜利街牌路大街30号1层4号,电话：0451-53728270,
哈尔滨人民同泰医药连锁分店新华分店,地址：黑龙江省哈尔滨市阿城区胜利街新华路万米楼102、103室,电话：0451-53726270,
哈尔滨人民同泰医药连锁分店涤纶分店,地址：黑龙江省哈尔滨市阿城市涤纶厂和平街商服1号楼,电话：0451-53716608,
哈尔滨人民同泰医药连锁分店永源分店,地址：黑龙江省哈尔滨市阿城市涤纶厂和平街商服1号楼,电话：0451-53716608,
哈尔滨人民同泰医药连锁分店鞍山分店,地址：黑龙江省哈尔滨市南岗区鞍山街58号,电话：0451-53675012,
哈尔滨人民同泰医药连锁分店花园分店,地址：黑龙江省哈尔滨市南岗区花园街268号,电话：0451-53650970,
哈尔滨人民同泰医药连锁分店奋斗分店,地址：黑龙江省哈尔滨市哈尔滨南岗区果戈里大街366号,电话：0451-53643482,
哈尔滨人民同泰医药连锁分店东方分店,地址：黑龙江省哈尔滨市南岗东大直街163号,电话：0451-53636158,
哈尔滨人民同泰医药连锁分店建筑分店,地址：黑龙江省哈尔滨市北京市南岗区北京街71号,电话：0451-53624938,
哈尔滨人民同泰医药连锁分店山河分店,地址：黑龙江省哈尔滨市五常市山河镇百货二商店二楼,电话：0451-53566993,
哈尔滨人民同泰医药连锁分店双城和平分店,地址：黑龙江省哈尔滨市双城市和平街12号（中医院西侧）,电话：0451-53110048,
哈尔滨人民同泰医药连锁分店尽朝晖分店,地址：黑龙江省哈尔滨市五常市尽朝晖花园小区西3号,电话：0451-53538369,
哈尔滨人民同泰医药连锁店五常分店,地址：黑龙江省哈尔滨市哈尔滨五常市商业一条街,电话：0451-53524629,
哈尔滨人民同泰医药连锁分店五常分店,地址：黑龙江省哈尔滨市五常市商业一条街二楼,电话：0451-53524546,
哈尔滨人民同泰医药连锁分店迎宾分店,地址：黑龙江省哈尔滨市五常市迎宾小区6号楼,电话：0451-53521488,
哈尔滨人民同泰医药连锁分店延寿分店,地址：黑龙江省哈尔滨市延寿县南吉盛路55号,电话：0451-53020818,
哈尔滨人民同泰医药连锁分店尚志分店,地址：黑龙江省哈尔滨市尚志市市场路9号,电话：0451-53342689,
哈尔滨人民同泰医药连锁分店双城分店,地址：黑龙江省哈尔滨市双城市团结大街146号（三门诊对面）,电话：0451-53130046,
哈尔滨人民同泰医药连锁分店同庆分店,地址：黑龙江省哈尔滨市西同庆街国税局家属综合楼,电话：0451-53020010,
哈尔滨人民同泰医药连锁分店承旭分店,地址：黑龙江省哈尔滨市双城市东街大修厂18号,电话：0451-53112600,
黑龙江省哈尔滨建国医药有限公司城乡店,地址：黑龙江省哈尔滨市道里区融江路K3-19门市,电话：0451-88007766,
黑龙江省哈尔滨建国医药有限公司友谊店,地址：黑龙江省哈尔滨市道里区景江东路1349号,电话：0451-88007766,
黑龙江省哈尔滨建国医药有限公司永和店,地址：黑龙江省哈尔滨市道里区友谊路187号,电话：0451-85981612,
哈尔滨市德邦大药房有限公司,地址：黑龙江省哈尔滨市南岗区邮政街38-4（与大成街交口）,电话：无,
黑龙江省哈尔滨建国医药有限公司南马店,地址：黑龙江省哈尔滨市道外区太古街370号,电话：0451-83053510,
黑龙江省哈尔滨建国医药有限公司进乡店,地址：黑龙江省哈尔滨市香坊区进乡街12号,电话：0451-86061645,
黑龙江省哈尔滨建国医药有限公司阳明店,地址：黑龙江省哈尔滨市道里区建国街81号,电话：0451-83076719,
黑龙江省哈尔滨建国医药有限公司新华店,地址：黑龙江省哈尔滨市道里区经纬三道街15号 ,电话：0451-84366698,
黑龙江省哈尔滨建国医药有限公司安发店,地址：黑龙江省哈尔滨市道里区安发街40号,电话：0451-83372153,
黑龙江省哈尔滨建国医药有限公司庆兴店,地址：黑龙江省哈尔滨市道外区长春街189号,电话：0451-83126302,
黑龙江省哈尔滨建国医药有限公司七政店,地址：黑龙江省哈尔滨市南岗区果戈里大街244号,电话：0451-82635330,
黑龙江省哈尔滨建国医药有限公司仁里店,地址：黑龙江省哈尔滨市道外区东大直路476号,电话：0451-58874009,
黑龙江省哈尔滨建国医药有限公司黑山店,地址：黑龙江省哈尔滨市南岗区黑山街33号,电话：0451-83103291,
黑龙江省哈尔滨建国医药有限公司道里店,地址：黑龙江省哈尔滨市道里区工农大街571号1层,电话：0451-84368338,
黑龙江省哈尔滨建国医药有限公司联华店,地址：黑龙江省哈尔滨市道里区顾乡大街150-3号,电话：0451-83078426,
黑龙江省哈尔滨建国医药有限公司新星店,地址：黑龙江省哈尔滨市道里区宜居家园A区103号5号商服,电话：0451-84304848,
黑龙江省哈尔滨建国医药有限公司银河店,地址：黑龙江省哈尔滨市松北区银河小区13号楼4号门市,电话：0451-83125057,
黑龙江省哈尔滨建国医药有限公司凤凰店,地址：黑龙江省哈尔滨市道外区南新街46号,电话：0451-88966878,
黑龙江省哈尔滨建国医药有限公司大有坊店,地址：黑龙江省哈尔滨市道外区宏伟路169号,电话：0451-83042273,
黑龙江省哈尔滨建国医药有限公司汉广店,地址：黑龙江省哈尔滨市南岗区汉广街68号,电话：0451-83105013,
黑龙江省哈尔滨建国医药有限公司民兴店,地址：黑龙江省哈尔滨市道里区大民兴街300号,电话：0451-83084493,
黑龙江省哈尔滨建国医药有限公司汉祥店,地址：黑龙江省哈尔滨市南岗区汉祥街46号,电话：0451-83105012,
黑龙江省哈尔滨建国医药有限公司大新店,地址：黑龙江省哈尔滨市道外区大新街85号,电话：0451-83126305,
黑龙江省哈尔滨建国医药有限公司通江店,地址：黑龙江省哈尔滨市道里区通江街102号,电话：0451-83151229,
黑龙江省哈尔滨建国医药有限公司宏图店,地址：黑龙江省哈尔滨市道外区南棵小区39栋10号,电话：0451-57862606,
黑龙江省哈尔滨建国医药有限公司升永店,地址：黑龙江省哈尔滨市香坊区升永街132-134号,电话：0451-83157140,
黑龙江省哈尔滨建国医药有限公司仪兴店,地址：黑龙江省哈尔滨市南岗区仪兴花园小区3号楼12号门市,电话：0451-57829409,
黑龙江省哈尔滨建国医药有限公司幸福店,地址：黑龙江省哈尔滨市动力区大庆路176号,电话：0451-86053310,
黑龙江省哈尔滨建国医药有限公司经纬店,地址：黑龙江省哈尔滨市道里区经纬十二道街31号,电话：0451-57764875,
黑龙江省哈尔滨建国医药有限公司太古店,地址：黑龙江省哈尔滨市道外区南勋街186号,电话：0451-57778777,
黑龙江省哈尔滨建国医药有限公司果园店,地址：黑龙江省哈尔滨市香坊区果园小区A8栋8门,电话：0451-55113669,
黑龙江省哈尔滨建国医药有限公司清滨店,地址：黑龙江省哈尔滨市南岗区清滨路51号,电话：0451-57821230,
黑龙江省哈尔滨建国医药有限公司抚顺店,地址：黑龙江省哈尔滨市道里区抚顺街379号,电话：0451-83372061,
黑龙江省哈尔滨建国医药有限公司增福店,地址：黑龙江省哈尔滨市南岗区西桥小区8栋1楼3-4号,电话：0451-57773894,
黑龙江省哈尔滨建国医药有限公司宏伟店,地址：黑龙江省哈尔滨市道外区宏伟路60号,电话：0451-83383035,
黑龙江省哈尔滨建国医药有限公司靖宇店,地址：黑龙江省哈尔滨市道外区靖宇街226号,电话：0451-83128571,
黑龙江省哈尔滨建国医药有限公司服装城店,地址：黑龙江省哈尔滨市香坊区进乡街110-9号阳光绿景4号门市,电话：0451-82935774,
黑龙江省哈尔滨建国医药有限公司武源店,地址：黑龙江省哈尔滨市道外区武源二道街8号,电话：0451-86101327,
黑龙江省哈尔滨建国医药有限公司安宁店,地址：黑龙江省哈尔滨市道里区抚顺街10号,电话：0451-86104441,
黑龙江省哈尔滨建国医药有限公司淮河店,地址：黑龙江省哈尔滨市南岗区淮河路149号,电话：0451-57817832,
黑龙江省哈尔滨建国医药有限公司通达店,地址：黑龙江省哈尔滨市南岗区汉祥街84-4号,电话：0451-83073890,
黑龙江省哈尔滨建国医药有限公司军安店,地址：黑龙江省哈尔滨市松北区军安小区6号商服,电话：0451-84360011,
黑龙江省哈尔滨建国医药有限公司正义店,地址：黑龙江省哈尔滨市道里区安国街129号,电话：0451-57807013,
黑龙江省哈尔滨建国医药有限公司学府店,地址：黑龙江省哈尔滨市南岗区学府路181号,电话：0451-84309009,
黑龙江省哈尔滨建国医药有限公司河松店,地址：黑龙江省哈尔滨市道里区河松街161号（河松小区302栋2号门市）,电话：0451-83373381,
黑龙江省哈尔滨建国医药有限公司水晶店,地址：黑龙江省哈尔滨市道外区大水晶街231号,电话：0451-83052631,
黑龙江省哈尔滨建国医药有限公司松林店,地址：黑龙江省哈尔滨市道里区阳光颐养花园11号楼1层9号门市,电话：0451-83370368,
黑龙江省哈尔滨建国医药有限公司翻身店,地址：黑龙江省哈尔滨市南岗区学府路199号,电话：0451-86620391,
黑龙江省哈尔滨建国医药有限公司太平店,地址：黑龙江省哈尔滨市道里区太平镇太平村太平庄屯,电话：0451-87642876,
黑龙江省哈尔滨建国医药有限公司埃路店,地址：黑龙江省哈尔滨市道里区乡政街副92-28号,电话：0451-83078400,
黑龙江省哈尔滨建国医药有限公司建国店,地址：黑龙江省哈尔滨市南岗区和兴路95号,电话：0451-84200020,
黑龙江省哈尔滨建国医药有限公司王岗店,地址：黑龙江省哈尔滨市南岗区王岗镇哈双路金莉圆小区2号负1-6室,电话：0451-86044032,
黑龙江省哈尔滨建国医药有限公司民主店,地址：黑龙江省哈尔滨市道里区建国街202-1号,电话：0451-58660518,
黑龙江省哈尔滨建国医药有限公司群力店,地址：黑龙江省哈尔滨市道里区达江小区1号楼8号,电话：0451-83375086,
黑龙江省哈尔滨建国医药有限公司农垦店,地址：黑龙江省哈尔滨市南岗区王岗镇哈双路216号新5楼4单元101号,电话：0451-83009342,
黑龙江省哈尔滨建国医药有限公司顾乡大街店,地址：黑龙江省哈尔滨市道里区顾乡大街58号,电话：0451-83074146,
黑龙江省哈尔滨建国医药有限公司五星店,地址：黑龙江省哈尔滨市道里区新发镇原种厂集资楼1楼,电话：0451-87642766,
黑龙江省哈尔滨建国医药有限公司远东店,地址：黑龙江省哈尔滨市道里区乡政街201号,电话：0451-83074093,
黑龙江省哈尔滨建国医药有限公司顾乡老店,地址：黑龙江省哈尔滨市道里区乡政街138号,电话：0451-83078229,
哈尔滨宝丰医药连锁有限公司春城店,地址：黑龙江省哈尔滨市道外区哈东路58号,电话：0451-57673435,
哈尔滨宝丰医药连锁有限公司安埠店,地址：黑龙江省哈尔滨市道外区凤凰城207号,电话：0451-88995675,
哈尔滨宝丰医药连锁有限公司中民店,地址：黑龙江省哈尔滨市道里区安定街52号,电话：0451-87632018,
哈尔滨宝丰医药连锁有限公司大民兴店,地址：黑龙江省哈尔滨市道里区友谊路副72号,电话：0451-84686081,
哈尔滨宝丰医药连锁有限公司益康店,地址：黑龙江省哈尔滨市南岗区公司街58号,电话：0451-86220895,
哈尔滨宝丰医药连锁有限公司文成店,地址：黑龙江省哈尔滨市南岗区征仪路442号,电话：0451-86662803,
哈尔滨宝丰医药连锁有限公司河松店,地址：黑龙江省哈尔滨市道里区河松街198号,电话：0451-87600392,
哈尔滨宝丰医药连锁有限公司文瑞店,地址：黑龙江省哈尔滨市南岗区文瑞街1号,电话：0451-86201776,
哈尔滨宝丰医药连锁有限公司东农店,地址：黑龙江省哈尔滨市香坊区木材街城东新区D区2号楼1号门市,电话：0451-87993246,
哈尔滨宝丰医药连锁有限公司抚顺店,地址：黑龙江省哈尔滨市道外区哈东路205号,电话：0451-57607352,
哈尔滨宝丰医药连锁有限公司革新店,地址：黑龙江省哈尔滨市南岗区革新街147号,电话：0451-82610708,
哈尔滨宝丰医药连锁有限公司三棵店,地址：黑龙江省哈尔滨市道外区东直路391号,电话：0451-57600633,
哈尔滨宝丰医药连锁有限公司河梁店,地址：黑龙江省哈尔滨市道里区河梁街44号,电话：0451-84863826,
哈尔滨宝丰医药连锁有限公司曙光店,地址：黑龙江省哈尔滨市道外区哈东路302号,电话：0451-57663933,
哈尔滨宝丰医药连锁有限公司人和店,地址：黑龙江省哈尔滨市南岗区人和街132号,电话：0451-87019608,
哈尔滨宝丰医药连锁有限公司爱建店,地址：黑龙江省哈尔滨市南岗区木兰街31号,电话：0451-86309513,
哈尔滨宝丰医药连锁有限公司宏图店,地址：黑龙江省哈尔滨市道外区宏河6街区4号,电话：0451-57645883,
哈尔滨宝丰医药连锁有限公司学府二店,地址：黑龙江省哈尔滨市道外区南直路765号,电话：0451-57601927,
哈尔滨宝丰医药连锁有限公司蓉生店,地址：黑龙江省哈尔滨市南岗区复华四道街64号,电话：0451-86205827,
哈尔滨宝丰医药连锁有限公司松柏店,地址：黑龙江省哈尔滨市南岗区泰海花园21栋1层2号,电话：0451-82409033,
哈尔滨宝丰医药连锁有限公司巴陵店,地址：黑龙江省哈尔滨市道里区通顺街副4-1号大发市场花鸟鱼市,电话：0451-84305233,
哈尔滨宝丰医药连锁有限公司闽江店,地址：黑龙江省哈尔滨市南岗区闽江路147号,电话：0451-82340248,
哈尔滨宝丰医药连锁有限公司通达店,地址：黑龙江省哈尔滨市道里区安平街47号,电话：0451-84508301,
哈尔滨宝丰医药连锁有限公司三辅店,地址：黑龙江省哈尔滨市香坊区三辅三道街56-3号,电话：0451-55654937,
哈尔滨宝丰医药连锁有限公司安德店,地址：黑龙江省哈尔滨市南岗区电兴街7号,电话：0451-83331096,
哈尔滨宝丰医药连锁有限公司和兴店,地址：黑龙江省哈尔滨市道里区民安街79号,电话：0451-84512085,
哈尔滨宝丰医药连锁有限公司森茂店,地址：黑龙江省哈尔滨市香坊区顺水小区5栋9单元1层9-2号,电话：0451-55663007,
哈尔滨宝丰医药连锁有限公司锦江店,地址：黑龙江省哈尔滨市道里区安丰街11号,电话：0451-88989528,
哈尔滨宝丰医药连锁有限公司淮河店,地址：黑龙江省哈尔滨市道外区太平大街维也纳河畔新城15栋13号,电话：0451-85909896,
哈尔滨宝丰医药连锁有限公司清滨店,地址：黑龙江省哈尔滨市南岗区清滨路87号学府名苑爱丁堡商服4号,电话：0451-86357136,
哈尔滨宝丰医药连锁有限公司立汇店,地址：黑龙江省哈尔滨市香坊区立汇美罗湾乐买超市内,电话：0451-87278970,
