大参林医药集团股份有限公司太平店,地址：广东省湛江市麻章区太平镇供销街11号 ,电话：0759-2866168 ,
大参林医药集团股份有限公司电白观珠分店,地址：广东省茂名市观珠镇新东街7号 ,电话：0668-5765230 ,
大参林医药集团股份有限公司紫金蓝塘店,地址：广东省河源市紫金县蓝塘镇二十米大街桐竹路地段,电话：0762-7936664,
大参林医药集团股份有限公司和平彭寨店,地址：广东省河源市和平县彭寨镇街镇十八米大街中心市场北小区A栋一楼,电话：0762-5468099,
大参林医药集团股份有限公司化州笪桥分店,地址：广东省茂名市化州市笪桥镇笪桥圩(解放路08号) ,电话：0668-7681280 ,
大参林医药集团股份有限公司化州南盛分店,地址：广东省茂名市化州市南盛街道办解放路1号 ,电话：0668-7613385 ,
大参林医药集团股份有限公司电白羊角分店,地址：广东省茂名市羊角镇茂羊路118号 ,电话：0668-2677928 ,
大参林医药集团股份有限公司化州六街分店,地址：广东省茂名市化州北岸六街市场 ,电话：0668-7320636 ,
大参林医药集团股份有限公司河源龙川桐木岭店,地址：广东省河源市龙川县老隆镇文明路桐木岭广场商住楼房首层1-2卡,电话：0762-6768690,
大参林医药集团股份有限公司化州杨梅分店,地址：广东省茂名市化州市杨梅镇杨梅圩大街128号 ,电话：0668-7670855 ,
大参林医药集团股份有限公司文明西店,地址：广东省河源市新市区万厦虹景商业街31、32号门店第一、二层（B1栋）,电话：0762-3221241,
大参林医药集团股份有限公司化州播扬分店,地址：广东省茂名市化州市播扬镇播扬圩幸福路 ,电话：0668-7591169 ,
大参林医药集团股份有限公司河源东源灯塔店,地址：广东省河源市东源县灯塔镇镇南路13号,电话：0762-8106616,
大参林医药集团股份有限公司化州林尘分店,地址：广东省茂名市化州市林尘圩头 ,电话：0668-7791762 ,
大参林医药集团股份有限公司化州那务分店,地址：广东省茂名市化州市那务镇人民二路化那003幅首层 ,电话：0668-7574979 ,
大参林医药集团股份有限公司化州中垌分店,地址：广东省茂名市化州市中垌镇龙城东区住宅首层商铺 ,电话：0668-7750328 ,
大参林医药集团股份有限公司河源和平东山店,地址：广东省河源市和平县东山路127号,电话：0762-5618885,
大参林医药集团股份有限公司化州官桥分店,地址：广东省茂名市化州市官桥镇新兴路 ,电话：0668-7721979 ,
大参林医药集团股份有限公司化州平定分店,地址：广东省茂名市化州市平定镇新市场 ,电话：0668-7563355 ,
大参林医药集团股份有限公司新福四分店,地址：广东省茂名市茂名新福四路188号大院1.2号 ,电话：0668-2377626 ,
大参林医药集团股份有限公司河西分店,地址：广东省茂名市油城三路199号 ,电话：0668-2222133 ,
大参林医药集团股份有限公司河源忠信车站店,地址：广东省河源市忠信镇人民路新佳购物广场1-2号,电话：0762-4582520,
大参林医药集团股份有限公司河源学生路店,地址：广东省河源市源城区学生路69号,电话：0762-3327786,
大参林医药集团股份有限公司新圩分店,地址：广东省茂名市新圩市场旁边 ,电话：0668-2210266 ,
大参林医药集团股份有限公司化州下郭分店,地址：广东省茂名市化州市下郭大道59号 ,电话：0668-7396019 ,
大参林医药集团股份有限公司茂名鳌头分店,地址：广东省茂名市茂南区鳌头镇新建路 ,电话：0668-2781733 ,
大参林医药集团股份有限公司金色家园分店,地址：广东省茂名市健康中路金色家园首层16-19号 ,电话：0668-2913223 ,
大参林医药集团股份有限公司官渡分店,地址：广东省茂名市官渡路318号 ,电话：0668-3331182 ,
大参林医药集团股份有限公司镇盛分店,地址：广东省茂名市茂南区镇盛镇开发区9区140号 ,电话：0668-2380066 ,
大参林医药集团股份有限公司金塘分店,地址：广东省茂名市茂南区金塘镇人民一路6号 ,电话：0668-2353251 ,
大参林医药集团股份有限公司官山分店,地址：广东省茂名市官山三路333号 ,电话：0668-2929798 ,
大参林医药集团股份有限公司963公馆新华分店,地址：广东省茂名市油城1路172号 ,电话：0668-2336100 ,
大参林医药集团股份有限公司文明南分店,地址：广东省茂名市文明南路122号 ,电话：0668-2808660 ,
大参林医药集团股份有限公司公馆分店,地址：广东省茂名市油城一路公馆市场侧边 ,电话：0668-2321001 ,
大参林医药集团股份有限公司河源紫金古竹店,地址：广东省河源市紫金县古竹镇竹港大道71号,电话：0762-7187100,
大参林医药集团股份有限公司光华南分店,地址：广东省茂名市茂名光华南路12号 ,电话：0668-2873009 ,
大参林医药集团股份有限公司化州三官塘店,地址：广东省茂名市化州市河西区西城路8号 ,电话：0668-7233292 ,
大参林医药集团股份有限公司河源龙川店,地址：广东省河源市龙川县老隆镇华光街74号,电话：0762-6888905,
大参林医药集团股份有限公司高山分店,地址：广东省茂名市茂水路9号 ,电话：0668-2521113 ,
大参林医药集团股份有限公司河源文明店,地址：广东省河源市新市区文明路北边新风路东边瑞生花园A10-1号一楼,电话：0762-3890901,
大参林医药集团股份有限公司人民北分店,地址：广东省茂名市人民北路155号 ,电话：0668-3395220 ,
大参林医药集团股份有限公司化州北岸分店,地址：广东省茂名市化州市河西区北岸罗江花园B区 ,电话：0668-7322208 ,
大参林医药集团股份有限公司双山分店,地址：广东省茂名市双山二路51号 ,电话：0668-2913203 ,
大参林医药集团股份有限公司红旗南分店,地址：广东省茂名市红旗南路134号 ,电话：0668-2263623 ,
大参林医药集团股份有限公司露天矿分店,地址：广东省茂名市红旗北路露天矿市场北侧 ,电话：0668-2269110 ,
大参林医药集团股份有限公司河源长塘店,地址：广东省河源市源城区长塘路31号(即光明眼科医院楼下,电话：0762-3225990,
大参林医药集团股份有限公司化州河西店,地址：广东省茂名市化州河西区幸福路三街33号 ,电话：0668-7236660 ,
大参林医药集团股份有限公司河源紫金城南店,地址：广东省河源市紫金县紫城镇长安大道西28号,电话：0762-7820558,
大参林医药集团股份有限公司河源公园西店,地址：广东省河源市源城区公园西路16号,电话：0762-3332343,
大参林医药集团股份有限公司河源连平环城南店,地址：广东省河源市连平县环城南路10号,电话：0762-4338253,
大参林医药集团股份有限公司江北嘉荣店,地址：广东省惠州市江北31号小区丽景花园西苑9号商铺,电话：0752-2812121,
大参林医药集团股份有限公司化州东分店,地址：广东省茂名市化州桔城中路90号 ,电话：0668-7230630 ,
大参林医药集团股份有限公司厂东分店,地址：广东省茂名市厂前东路19号 ,电话：0668-2263293 ,
大参林医药集团股份有限公司黎和分店,地址：广东省茂名市油城四路 ,电话：0668-2913265 ,
大参林医药集团股份有限公司河源新江二路店,地址：广东省河源市新江二路三坊58号,电话：0762-3309005,
大参林医药集团股份有限公司陈江店,地址：广东省惠州市陈江管理区张屋甲子路立新街6、8号,电话：0752-3322216,
大参林医药集团股份有限公司河源连平忠信店,地址：广东省河源市忠信镇人民路68号-1,电话：0762-4581005,
大参林医药集团股份有限公司新坡分店,地址：广东省茂名市新坡三月城北街75号 ,电话：0668-2210922 ,
大参林医药集团股份有限公司翰林分店,地址：广东省茂名市高凉北路107号大院1、2、3、4、5号 ,电话：0668-2093798 ,
大参林医药集团股份有限公司东平店,地址：广东省惠州市东坡路2号颐景花园A4栋茗康居1层06号,电话：0752-7831456,
大参林医药集团股份有限公司河源紫金店,地址：广东省河源市紫金县新紫路197、199、201号店铺,电话：0762-7811010,
大参林医药集团股份有限公司河源长安店,地址：广东省河源市新市区长安街3号,电话：0762-3166185,
大参林医药集团股份有限公司博罗新世纪分店,地址：广东省惠州市博罗县罗阳镇文广一路,电话：0752-6630993,
大参林医药集团股份有限公司市朝阳分店,地址：广东省茂名市口岸南街31号 ,电话：0668-2986318 ,
大参林医药集团股份有限公司人民南分店,地址：广东省茂名市人民南路90号 ,电话：0668-2886119 ,
大参林医药集团股份有限公司人民中店,地址：广东省茂名市人民中路 ,电话：0668-2913275 ,
大参林医药集团股份有限公司龙门太平新店,地址：广东省惠州市龙门县县城太平新路76号首层,电话：0752-7988708,
大参林医药集团股份有限公司下角中店,地址：广东省惠州市下角中路46号底层01号大参林药店,电话：0752-2229616,
大参林医药集团股份有限公司袂花分店,地址：广东省茂名市茂南区袂花镇新街20号 ,电话：0668-2720935 ,
大参林医药集团股份有限公司柏塘分店,地址：广东省惠州市柏塘新圩南路大参林药店,电话：0752-6333522,
大参林医药集团股份有限公司马安分店,地址：广东省惠州市惠城区马安镇塘布小区A2号,电话：0752-3130333,
大参林医药集团股份有限公司高凉分店,地址：广东省茂名市高凉中路9号大院6号梯1-4号商铺 ,电话：0668-3332622 ,
大参林医药集团股份有限公司龙门西林分店,地址：广东省惠州市龙门县龙城镇西林路88号,电话：0752-7988969,
大参林医药集团股份有限公司红旗中分店,地址：广东省茂名市红旗中路 ,电话：0668-2201778 ,
大参林医药集团股份有限公司肇庆四会凤山店,地址：广东省肇庆市四会市东城街道凤山路二座1、2两卡铺位 ,电话：18200730387 ,
大参林医药集团股份有限公司光华北分店,地址：广东省茂名市官山东路140号大院19栋50号 ,电话：0668-2880208 ,
大参林医药集团股份有限公司博罗杨村分店,地址：广东省惠州市博罗县杨村镇杨村大道10号大参林药店,电话：0752-6690300,
大参林医药集团股份有限公司长旺分店,地址：广东省惠州市博罗县湖镇长旺路218号,电话：0752-6303200 ,
大参林医药集团股份有限公司福田店,地址：广东省惠州市博罗县福田镇福田路2-10号,电话：0752-6953139,
大参林医药集团股份有限公司广宁佰盈店,地址：广东省肇庆市广宁县南街镇三多开发区南坤路47号 ,电话：15119868725 ,
大参林医药集团股份有限公司封开南丰店,地址：广东省肇庆市封开县南丰镇新丰路6号（永好百货店首层门口一、二卡） ,电话：0758-6292200 ,
大参林医药集团股份有限公司螺子湖分店,地址：广东省惠州市惠城区河南岸骡子湖1路5号,电话：0752-2502505,
大参林医药集团股份有限公司茂南天桥分店,地址：广东省茂名市茂南开发区天桥路183号 ,电话：0668-2792008 ,
大参林医药集团股份有限公司油六分店,地址：广东省茂名市油城六28号 ,电话：0668-3397399 ,
大参林医药集团股份有限公司园洲店,地址：广东省惠州市博罗县园洲镇富丽路2号,电话：0752-6682773 ,
大参林医药集团股份有限公司双山六分店,地址：广东省茂名市双山六路博汇新城首层商铺,电话：0668-2233169 ,
大参林医药集团股份有限公司德庆城东店,地址：广东省肇庆市德庆县德城镇文武路粤西小商品城西北座A1卡113方商铺转弯铺 ,电话：0758-7796921 ,
大参林医药集团股份有限公司龙溪分店,地址：广东省惠州博罗县龙溪镇中一路35号,电话：0752-6678097 ,
大参林医药集团股份有限公司中岗店,地址：广东省惠州市博罗石湾镇北路149-153号,电话：0752-6912423,
大参林医药集团股份有限公司肇庆四会龙江店,地址：广东省肇庆市四会市城中区拱桥直街4号 ,电话：0758-3333963 ,
大参林医药集团股份有限公司博罗长宁分店,地址：广东省惠州市博罗县长宁镇共建路6-8号,电话：0752-6663370,
大参林医药集团股份有限公司德庆康达店,地址：广东省肇庆市德庆县德城镇朝辉路东侧升辉新邨首层之一，二商铺 ,电话：0758-7790881 ,
大参林医药集团股份有限公司开发区分店,地址：广东省茂名市开发区锦华直街78号大院7-8号商铺 ,电话：0668-3910958 ,
大参林医药集团股份有限公司油四分店,地址：广东省茂名市油城四路98号 ,电话：0668-2277299 ,
大参林医药集团股份有限公司上排店,地址：广东省惠州市惠城区上排大岭路119号,电话：0752-2263100 ,
大参林医药集团股份有限公司博罗北门分店,地址：广东省惠州市博罗县罗阳镇北门路2号大参林药店,电话：0752-6738000,
大参林医药集团股份有限公司广宁古水店,地址：广东省肇庆市广宁县古水镇墟镇政府斜对面 ,电话：0758-8750122 ,
大参林医药集团股份有限公司秋长分店,地址：广东省惠州市惠阳区秋长镇鹏南路39号,电话：0752-3563858 ,
大参林医药集团股份有限公司肇庆康乐北店,地址：广东省肇庆市端州区芙蓉当街13号（G幢）首层第五卡 ,电话：0758-2912900 ,
大参林医药集团股份有限公司肇庆德庆高良店,地址：广东省肇庆市德庆县高良镇圩镇 ,电话：13189361685 ,
大参林医药集团股份有限公司柏岗分店,地址：广东省惠州市小金口柏岗北路81号,电话：0752-2308300,
大参林医药集团股份有限公司怀集怀城店,地址：广东省肇庆市怀集县怀城镇红旗路房管局B幢商品楼底层第三，四号首层商铺 ,电话：0758-5535839 ,
大参林医药集团股份有限公司明湖分店,地址：广东省茂名市明湖二楼药柜 ,电话：0668-2872039 ,
大参林医药集团股份有限公司南坛东店,地址：广东省惠州市惠城区南坛东路18号之1,电话：0752-2224908,
大参林医药集团股份有限公司肇庆工农店,地址：广东省肇庆市端州区公正路华英新城J区1A幢1、2、3号商铺 ,电话：0758-2288123 ,
大参林医药集团股份有限公司怀集梁村店,地址：广东省肇庆市怀集县梁村镇南芬街101号首层 ,电话：0758-5333516 ,
大参林医药集团股份有限公司九潭分店,地址：广东省惠州博罗县园洲镇九潭新街,电话：0752-6788358,
大参林医药集团股份有限公司罗定生江店,地址：广东省云浮市罗定市生江镇生江圩 ,电话：0758-3493680 ,
大参林医药集团股份有限公司肇庆鸿景观园店,地址：广东省肇庆市端州区颂德路鸿景观园17幢首层03-04号 ,电话：0758-2166302 ,
大参林医药集团股份有限公司肇庆宋城店,地址：广东省肇庆市端州区宋城西路3号 ,电话：0758-2919981 ,
大参林医药集团股份有限公司龙门店,地址：广东省惠州市龙门县东较广场首层大参林,电话：0752-7981837 ,
大参林医药集团股份有限公司宏新华苑店,地址：广东省惠州市水口镇湖溪大道宏新华苑1-3号铺,电话：0752-2300230 ,
大参林医药集团股份有限公司肇庆棠岗店,地址：广东省肇庆市端州区叠翠南路盛泽.天籁之星B11幢（博韵轩）首层第六、七卡 ,电话：0758-2321011 ,
大参林医药集团股份有限公司高要南岸店,地址：广东省肇庆市高要市南岸要南一路53号乐添大厦A幢首层第5、6卡商铺 ,电话：0758-8392273 ,
大参林医药集团股份有限公司四会大沙店,地址：广东省肇庆市四会市大沙镇大沙新圩广海中路63号首层 ,电话：0758-3665580 ,
大参林医药集团股份有限公司四会高观店,地址：广东省肇庆市四会市城中区高观西路二座1号之5-6（首层） ,电话：0758-3395929 ,
大参林医药集团股份有限公司德庆官圩店,地址：广东省肇庆市德庆县官圩镇官圩管理区官圩村 ,电话：0758-7239225 ,
大参林医药集团股份有限公司水口店,地址：广东省惠州市水口镇龙湖大道南116号,电话：0752-2309850,
大参林医药集团股份有限公司四会清塘店,地址：广东省肇庆市四会市东城区清塘大道四十三座1至3号（首层） ,电话：0758-3339688 ,
大参林医药集团股份有限公司福永新和店,地址：广东省深圳市宝安区福永街道新和社区工业北区7号101,电话：0755-29457290,
大参林医药集团股份有限公司高要莲塘店,地址：广东省肇庆市高要市莲塘镇下市路第1-2卡商铺 ,电话：0758-8456889 ,
大参林医药集团股份有限公司沙井中心公园店,地址：广东省深圳市宝安区沙井镇新沙路178号A栋西首层,电话：0755-27247301,
大参林医药集团股份有限公司肇庆康乐南店,地址：广东省肇庆市康乐南路11号首层北边南第4、5卡商铺 ,电话：0758-2831772 ,
大参林医药集团股份有限公司怀集红旗店,地址：广东省肇庆市怀集县怀城镇环城西路101号A12卡商铺 ,电话：0758-5866077 ,
大参林医药集团股份有限公司苹果园店,地址：广东省深圳市宝安区民治街道人民路东侧苹果园2栋商铺05、06号,电话：0755-29812306,
大参林医药集团股份有限公司肇庆朝阳东店,地址：广东省肇庆市德庆县朝阳东路39号 ,电话：0758-7764367 ,
大参林医药集团股份有限公司四会马田店,地址：广东省肇庆市四会市东城区建设路81、83号首层 ,电话：0758-3327800 ,
大参林医药集团股份有限公司高要步行街店,地址：广东省肇庆市高要市南岸镇南兴二路26号名仕居第五、六、七、八卡商铺 ,电话：0758-8200299 ,
大参林医药集团股份有限公司梅林店,地址：广东省深圳市福田区梅林路139号边防住宅区A栋21号,电话：0755-83016981,
大参林医药集团股份有限公司南山学府店,地址：广东省深圳市南山区南新路2123号,电话：0755-26165478,
大参林医药集团股份有限公司高埗下江城店,地址：广东省东莞市高埗镇高埗大道一横路口以北31、32号铺,电话：0769-81339689,
大参林医药集团股份有限公司高要金利店,地址：广东省肇庆市高要市金利镇金贸西路（二马路）近金利市场入口 ,电话：0758-8575029 ,
大参林医药集团股份有限公司怀集诗洞店,地址：广东省肇庆市怀集县诗洞镇圩交通站南侧白云酒家北侧第1-3卡 ,电话：0758-5213696 ,
大参林医药集团股份有限公司广新店,地址：广东省肇庆市高要市南岸镇广新路1号 ,电话：0758-8391040 ,
大参林医药集团股份有限公司石岩吉祥店,地址：广东省深圳市宝安区石岩大道一号大参林药店,电话：0755-29519978,
大参林医药集团股份有限公司黄岗店,地址：广东省肇庆市黄岗镇和旁路8号 ,电话：0758-2737211 ,
大参林医药集团股份有限公司麦岸路店,地址：广东省惠州市麦地麦岸路10号华泰店,电话：0752-2263667,
大参林医药集团股份有限公司富源分店,地址：广东省深圳市宝安区新安街道兴华一路富源花园2栋108,电话：0755-29988739,
大参林医药集团股份有限公司厚岗店,地址：广东省肇庆市建设二路41号城东广场首层A12卡 ,电话：0758-2705005 ,
大参林医药集团股份有限公司金渡店,地址：广东省肇庆市高要市金渡镇金沙街工业园A1区第8、9、10,电话：0758-8519887 ,
大参林医药集团股份有限公司德城店,地址：广东省肇庆市德庆县德城镇朝阳中路18号 ,电话：0758-7767401 ,
大参林医药集团股份有限公司广宁江屯店,地址：广东省肇庆市广宁县江屯镇人民路30号 ,电话：0758-8702986 ,
大参林医药集团股份有限公司端州三店,地址：广东省肇庆市端州区端州三路10金茗花苑24号 ,电话：0758-2748151 ,
大参林医药集团股份有限公司深圳前进店,地址：广东省深圳市宝安区新安35区2栋6梯首层101号,电话：0755-27443827,
大参林医药集团股份有限公司龙华店,地址：广东省深圳市龙华镇牛拦前万众数码城12号商铺,电话：0755-29678839,
大参林医药集团股份有限公司常平朗贝店,地址：广东省东莞市常平镇朗贝邮电六街1号,电话：0769-82828654,
大参林医药集团股份有限公司怀集冷坑店,地址：广东省肇庆市怀集县冷坑镇圩镇冷坑车站对面 ,电话：0758-5668071 ,
大参林医药集团股份有限公司龙华华富店,地址：广东省深圳市宝安区龙华街道办人民路西侧华侨花园华侨楼143号,电话：0755-28143480,
大参林医药集团股份有限公司坑口店,地址：广东省肇庆市鼎湖区坑口福庆街40号首层 ,电话：0758-2624477 ,
大参林医药集团股份有限公司天宁店,地址：广东省肇庆市天宁北路23号天宁广场岗景轩A6幢商铺A04卡 ,电话：0758-2277970 ,
大参林医药集团股份有限公司白土店,地址：广东省肇庆市高要市白土镇宋隆中路85号首层 ,电话：0758-8177198 ,
大参林医药集团股份有限公司长寿店,地址：广东省惠州市南门路18号首层北起1—4号铺,电话：0752-2235137,
大参林医药集团股份有限公司怀集解放中店,地址：广东省肇庆市怀集县怀诚镇解放中路中华商场首层 ,电话：0758-5529156 ,
大参林医药集团股份有限公司莲塘店,地址：广东省肇庆市鼎湖区莲花镇莲塘村下莲塘牌坊东侧（旧莲塘小学）1-2卡 ,电话：0758-2619411 ,
大参林医药集团股份有限公司肇庆和平店,地址：广东省肇庆市端州区和平路1号1楼右侧4号铺 ,电话：0758-2279861 ,
大参林医药集团股份有限公司禄步店,地址：广东省肇庆市禄步镇新龙东路114号 ,电话：0758-8252677 ,
大参林医药集团股份有限公司广宁五一店,地址：广东省肇庆市广宁县南街镇五一东路清华园五一市场首层(新汇丰百货商场正门右三卡) ,电话：0758-8838220 ,
大参林医药集团股份有限公司沙井店,地址：广东省深圳市宝安区沙井街道南洞A区040栋1号铺,电话：0755-27258243,
大参林医药集团股份有限公司东城主山店,地址：广东省东莞市东城区主山银山商业街52、54号,电话：无,
大参林医药集团股份有限公司南城周溪店,地址：广东省东莞市南城周溪上和坊上围街27号,电话：0769-23362898 ,
大参林医药集团股份有限公司桃源居店,地址：广东省深圳市宝安区西乡街道桃源居桃源盛世园1#-6#栋1座一层114号,电话：0755-29530862,
大参林医药集团股份有限公司百花店,地址：广东省肇庆市肇庆西江北路百花园小区荷花苑13幢第118卡商铺 ,电话：0758-2834856 ,
大参林医药集团股份有限公司柑园店,地址：广东省肇庆市柑园南路1号柑园雅苑28卡 ,电话：0758-2234800 ,
大参林医药集团股份有限公司肇庆人民中店,地址：广东省肇庆市端州区人民中路12号1－2卡 ,电话：0758-2252521 ,
大参林医药集团股份有限公司寮步下岭贝店,地址：广东省东莞市寮步镇下岭贝基业中路10号,电话：0769-22225262,
大参林医药集团股份有限公司云浮云安富林店,地址：广东省云浮市富林镇富林墟 ,电话：0758-6328930 ,
大参林医药集团股份有限公司寮步西溪店,地址：广东省东莞市寮步镇西溪综合市场门口A1、A2号铺,电话：0769-82967430,
大参林医药集团股份有限公司云浮罗定黎少店,地址：广东省云浮市罗定市黎少镇沿江路60号 ,电话：0758-3481123 ,
大参林医药集团股份有限公司都杨麦洲店,地址：广东省云浮市云城区都杨镇麦洲村府前三路26号 ,电话：0758-8281691 ,
大参林医药集团股份有限公司云浮南山店,地址：广东省云浮市云城区南山路78号 ,电话：0758-8868720 ,
大参林医药集团股份有限公司罗定龙华店,地址：广东省云浮市罗定市凤华二路1号首层 ,电话：0758-3836060 ,
大参林医药集团股份有限公司罗定泗纶店,地址：广东省云浮市罗定市泗沦镇国庆路13号 ,电话：0758-3768877 ,
大参林医药集团股份有限公司凤岗店,地址：广东省东莞市凤岗镇油甘埔村同兴路70号,电话：0769-22108966,
大参林医药集团股份有限公司长安霄边大街店,地址：广东省东莞市长安镇霄边大街146、148号（霄边社区）,电话：0769-22215266,
大参林医药集团股份有限公司都城旧街店,地址：广东省云浮市郁南县都城镇四一八路3号首层第五、六卡 ,电话：0758-7330821 ,
大参林医药集团股份有限公司船步店,地址：广东省云浮市罗定市船步镇开阳中路 ,电话：0758-3621100 ,
大参林医药集团股份有限公司罗定罗城店,地址：广东省云浮市罗定市罗城镇大新中路70号 ,电话：0758-3727616 ,
大参林医药集团股份有限公司云浮浩林店,地址：广东省云浮市市区浩林西路30号首层 ,电话：0758-8818292 ,
大参林医药集团股份有限公司火炼树店,地址：广东省东莞市东城区火炼树金树路100号一楼,电话：0769-23393992,
大参林医药集团股份有限公司罗平店,地址：广东省云浮市罗定市罗平镇罗平新街（罗太公路边） ,电话：0758-3232998 ,
大参林医药集团股份有限公司泷洲南店,地址：广东省云浮市罗定市罗城镇泷洲南路113号 ,电话：0758-3838001 ,
大参林医药集团股份有限公司新兴南街店,地址：广东省云浮市新兴县新城镇南街207号北卡商铺 ,电话：0758-2890281 ,
大参林医药集团股份有限公司洪梅新丰店,地址：广东省东莞市洪梅镇中心新丰商业大厦首层6号铺位,电话：0769-22100110,
大参林医药集团股份有限公司云浮建设北店,地址：广东省云浮市云城区建设北路21号首层 ,电话：0758-8819733 ,
大参林医药集团股份有限公司长安霄边店,地址：广东省东莞市长安镇霄边大街66、68号,电话：0769-22805389,
大参林医药集团股份有限公司道滘振兴北店,地址：广东省东莞市道滘镇闸口振兴路北140号,电话：0769-22992339,
大参林医药集团股份有限公司爱都花园店,地址：广东省东莞市樟木头镇爱都花园二期D06-1铺,电话：0769-82118378,
大参林医药集团股份有限公司连滩二店,地址：广东省云浮市郁南县连滩镇新生路20号的楼房首层 ,电话：0758-7666775 ,
大参林医药集团股份有限公司长安莲峰店,地址：广东省东莞市长安镇莲峰路49号,电话：0769-86727976,
大参林医药集团股份有限公司罗镜店,地址：广东省云浮市罗定市罗镜镇新城北2路 ,电话：0758-3201886 ,
大参林医药集团股份有限公司千官店,地址：广东省云浮市千官镇教育路 ,电话：0758-7768100 ,
大参林医药集团股份有限公司东城石井店,地址：广东省东莞市东城区东昇路石井段景昇楼一楼商铺1-3号,电话：0769-22111106,
大参林医药集团股份有限公司天堂解放店,地址：广东省云浮市天堂镇解放北路84号 ,电话：0758-2238085 ,
大参林医药集团股份有限公司罗定太平店,地址：广东省云浮市罗定市太平镇城东大道46号 ,电话：0758-3275567 ,
大参林医药集团股份有限公司大岭山店,地址：广东省东莞市大岭山镇中兴中路铺位,电话：0769-22813785,
大参林医药集团股份有限公司长安长中店,地址：广东省东莞市长安镇长中路27、29号,电话：0769-22996318,
大参林医药集团股份有限公司万江宏达店,地址：广东省东莞市万江区拔蛟窝社区拔蛟窝综合市场A1A2号铺位,电话：0769-22112106,
大参林医药集团股份有限公司常平站前店,地址：广东省东莞市常平镇站前路97、99、101号,电话：0769-23399120,
大参林医药集团股份有限公司罗定连州店,地址：广东省云浮市罗定市连州镇连州圩北街5号 ,电话：0758-3422072 ,
大参林医药集团股份有限公司黄江江南店,地址：广东省东莞市黄江镇江南路55号第壹层北第5-6号商铺,电话：0769-22994828,
大参林医药集团股份有限公司围底店,地址：广东省云浮市罗定市围底镇围底圩新街15号首层 ,电话：0758-3685615 ,
大参林医药集团股份有限公司石排石兴店,地址：广东省东莞市石排镇石兴路230号铺位,电话：0769-23072208,
大参林医药集团股份有限公司云浮翠石店,地址：广东省云浮市云城区翠石路15号 ,电话：0758-8836007 ,
大参林医药集团股份有限公司新兴文华店,地址：广东省云浮市新兴县新城镇北垌开发区文华路恒辉广场花园南苑一区12号之一号 ,电话：0758-2978642 ,
大参林医药集团股份有限公司虎门太沙店,地址：广东省东莞市虎门镇太沙路则徐段328号,电话：0769-22993131,
大参林医药集团股份有限公司谢岗店,地址：广东省东莞市谢岗镇广场路华声电器一楼A号铺,电话：0769-22995998,
大参林医药集团股份有限公司中信花园店,地址：广东省东莞市南城区中信新天地花园1座20号铺,电话：0769-22001010,
大参林医药集团股份有限公司长富东店,地址：广东省东莞市大朗镇长富东路318号长富商贸广场A20号,电话：0769-22819913,
大参林医药集团股份有限公司稔村店,地址：广东省云浮市新兴县稔村圩镇上街65号 ,电话：0758-2583300 ,
大参林医药集团股份有限公司素龙店,地址：广东省云浮市罗定市素龙镇素龙墟朝阳路87号 ,电话：0758-3660010 ,
大参林医药集团股份有限公司闻莺店,地址：广东省云浮市闻莺路龙盘居A幢首层1号 ,电话：0758-8866169 ,
大参林医药集团股份有限公司环城西店,地址：广东省云浮市新兴县新城镇环城西路二号前楼正门右侧第2-5卡 ,电话：0758-2888672 ,
大参林医药集团股份有限公司望牛墩店,地址：广东省东莞市望牛墩镇振兴路83号之十一,电话：0769-88560807,
大参林医药集团股份有限公司沙田沙太店,地址：广东省东莞市沙田镇阇西村中心区沙太二路21号商铺,电话：0769-22992996,
大参林医药集团股份有限公司都城店,地址：广东省云浮市郁南县都城镇工业大道,电话：0758-7332869 ,
大参林医药集团股份有限公司天堂店,地址：广东省云浮市新兴天堂镇解放中路87号,电话：0758-2237022 ,
大参林医药集团股份有限公司六都店,地址：广东省云浮市云安县六都镇府前一路5号,电话：0758-8612298 ,
大参林医药集团股份有限公司环城中店,地址：广东省云浮市新城区环城中路5号,电话：0758-2889902 ,
大参林医药集团股份有限公司运河店,地址：广东省东莞市虎门镇运河北路15号商铺,电话：0769-85194866,
大参林医药集团股份有限公司寮步店,地址：广东省东莞市寮步镇寮步社区解放西路63号,电话：0769-82313736,
大参林医药集团股份有限公司连滩店,地址：广东省云浮市连滩镇建设路71号首层,电话：0758-7666611 ,
大参林医药集团股份有限公司富康店,地址：广东省东莞市大朗镇富康路32号,电话：0769-81127898,
大参林医药集团股份有限公司厚街河田店,地址：广东省东莞市厚街镇河田村六桂路6号D1铺位,电话：0769-85902737,
大参林医药集团股份有限公司百姓店,地址：广东省湛江市赤坎区百姓路46号一楼,电话：0759-3318566,
大参林医药集团股份有限公司鸿福店,地址：广东省东莞市南城区莞太大厦56号金海大厦首层3-4号,电话：0769-23304512,
大参林医药集团股份有限公司民丰店,地址：广东省东莞市石龙镇民丰路21、22、23号,电话：0769-81708987,
大参林医药集团股份有限公司金美店,地址：广东省东莞市常平镇金美村金美路1、3号商铺,电话：0769-82322823,
大参林医药集团股份有限公司麻涌店,地址：广东省东莞市麻涌镇麻三村建设路14号,电话：0769-88231061,
大参林医药集团股份有限公司厚街新塘店,地址：广东省东莞市厚街镇新塘村丽新路商铺,电话：0769-81564243,
大参林医药集团股份有限公司中堂店,地址：广东省东莞市中堂镇中麻路一村路段南边第六幢第1、2号商铺,电话：0769-88890505,
